so_number,order_date,fiscal_year,fiscal_month,fiscal_quarter,week,customer_code,customer_name,province_name,region,product_code,product_name,color,line_name,group_code,group_name,quantity,unit_price,line_total
BH25.0001,2025-01-02,2025,1,1,1,KH-00001,HỘ KINH DOANH TÚ ANH,Hà Nội,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,1.0,2305555.56,2305556.0
BH25.0002,2025-01-06,2025,1,1,2,KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Hà Nội,Miền Bắc,000333002022000,Xe đạp Thống Nhất Super 26 xanh,xanh,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1.0,3509259.26,3509259.0
BH25.0003,2025-01-06,2025,1,1,2,KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,Miền Bắc,000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,Xe New 24,CITYBIKE_P,Xe phổ thông,1.0,2398148.15,2398148.0
BH25.0004,2025-01-06,2025,1,1,2,KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,,,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,5.0,2453703.7,12268519.0
BH25.0005,2025-01-07,2025,1,1,2,KH-00005,CÔNG TY TNHH ĐẠI LỢI,Hà Nội,Miền Bắc,000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,Coban,Xe GN 06-26,CITYBIKE_P,Xe phổ thông,2.0,2212962.96,4425926.0
BH25.0006,2025-01-07,2025,1,1,2,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,Xe New 26,CITYBIKE_P,Xe phổ thông,11.0,1898148.0,20879628.0
BH25.0006,2025-01-07,2025,1,1,2,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,4.0,2037037.0,8148148.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,5.0,1594907.41,7974537.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,2.0,1685185.19,3370370.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,Đỏ tươi,Xe New 26,CITYBIKE_P,Xe phổ thông,28.0,1618981.48,45331481.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,Xe New 24,CITYBIKE_P,Xe phổ thông,13.0,1558796.3,20264352.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,6.0,1498611.11,8991667.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,Đỏ tươi,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,17.0,1799537.04,30592130.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,1030010000080000,,,,,,3.0,1289814.81,3869444.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000131002007000,Xe đạp Thống Nhất GN 06 20 Coban,Coban,Xe GN 06 20,KIDBIKE_1,Xe trẻ em nhóm 1,15.0,1197685.19,17965278.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",Ngọc,Xe Nữ,CITYBIKE_P,Xe phổ thông,36.0,1516666.67,54600000.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,Xe 219-05-26,CITYBIKE_P,Xe phổ thông,5.0,1498611.11,7493056.0
BH25.0007,2025-01-08,2025,1,1,2,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,1000300050010000,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),Đen,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,16.0,2943055.56,47088889.0
BH25.0008,2025-01-09,2025,1,1,2,KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,Đỏ tươi,Xe New 24,CITYBIKE_P,Xe phổ thông,20.0,2222222.22,44444444.0
BH25.0009,2025-01-09,2025,1,1,2,KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,Hưng Yên,Miền Bắc,000218004005000,Xe đạp Thống Nhất GN 06-27 2.0 Pro Cam,Cam,Xe GN 06-27 2.0 Pro,SPORTBIKE_S,Xe thể thao thép,2.0,3324074.07,6648148.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,Café/nâu,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,500000.0,1500000.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Xanh dương,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,500000.0,1500000.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,000117002023000,Xe đạp thống nhất TE Bunny 16 Kem,Kem,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,5.0,500000.0,2500000.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,000117002023000,Xe đạp thống nhất TE Bunny 16 Kem,Kem,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,10.0,500000.0,5000000.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,1000210020090000,Xe đạp Thống Nhất TE Love 12 Hồng,Hồng,Xe Love 12,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,470000.0,1410000.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,1000220020090000,Xe đạp Thống Nhất TE Love 16 Hồng,Hồng,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,500000.0,1500000.0
BH25.0010,2025-01-09,2025,1,1,2,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,1040010000080000,,,,,,3.0,1231481.48,3694444.0
BH25.0011,2025-01-09,2025,1,1,2,KH-00011,DOANH NGHIỆP TW NAM TIẾN,Hà Nội,Miền Bắc,000218002007000,Xe đạp Thống Nhất GN 06-27 Coban,Coban,Xe GN 06-27,CITYBIKE_P,Xe phổ thông,1.0,2305555.56,2305556.0
BH25.0012,2025-01-10,2025,1,1,2,KH-00012,HỘ KINH DOANH THIÊN AN,Hà Nội,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1.0,2592592.59,2592593.0
BH25.0013,2025-01-10,2025,1,1,2,KH-00013,DOANH NGHIỆP TW THANH BÌNH,Hưng Yên,Miền Bắc,000225002007000,Xe đạp Thống Nhất New 26 Coban,Coban,,,,1.0,2490740.74,2490741.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000224002009000,Xe đạp Thống Nhất New 24 Hồng,Hồng,Xe New 24,CITYBIKE_P,Xe phổ thông,2.0,1130000.0,2260000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,Xe New 24,CITYBIKE_P,Xe phổ thông,3.0,1130000.0,3390000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,Xe New 24,CITYBIKE_P,Xe phổ thông,2.0,1130000.0,2260000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Xe New 26,CITYBIKE_P,Xe phổ thông,3.0,1180000.0,3540000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,Xe New 26,CITYBIKE_P,Xe phổ thông,4.0,1180000.0,4720000.0
