so_number,order_date,fiscal_year,fiscal_month,fiscal_quarter,customer_code,customer_name,province_name,region,tong_dong,tong_sl,tong_tien,so_nhom_sp,so_sku
BH25.0001,2025-01-02,2025,1,1,KH-00001,HỘ KINH DOANH TÚ ANH,Hà Nội,Miền Bắc,1,1.0,2305556.0,1,1
BH25.0002,2025-01-06,2025,1,1,KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Hà Nội,Miền Bắc,1,1.0,3509259.0,1,1
BH25.0003,2025-01-06,2025,1,1,KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,Miền Bắc,1,1.0,2398148.0,1,1
BH25.0005,2025-01-07,2025,1,1,KH-00005,CÔNG TY TNHH ĐẠI LỢI,Hà Nội,Miền Bắc,1,2.0,4425926.0,1,1
BH25.0006,2025-01-07,2025,1,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2,15.0,29027776.0,1,2
BH25.0007,2025-01-08,2025,1,1,KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,11,146.0,247541204.0,3,11
BH25.0008,2025-01-09,2025,1,1,KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,1,20.0,44444444.0,1,1
BH25.0009,2025-01-09,2025,1,1,KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,Hưng Yên,Miền Bắc,1,2.0,6648148.0,1,1
BH25.0010,2025-01-09,2025,1,1,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,7,30.0,17104444.0,1,6
BH25.0011,2025-01-09,2025,1,1,KH-00011,DOANH NGHIỆP TW NAM TIẾN,Hà Nội,Miền Bắc,1,1.0,2305556.0,1,1
BH25.0018,2025-01-10,2025,1,1,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,11,21.0,24920000.0,3,11
