customer_code,customer_name,province_name,region,so_don,tong_sl,tong_dt,ngay_dau,ngay_cuoi,so_nhom_sp,so_sku,gia_tb_chiec,span_ngay,don_tb_gia_tri
KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,29,4261.0,4978859631.0,2025-02-17,2026-02-27,5,157,1168472.0,375,171684815.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,57,1802.0,3621901755.0,2025-01-11,2026-02-24,5,47,2009934.0,409,63542136.0
KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,21,740.0,1582007777.0,2025-03-01,2025-03-25,5,30,2137848.0,24,75333704.0
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,2,616.0,1366346297.0,2025-01-16,2026-01-29,3,18,2218095.0,378,683173148.0
KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,67,668.0,1093917568.0,2025-01-07,2026-02-28,4,49,1637601.0,417,16327128.0
KH-00341,CỬA HÀNG XE ĐẠP VIỆT ANH,Ninh Bình,Miền Bắc,5,637.0,1019915422.0,2026-01-12,2026-02-13,3,48,1601123.0,32,203983084.0
KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,6,532.0,792315737.0,2025-01-13,2026-02-07,2,8,1489315.0,390,132052623.0
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,7,523.0,774919261.0,2025-02-14,2026-02-10,4,57,1481681.0,361,110702752.0
KH-00379,CÔNG TY TNHH MINH PHƯƠNG,Thái Nguyên,Miền Bắc,4,479.0,726215337.0,2026-01-16,2026-02-10,3,32,1516107.0,25,181553834.0
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,Quảng Nam,Miền Trung,8,430.0,706946062.0,2025-02-21,2026-02-25,3,47,1644061.0,369,88368258.0
KH-00366,HỘ KINH DOANH THIÊN AN,Nghệ An,Miền Trung,6,375.0,613513212.0,2026-01-16,2026-02-12,3,37,1636035.0,27,102252202.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,7,379.0,606456878.0,2025-01-08,2026-01-28,5,50,1600150.0,385,86636697.0
KH-00372,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Thanh Hóa,Miền Trung,4,370.0,605388748.0,2026-01-16,2026-02-27,1,34,1636186.0,42,151347187.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,11,415.0,597440112.0,2025-01-13,2026-02-26,4,62,1439615.0,409,54312737.0
KH-00338,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Hà Nội,Miền Bắc,14,389.0,595704823.0,2026-01-12,2026-02-27,4,82,1531375.0,46,42550344.0
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,5,499.0,563575152.0,2025-02-10,2025-03-29,4,45,1129409.0,47,112715030.0
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,8,466.0,550630000.0,2025-02-10,2025-03-25,5,64,1181609.0,43,68828750.0
KH-00147,CÔNG TY TNHH PHÚ THỊNH,Hà Nội,Miền Bắc,8,350.0,466724370.0,2025-02-22,2026-02-24,5,59,1333498.0,367,58340546.0
KH-00217,DOANH NGHIỆP TW ĐẠI DƯƠNG,Thái Bình,Miền Bắc,8,315.0,428521619.0,2025-03-20,2026-02-24,3,36,1360386.0,341,53565202.0
KH-00463,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,Hà Nội,Miền Bắc,5,253.0,420589919.0,2026-01-26,2026-02-13,2,43,1662411.0,18,84117984.0
KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,Thanh Hóa,Miền Trung,5,247.0,408331186.0,2026-01-23,2026-02-26,3,52,1653163.0,34,81666237.0
KH-00553,CÔNG TY CỔ PHẦN SƠN HÀ,Hà Nội,Miền Bắc,7,226.0,378472401.0,2026-01-29,2026-02-27,4,53,1674657.0,29,54067486.0
KH-00349,HỘ KINH DOANH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,5,217.0,370238430.0,2026-01-12,2026-02-26,4,64,1706168.0,45,74047686.0
KH-00402,CÔNG TY CỔ PHẦN ĐẠI LỢI,Hà Nội,Miền Bắc,6,262.0,369750882.0,2026-01-22,2026-02-24,3,57,1411263.0,33,61625147.0
KH-00342,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,5,227.0,368069456.0,2026-01-12,2026-02-26,3,57,1621451.0,45,73613891.0
KH-00364,DOANH NGHIỆP TW XUÂN MAI,TP Hải Phòng,Miền Bắc,4,217.0,367860667.0,2026-01-16,2026-02-27,2,50,1695210.0,42,91965167.0
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,7,272.0,367627614.0,2025-02-14,2026-01-26,5,58,1351572.0,346,52518231.0
KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,6,290.0,363062500.0,2025-02-10,2025-03-28,5,42,1251940.0,46,60510417.0
KH-00169,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Ninh Bình,Miền Bắc,5,243.0,361208822.0,2025-02-26,2026-02-13,4,60,1486456.0,352,72241764.0
KH-00172,CỬA HÀNG XE ĐẠP XÂY DỰNG,Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,3,208.0,352444443.0,2025-02-28,2026-02-28,1,1,1694444.0,365,117481481.0
