province_name,region,so_dai_ly,so_don,tong_sl,tong_dt,so_sku,so_nhom_sp,ngay_dau,ngay_cuoi,dt_tb_dai_ly,dt_tb_don,rank_dt
Hà Nội,Miền Bắc,210,610,16726.0,23457691163.0,225,5,2025-01-02,2026-02-28,111703291.0,38455231.0,1
TP. Hồ Chí Minh,Miền Nam,3,125,2474.0,4724671175.0,86,5,2025-01-07,2026-02-28,1574890392.0,37797369.0,2
Ninh Bình,Miền Bắc,18,59,2313.0,3521142103.0,116,5,2025-01-13,2026-02-27,195619006.0,59680375.0,3
Thanh Hóa,Miền Trung,31,63,2196.0,3452458937.0,133,5,2025-01-13,2026-02-27,111369643.0,54800936.0,4
Bắc Giang,Miền Bắc,10,29,1592.0,2839030263.0,118,5,2025-01-16,2026-02-27,283903026.0,97897595.0,5
Nghệ An,Miền Trung,19,48,1980.0,2777002804.0,123,5,2025-02-14,2026-02-27,146158042.0,57854225.0,6
Hưng Yên,Miền Bắc,45,75,1889.0,2656116812.0,127,5,2025-01-09,2026-02-27,59024818.0,35414891.0,7
Bắc Ninh,Miền Bắc,23,47,1316.0,1967790814.0,132,5,2025-01-10,2026-02-27,85556122.0,41867890.0,8
Thái Nguyên,Miền Bắc,8,21,1128.0,1599268221.0,95,5,2025-01-09,2026-02-27,199908528.0,76155630.0,9
Thanh Hoá,Miền Trung,18,39,987.0,1263714531.0,101,5,2025-01-13,2026-02-27,70206363.0,32402937.0,10
Phú Thọ,Miền Bắc,29,41,792.0,1246295002.0,133,5,2025-01-10,2026-02-26,42975690.0,30397439.0,11
TP Hải Phòng,Miền Bắc,13,32,689.0,1078208060.0,109,5,2025-03-20,2026-02-27,82939082.0,33694002.0,12
Quảng Ninh,Miền Bắc,20,23,614.0,1009382544.0,103,5,2025-03-28,2026-02-24,50469127.0,43886198.0,13
Hà Tĩnh,Miền Trung,15,24,659.0,949596498.0,100,5,2025-02-14,2026-02-27,63306433.0,39566521.0,14
Nam Định,Miền Bắc,7,14,779.0,926331599.0,68,5,2025-02-10,2025-03-29,132333086.0,66166543.0,15
Vinh,Miền Bắc,3,7,541.0,808916601.0,45,2,2025-01-21,2026-01-28,269638867.0,115559514.0,16
Hải Dương,Miền Bắc,12,22,576.0,808052667.0,93,5,2025-02-07,2026-02-27,67337722.0,36729667.0,17
Hà Nam,Miền Bắc,13,18,576.0,765170565.0,88,5,2025-02-10,2026-02-13,58859274.0,42509476.0,18
Quảng Nam,Miền Trung,2,9,434.0,725057174.0,48,3,2025-01-23,2026-02-25,362528587.0,80561908.0,19
Hải Phòng,Miền Bắc,13,17,535.0,723965260.0,92,4,2025-02-22,2026-02-05,55689635.0,42586192.0,20
Thái Bình,Miền Bắc,7,16,509.0,710464363.0,72,3,2025-02-22,2026-02-24,101494909.0,44404023.0,21
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,1,7,379.0,606456878.0,50,5,2025-01-08,2026-01-28,606456878.0,86636697.0,22
Vĩnh Phúc,Miền Bắc,13,21,426.0,553924699.0,72,5,2025-02-04,2026-02-26,42609592.0,26377367.0,23
Đà Nẵng,Miền Trung,9,17,286.0,433459296.0,73,5,2025-01-18,2026-02-10,48162144.0,25497606.0,24
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,1,6,290.0,363062500.0,42,5,2025-02-10,2025-03-28,363062500.0,60510417.0,25
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,1,3,208.0,352444443.0,1,1,2025-02-28,2026-02-28,352444443.0,117481481.0,26
Thừa Thiên Huế,Miền Trung,1,3,192.0,331016209.0,42,3,2025-03-14,2026-02-09,331016209.0,110338736.0,27
Quảng Trị,Miền Trung,6,11,206.0,313288471.0,66,4,2025-01-10,2026-02-13,52214745.0,28480770.0,28
Đồng Hới,Miền Bắc,1,3,181.0,292164832.0,29,2,2025-01-24,2026-02-12,292164832.0,97388277.0,29
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,1,4,204.0,244765884.0,49,4,2025-03-19,2025-03-31,244765884.0,61191471.0,30
Phú Quốc,Miền Bắc,1,2,90.0,214953705.0,7,4,2025-01-21,2026-01-20,214953705.0,107476852.0,31
Tuyên Quang,Miền Bắc,4,6,159.0,199272631.0,40,5,2025-03-21,2026-02-13,49818158.0,33212105.0,32
Hòa Bình,Miền Bắc,4,6,111.0,159083593.0,51,5,2025-02-10,2026-01-27,39770898.0,26513932.0,33
Nghệ A,Miền Bắc,1,1,115.0,138392643.0,18,3,2025-02-14,2025-02-14,138392643.0,138392643.0,34
Lào Cai,Miền Bắc,3,6,92.0,124217357.0,40,3,2026-01-19,2026-02-24,41405786.0,20702893.0,35
Lạng Sơn,Miền Bắc,2,3,106.0,121901111.0,47,5,2025-02-10,2026-01-29,60950556.0,40633704.0,36
Hạ Long,Miền Bắc,2,2,95.0,118696468.0,23,4,2025-03-20,2025-03-31,59348234.0,59348234.0,37
Sầm Sơn,Miền Bắc,1,3,80.0,117056538.0,34,3,2026-01-13,2026-02-26,117056538.0,39018846.0,38
Hà Giang,Miền Bắc,3,3,101.0,115430000.0,38,5,2025-03-28,2025-03-31,38476667.0,38476667.0,39
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,1,2,94.0,115376430.0,38,4,2025-03-24,2025-03-25,115376430.0,57688215.0,40
Phủ Lý,Miền Bắc,1,3,61.0,100172198.0,23,1,2026-01-27,2026-02-27,100172198.0,33390733.0,41
TP Đà Nẵng,Miền Bắc,5,7,54.0,86292586.0,25,3,2025-01-22,2026-02-07,17258517.0,12327512.0,42
Hải Dươn,Miền Bắc,1,4,68.0,82782643.0,25,4,2025-02-22,2025-03-27,82782643.0,20695661.0,43
Quảng Ngãi,Miền Trung,3,4,61.0,82101102.0,26,4,2025-02-22,2026-02-13,27367034.0,20525276.0,44
Điện Biên,Miền Bắc,3,3,46.0,77167763.0,23,4,2025-02-22,2026-01-31,25722588.0,25722588.0,45
Tam Kỳ,Miền Bắc,1,2,56.0,77025542.0,22,2,2025-01-23,2026-01-12,77025542.0,38512771.0,46
