fiscal_year,week,so_don,tong_sl,tong_dt,so_dai_ly,mom_pct
2025,1,1,1.0,2305556.0,1,
2025,2,26,670.0,1104535916.0,20,47807.6
2025,3,22,850.0,1494873952.0,17,35.3
2025,4,12,316.0,596454865.0,11,-60.1
2025,6,10,66.0,138593513.0,9,-76.8
2025,7,52,1450.0,1787583913.0,46,1189.8
2025,8,96,2977.0,3658099406.0,84,104.6
2025,9,29,681.0,991178241.0,25,-72.9
2025,10,8,65.0,105641473.0,6,-89.3
2025,11,19,442.0,683012313.0,14,546.5
2025,12,167,5170.0,6579528415.0,121,863.3
2025,13,206,7803.0,9745553190.0,138,48.1
2025,14,45,985.0,1229810810.0,44,-87.4
2026,1,1,1.0,2027778.0,1,-99.8
2026,2,7,181.0,264437037.0,6,12940.7
2026,3,94,2914.0,5085020043.0,60,1823.0
2026,4,146,3363.0,5663365928.0,104,11.4
2026,5,235,6083.0,10122158009.0,182,78.7
2026,6,105,2886.0,4454259475.0,85,-56.0
2026,7,180,5316.0,8165329799.0,131,83.3
2026,8,2,2.0,4796297.0,2,-99.9
2026,9,164,4317.0,6762548377.0,111,140895.2
