fiscal_year,fiscal_month,ym,group_code,group_name,so_don,tong_sl,tong_dt,so_dai_ly,ty_trong_pct
2025,1,2025-01,CITYBIKE_P,Xe phổ thông,45,947.0,1569577377.0,34,53.41
2025,1,2025-01,KIDBIKE_1,Xe trẻ em nhóm 1,16,218.0,364191375.0,10,12.39
2025,1,2025-01,KIDBIKE_2,Xe trẻ em nhóm 2,15,128.0,119466940.0,6,4.07
2025,1,2025-01,SPORTBIKE_A,Xe thể thao nhôm,7,37.0,131539142.0,6,4.48
2025,1,2025-01,SPORTBIKE_S,Xe thể thao thép,23,346.0,753752125.0,13,25.65
2025,2,2025-02,CITYBIKE_P,Xe phổ thông,174,3363.0,4307545384.0,134,69.56
2025,2,2025-02,KIDBIKE_1,Xe trẻ em nhóm 1,85,717.0,838248052.0,75,13.54
2025,2,2025-02,KIDBIKE_2,Xe trẻ em nhóm 2,56,462.0,307016457.0,41,4.96
2025,2,2025-02,SPORTBIKE_A,Xe thể thao nhôm,42,171.0,451082224.0,40,7.28
2025,2,2025-02,SPORTBIKE_S,Xe thể thao thép,56,204.0,288466569.0,50,4.66
2025,3,2025-03,CITYBIKE_P,Xe phổ thông,412,8954.0,11079768166.0,235,62.01
2025,3,2025-03,KIDBIKE_1,Xe trẻ em nhóm 1,265,2427.0,2812349881.0,160,15.74
2025,3,2025-03,KIDBIKE_2,Xe trẻ em nhóm 2,134,1117.0,695529515.0,86,3.89
2025,3,2025-03,SPORTBIKE_A,Xe thể thao nhôm,130,608.0,1707156959.0,77,9.56
2025,3,2025-03,SPORTBIKE_S,Xe thể thao thép,144,952.0,1571476861.0,88,8.8
2026,1,2026-01,CITYBIKE_P,Xe phổ thông,401,6743.0,10948454445.0,268,77.93
2026,1,2026-01,KIDBIKE_1,Xe trẻ em nhóm 1,231,1637.0,2101176802.0,163,14.96
2026,1,2026-01,KIDBIKE_2,Xe trẻ em nhóm 2,109,496.0,459193023.0,67,3.27
2026,1,2026-01,SPORTBIKE_A,Xe thể thao nhôm,14,38.0,96984806.0,12,0.69
2026,1,2026-01,SPORTBIKE_S,Xe thể thao thép,60,197.0,443426024.0,43,3.16
2026,2,2026-02,CITYBIKE_P,Xe phổ thông,373,6565.0,10543385018.0,239,76.98
2026,2,2026-02,KIDBIKE_1,Xe trẻ em nhóm 1,222,1280.0,1641871844.0,151,11.99
2026,2,2026-02,KIDBIKE_2,Xe trẻ em nhóm 2,151,1301.0,1202314677.0,107,8.78
2026,2,2026-02,SPORTBIKE_A,Xe thể thao nhôm,4,20.0,57815363.0,4,0.42
2026,2,2026-02,SPORTBIKE_S,Xe thể thao thép,36,116.0,251574257.0,31,1.84
