fiscal_year,fiscal_quarter,group_code,group_name,so_don,tong_sl,tong_dt,q_label
2025,1,CITYBIKE_P,Xe phổ thông,631,13264.0,16956890927.0,Q1/2025
2025,1,KIDBIKE_1,Xe trẻ em nhóm 1,366,3362.0,4014789308.0,Q1/2025
2025,1,KIDBIKE_2,Xe trẻ em nhóm 2,205,1707.0,1122012912.0,Q1/2025
2025,1,SPORTBIKE_A,Xe thể thao nhôm,179,816.0,2289778325.0,Q1/2025
2025,1,SPORTBIKE_S,Xe thể thao thép,223,1502.0,2613695555.0,Q1/2025
2026,1,CITYBIKE_P,Xe phổ thông,774,13308.0,21491839463.0,Q1/2026
2026,1,KIDBIKE_1,Xe trẻ em nhóm 1,453,2917.0,3743048646.0,Q1/2026
2026,1,KIDBIKE_2,Xe trẻ em nhóm 2,260,1797.0,1661507700.0,Q1/2026
2026,1,SPORTBIKE_A,Xe thể thao nhôm,18,58.0,154800169.0,Q1/2026
2026,1,SPORTBIKE_S,Xe thể thao thép,96,313.0,695000281.0,Q1/2026
