dom,so_don,tong_sl,tong_dt
1,3,145.0,240178891.0
2,3,9.0,21101852.0
3,4,9.0,31777777.0
4,36,1282.0,1897467930.0
5,36,650.0,1042272254.0
6,19,499.0,787707356.0
7,34,738.0,1179559151.0
8,5,182.0,304743788.0
9,34,704.0,1128493703.0
10,59,1768.0,2340091449.0
11,28,700.0,1230428411.0
12,73,2259.0,3479654811.0
13,88,2807.0,4455458432.0
14,36,1112.0,1435145411.0
15,25,565.0,1197638338.0
16,39,1400.0,2509656919.0
17,37,1352.0,2078960994.0
18,17,342.0,447783260.0
19,63,1788.0,2350621690.0
20,78,2367.0,2879687801.0
21,62,1537.0,2041076402.0
22,89,2590.0,3533382724.0
23,28,678.0,1142883476.0
24,148,4188.0,6181162209.0
25,80,3026.0,4137946477.0
26,108,2561.0,3767523004.0
27,102,3508.0,5138056637.0
28,146,4023.0,5771869218.0
29,38,1210.0,2067639542.0
30,24,468.0,811231310.0
31,85,2072.0,3009913089.0
