line_id,line_name,group_code,group_name,so_don,tong_sl,tong_dt,so_sku,so_dai_ly,gia_tb,ty_trong_nhom
21.0,Xe New 26,CITYBIKE_P,Xe phổ thông,805,6584.0,9507420297.0,11,431,1420342.1169949998,24.73
20.0,Xe New 24,CITYBIKE_P,Xe phổ thông,674,4459.0,6027796733.0,7,394,1349156.5981588447,15.68
13.0,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,496,2437.0,3611556784.0,4,278,1487490.2053333332,9.39
32.0,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,559,2762.0,3337044338.0,4,345,1215196.0238958707,43.02
10.0,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,480,2251.0,3316974376.0,3,304,1471452.8813092269,8.63
18.0,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,381,1521.0,2408172620.0,3,255,1562392.1641384861,6.26
15.0,Xe LD 26,CITYBIKE_P,Xe phổ thông,277,1163.0,2062250242.0,3,187,1799312.0185937502,5.36
25.0,Xe GN 06 20 2024,KIDBIKE_1,Xe trẻ em nhóm 1,352,1522.0,1823228024.0,4,239,1202294.9662797202,23.5
8.0,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,311,1237.0,1758742935.0,3,216,1409087.5893283582,4.57
22.0,Xe Nữ,CITYBIKE_P,Xe phổ thông,162,1121.0,1653578335.0,2,123,1468906.6571264367,4.3
3.0,Xe 219-26,CITYBIKE_P,Xe phổ thông,228,1017.0,1382089174.0,3,174,1326980.806587537,3.59
1.0,Xe 219-05-26,CITYBIKE_P,Xe phổ thông,224,941.0,1381409524.0,1,157,1419939.3453478261,3.59
69.0,Xe Super 24,SPORTBIKE_S,Xe thể thao thép,170,667.0,1169567522.0,3,104,1666704.6812676056,35.35
2.0,Xe 219-24,CITYBIKE_P,Xe phổ thông,109,655.0,909148995.0,3,77,1334863.2975706214,2.36
9.0,Xe GN 06-26,CITYBIKE_P,Xe phổ thông,186,656.0,909094834.0,3,140,1346466.019028777,2.36
74.0,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,102,342.0,894014726.0,3,61,2383865.030184049,36.57
75.0,Xe Road RPD 700C,SPORTBIKE_A,Xe thể thao nhôm,89,324.0,866131116.0,3,54,2543969.28112,35.43
