product_code,product_name,color,line_name,group_code,group_name,so_don,tong_sl,tong_dt,gia_min,gia_max,gia_tb,so_dai_ly,so_tinh,dt_per_don,rank,ty_trong_pct
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Xe New 26,CITYBIKE_P,Xe phổ thông,566,2483.0,3537208993.0,1180000.0,2490741.0,1426252.0976039933,347,49,6249486.0,1,5.153
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,Xe New 24,CITYBIKE_P,Xe phổ thông,480,1713.0,2320473494.0,1130000.0,1846574.0,1359704.83458498,309,49,4834320.0,2,3.381
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,371,1211.0,1855162820.0,1200000.0,2592593.0,1529744.6210052911,242,44,5000439.0,3,2.703
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,Xe New 26,CITYBIKE_P,Xe phổ thông,381,1252.0,1811200009.0,1180000.0,2166666.6,1424237.797070707,270,45,4753806.0,4,2.639
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,375,1190.0,1759770654.0,1250000.0,2453704.0,1470266.7407052894,265,42,4692722.0,5,2.564
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,Xe New 26,CITYBIKE_P,Xe phổ thông,383,1138.0,1678308225.0,1180000.0,2490741.0,1428004.9994300518,247,42,4382006.0,6,2.445
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,296,895.0,1444342063.0,1250000.0,2768519.0,1588650.855980392,208,37,4879534.0,7,2.104
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,380,1162.0,1434516070.0,1050000.0,2027778.0,1237864.9266153846,250,46,3775042.0,8,2.09
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,Xe 219-05-26,CITYBIKE_P,Xe phổ thông,224,941.0,1381409524.0,1250000.0,2361111.0,1419939.3453478261,157,35,6167007.0,9,2.013
000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,Xe LD 26,CITYBIKE_P,Xe phổ thông,227,770.0,1362615654.0,1280000.0,2768519.0,1795964.1401984126,164,30,6002712.0,10,1.985
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,311,910.0,1318725170.0,1250000.0,2453704.0,1453577.52615625,224,39,4240274.0,11,1.921
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,Xe Nữ,CITYBIKE_P,Xe phổ thông,129,886.0,1308233962.0,1300000.0,2361111.0,1476508.585185185,100,19,10141349.0,12,1.906
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,Xe New 26,CITYBIKE_P,Xe phổ thông,301,832.0,1172070127.0,1180000.0,2166666.6,1406588.9304234528,217,39,3893921.0,13,1.708
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,Xe New 24,CITYBIKE_P,Xe phổ thông,294,821.0,1112254536.0,1130000.0,1846574.0,1354001.1854304636,218,44,3783179.0,14,1.62
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,300,702.0,833759844.0,1050000.0,2027778.0,1196209.4772168284,229,46,2779199.0,15,1.215
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,233,571.0,792797344.0,1180000.0,1544444.44,1384287.633220339,177,38,3402564.0,16,1.155
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,Xe New 24,CITYBIKE_P,Xe phổ thông,250,576.0,779729677.0,1130000.0,2398148.0,1360339.864552529,197,39,3118919.0,17,1.136
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,212,532.0,777028965.0,1200000.0,1544444.44,1437474.2851141552,159,35,3665231.0,18,1.132
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,Xe New 24,CITYBIKE_P,Xe phổ thông,241,573.0,773837487.0,1130000.0,2222222.2,1337063.004467213,188,39,3210944.0,19,1.127
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,220,510.0,718796802.0,1200000.0,2037037.0,1436563.8545454545,149,32,3267258.0,20,1.047
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,Xe Super 24,SPORTBIKE_S,Xe thể thao thép,135,358.0,718213012.0,1200000.0,2488241.0,1815617.1407407408,84,17,5320096.0,21,1.046
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,Xe GN 06 20 2024,KIDBIKE_1,Xe trẻ em nhóm 1,219,574.0,693316689.0,1150000.0,1842593.0,1202383.2531818182,168,38,3165830.0,22,1.01
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,153,484.0,686770756.0,1250000.0,2361111.0,1452858.2403870968,118,32,4488698.0,23,1.001
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,Xe 219-26,CITYBIKE_P,Xe phổ thông,159,518.0,682150847.0,1086111.0,2268519.0,1302203.2188888888,133,32,4290257.0,24,0.994
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,235,544.0,650642097.0,1050000.0,2027778.0,1211616.2889166665,173,40,2768690.0,25,0.948
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,185,402.0,610686802.0,1250000.0,2768518.52,1525709.0582978723,144,31,3301010.0,26,0.89
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,139,358.0,530851824.0,1200000.0,2592592.59,1488869.0855319148,95,37,3819078.0,27,0.773
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,Xe GN 06 20 2024,KIDBIKE_1,Xe trẻ em nhóm 1,205,440.0,526713455.0,1150000.0,1842593.0,1206788.7846889952,150,37,2569334.0,28,0.767
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,157,358.0,506745338.0,1200000.0,2037037.0,1456665.397515528,113,29,3227677.0,29,0.738
1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,Đen,Xe Road RPD 700C,SPORTBIKE_A,Xe thể thao nhôm,61,178.0,501888337.0,2150000.0,3486388.89,2614162.104262295,33,16,8227678.0,30,0.731
1000300050200000,Xe đạp Thống Nhất MTB SPD 27.5 (xanh da trời),trời,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,60,166.0,488659169.0,2150000.0,3486388.89,2653226.8430000003,35,16,8144319.0,31,0.712
1000240020090000,Xe đạp Thống Nhất TE Bunny 16 Hồng,Hồng,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,203,625.0,485622223.0,500000.0,1472222.22,795314.3555238096,142,35,2392228.0,32,0.707
000216002007000,Xe đạp Thống Nhất GN 06-24 Coban,Coban,Xe GN 06-24,CITYBIKE_P,Xe phổ thông,25,325.0,483900907.0,1100000.0,2120370.37,1358845.7553571428,20,11,19356036.0,33,0.705
000305002022000,Xe đạp Thống Nhất MTB 20-05 Xanh dương,Xanh dương,Xe MTB 20-05,KIDBIKE_1,Xe trẻ em nhóm 1,76,342.0,481958334.0,1050000.0,1800000.0,1087609.6492105264,55,23,6341557.0,34,0.702
000224002009000,Xe đạp Thống Nhất New 24 Hồng,Hồng,Xe New 24,CITYBIKE_P,Xe phổ thông,160,358.0,461487169.0,1130000.0,1568888.89,1295140.4499382714,129,31,2884295.0,35,0.672
1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Xanh dương,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,195,577.0,454386429.0,500000.0,1472222.0,783967.4248039216,138,31,2330187.0,36,0.662
000334002013000,Xe đạp Thống Nhất Super 20 Xanh,Xanh,Xe TE Super 20,KIDBIKE_1,Xe trẻ em nhóm 1,88,264.0,452090245.0,1210000.0,1960648.15,1602732.3505681818,48,19,5137389.0,37,0.659
000230002002000,Xe đạp Thống Nhất LD 26 Trắng,Trắng,Xe LD 26,CITYBIKE_P,Xe phổ thông,110,243.0,433796953.0,1280000.0,2131759.0,1807263.8205128205,88,24,3943609.0,38,0.632
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,Đỏ tươi,Xe New 26,CITYBIKE_P,Xe phổ thông,102,283.0,428189253.0,1180000.0,2490740.74,1440655.3783333334,88,28,4197934.0,39,0.624
000217002001000,Xe đạp Thống Nhất GN 06-26 Đen,Đen,Xe GN 06-26,CITYBIKE_P,Xe phổ thông,132,321.0,426110141.0,1150000.0,2268519.0,1340795.869477612,98,23,3228107.0,40,0.621
000125002002000,Xe đạp Thống Nhất Puppy 20 Trắng,Trắng,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,174,354.0,418126327.0,1050000.0,2027778.0,1203110.9225142857,122,38,2403025.0,41,0.609
000330002001000,Xe đạp Thống Nhất MTB 24-03 Đen,Đen,Xe MTB 24-03,CITYBIKE_P,Xe phổ thông,145,339.0,413084716.0,1200000.0,1618981.48,1220088.1367123288,102,30,2848860.0,42,0.602
000208002003000,Xe đạp Thống Nhất 219-24 Đỏ đun,Đỏ đun,Xe 219-24,CITYBIKE_P,Xe phổ thông,60,280.0,394773111.0,1100000.0,2175926.0,1360707.7093548388,48,13,6579552.0,43,0.575
000209002003000,Xe đạp Thống Nhất 219-26 Đỏ đun,Đỏ đun,Xe 219-26,CITYBIKE_P,Xe phổ thông,92,288.0,380212439.0,1150000.0,2212962.96,1308003.1378723404,81,27,4132744.0,44,0.554
000215004000000,Xe đạp Thống Nhất GN 05-27,05-27,Xe GN 05-27,CITYBIKE_P,Xe phổ thông,81,248.0,360359486.0,1280000.0,2453704.0,1512277.291707317,57,20,4448883.0,45,0.525
000330002002200,Xe đạp Thống Nhất MTB 24-03 Xanh dương,Xanh dương,Xe MTB 24-03,CITYBIKE_P,Xe phổ thông,134,261.0,355948424.0,1200000.0,2490740.74,1320800.162164179,93,28,2656332.0,46,0.519
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,Đỏ tươi,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,127,224.0,353143755.0,1250000.0,2768519.0,1553425.7404724408,97,25,2780659.0,47,0.514
000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",Ngọc,Xe Nữ,CITYBIKE_P,Xe phổ thông,37,235.0,345344373.0,1300000.0,1544444.0,1442592.2907692308,34,11,9333632.0,48,0.503
1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,Café/nâu,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,132,383.0,327595442.0,500000.0,1148333.0,842152.9145864662,89,28,2481784.0,49,0.477
000209002007000,Xe đạp Thống Nhất 219-26 Coban,Coban,Xe 219-26,CITYBIKE_P,Xe phổ thông,79,211.0,319725888.0,1150000.0,2268518.5,1398559.449382716,70,21,4047163.0,50,0.466
