group_code,group_name,color,so_don,tong_sl,tong_dt,so_sku,ty_trong_nhom_pct
CITYBIKE_P,Xe phổ thông,Kem,951,6177.0,9075460961.0,4,23.25
CITYBIKE_P,Xe phổ thông,Đen,633,2801.0,3899619130.0,8,10.54
CITYBIKE_P,Xe phổ thông,Trắng,636,2467.0,3610631657.0,4,9.28
CITYBIKE_P,Xe phổ thông,Ghi,612,2454.0,3690347586.0,4,9.24
CITYBIKE_P,Xe phổ thông,Café/nâu,595,2431.0,3454306369.0,3,9.15
CITYBIKE_P,Xe phổ thông,Xanh mint,424,1405.0,1945907614.0,2,5.29
CITYBIKE_P,Xe phổ thông,Ngọc,162,1121.0,1653578335.0,2,4.22
CITYBIKE_P,Xe phổ thông,Coban,214,1087.0,1612435998.0,6,4.09
CITYBIKE_P,Xe phổ thông,219-05-26,224,941.0,1381409524.0,1,3.54
CITYBIKE_P,Xe phổ thông,Đỏ đun,195,797.0,1101563322.0,5,3.0
CITYBIKE_P,Xe phổ thông,Xanh Tím,212,709.0,933954522.0,2,2.67
CITYBIKE_P,Xe phổ thông,Đỏ tươi,256,701.0,1061032339.0,4,2.64
CITYBIKE_P,Xe phổ thông,Xanh dương,288,663.0,966635226.0,2,2.5
CITYBIKE_P,Xe phổ thông,Hồng,226,597.0,789356051.0,3,2.25
CITYBIKE_P,Xe phổ thông,Xanh Santorini,222,547.0,843952786.0,3,2.06
CITYBIKE_P,Xe phổ thông,05-26,153,484.0,686770756.0,1,1.82
CITYBIKE_P,Xe phổ thông,Tím,167,453.0,614255126.0,2,1.7
CITYBIKE_P,Xe phổ thông,Cam,132,337.0,493820270.0,3,1.27
CITYBIKE_P,Xe phổ thông,05-27,81,248.0,360359486.0,1,0.93
CITYBIKE_P,Xe phổ thông,HP,1,150.0,270833332.0,4,0.56
CITYBIKE_P,Xe phổ thông,Xanh nước biển,1,2.0,2500000.0,1,0.01
KIDBIKE_1,Xe trẻ em nhóm 1,Hồng,424,1469.0,1782733824.0,4,23.4
KIDBIKE_1,Xe trẻ em nhóm 1,Đen,329,928.0,1113221647.0,3,14.78
KIDBIKE_1,Xe trẻ em nhóm 1,Xanh,319,843.0,1149107616.0,3,13.43
KIDBIKE_1,Xe trẻ em nhóm 1,Kem,300,702.0,833759844.0,1,11.18
KIDBIKE_1,Xe trẻ em nhóm 1,Ghi,205,440.0,526713455.0,1,7.01
KIDBIKE_1,Xe trẻ em nhóm 1,Trắng,179,435.0,503176327.0,3,6.93
KIDBIKE_1,Xe trẻ em nhóm 1,Đỏ,187,377.0,463575493.0,2,6.0
KIDBIKE_1,Xe trẻ em nhóm 1,Xanh dương,76,342.0,481958334.0,1,5.45
KIDBIKE_1,Xe trẻ em nhóm 1,Vàng,144,280.0,343690324.0,2,4.46
KIDBIKE_1,Xe trẻ em nhóm 1,Đỏ tươi,30,189.0,226542495.0,4,3.01
KIDBIKE_1,Xe trẻ em nhóm 1,Coban,28,123.0,136533053.0,2,1.96
KIDBIKE_1,Xe trẻ em nhóm 1,Tím,18,52.0,60771388.0,1,0.83
KIDBIKE_1,Xe trẻ em nhóm 1,Tem đỏ,6,37.0,59798606.0,1,0.59
KIDBIKE_1,Xe trẻ em nhóm 1,chanh,19,30.0,39373604.0,1,0.48
KIDBIKE_1,Xe trẻ em nhóm 1,Tem cam,1,20.0,22000000.0,1,0.32
KIDBIKE_1,Xe trẻ em nhóm 1,16-04,3,9.0,9000000.0,1,0.14
KIDBIKE_1,Xe trẻ em nhóm 1,trời,1,3.0,5881944.0,1,0.05
KIDBIKE_2,Xe trẻ em nhóm 2,Xanh dương,330,1457.0,1158354070.0,5,41.58
KIDBIKE_2,Xe trẻ em nhóm 2,Hồng,310,1337.0,1033448679.0,4,38.16
KIDBIKE_2,Xe trẻ em nhóm 2,Café/nâu,132,383.0,327595442.0,1,10.93
KIDBIKE_2,Xe trẻ em nhóm 2,Cam,83,173.0,153469687.0,1,4.94
KIDBIKE_2,Xe trẻ em nhóm 2,Kem,72,154.0,110652734.0,2,4.39
SPORTBIKE_A,Xe thể thao nhôm,Đen,125,363.0,997398251.0,4,41.53
SPORTBIKE_A,Xe thể thao nhôm,Ghi,101,222.0,550999673.0,6,25.4
SPORTBIKE_A,Xe thể thao nhôm,trời,71,207.0,604057888.0,2,23.68
SPORTBIKE_A,Xe thể thao nhôm,Xanh,31,49.0,165768979.0,2,5.61
SPORTBIKE_A,Xe thể thao nhôm,Cam,13,27.0,105753703.0,2,3.09
SPORTBIKE_A,Xe thể thao nhôm,Xanh dương,5,6.0,20600000.0,1,0.69
SPORTBIKE_S,Xe thể thao thép,Đen,135,358.0,718213012.0,1,19.72
SPORTBIKE_S,Xe thể thao thép,Xanh,99,218.0,312120504.0,3,12.01
SPORTBIKE_S,Xe thể thao thép,Xanh dương,59,165.0,334358422.0,3,9.09
SPORTBIKE_S,Xe thể thao thép,đen,69,150.0,195981018.0,1,8.26
SPORTBIKE_S,Xe thể thao thép,xanh,69,131.0,192022740.0,2,7.22
SPORTBIKE_S,Xe thể thao thép,Đỏ,64,107.0,160701006.0,1,5.9
SPORTBIKE_S,Xe thể thao thép,Tem cam,15,101.0,230531479.0,3,5.56
SPORTBIKE_S,Xe thể thao thép,mờ,39,85.0,133218693.0,2,4.68
SPORTBIKE_S,Xe thể thao thép,Trắng,21,84.0,204113606.0,1,4.63
SPORTBIKE_S,Xe thể thao thép,Tem đỏ,1,78.0,202222222.0,1,4.3
SPORTBIKE_S,Xe thể thao thép,Ghi,21,72.0,128859018.0,4,3.97
SPORTBIKE_S,Xe thể thao thép,rêu,23,53.0,84405084.0,1,2.92
SPORTBIKE_S,Xe thể thao thép,Cam,10,50.0,78704074.0,2,2.75
SPORTBIKE_S,Xe thể thao thép,Đỏ đun,16,46.0,69196849.0,2,2.53
SPORTBIKE_S,Xe thể thao thép,bóng,30,45.0,85821943.0,1,2.48
SPORTBIKE_S,Xe thể thao thép,tím,14,25.0,66462500.0,1,1.38
SPORTBIKE_S,Xe thể thao thép,cam,8,16.0,42536000.0,1,0.88
SPORTBIKE_S,Xe thể thao thép,trắng,9,16.0,42536000.0,1,0.88
SPORTBIKE_S,Xe thể thao thép,BLACKPINK,1,9.0,12150000.0,1,0.5
SPORTBIKE_S,Xe thể thao thép,trời,2,5.0,12053425.0,1,0.28
SPORTBIKE_S,Xe thể thao thép,vàng,1,1.0,2488241.0,1,0.06
