fiscal_year,fiscal_month,ym,group_code,color,tong_sl,tong_dt
2025,1,2025-01,CITYBIKE_P,Coban,250.0,409569258.0
2025,1,2025-01,CITYBIKE_P,Đỏ tươi,149.0,271970462.0
2025,1,2025-01,CITYBIKE_P,Café/nâu,123.0,226358327.0
2025,1,2025-01,CITYBIKE_P,Trắng,68.0,106623051.0
2025,1,2025-01,CITYBIKE_P,Xanh dương,62.0,112678702.0
2025,1,2025-01,CITYBIKE_P,Ghi,61.0,103154444.0
2025,1,2025-01,CITYBIKE_P,Kem,61.0,82075360.0
2025,1,2025-01,CITYBIKE_P,Đen,46.0,71783333.0
2025,1,2025-01,CITYBIKE_P,Ngọc,37.0,56116667.0
2025,1,2025-01,CITYBIKE_P,Xanh mint,22.0,30638791.0
2025,1,2025-01,CITYBIKE_P,Cam,16.0,25866296.0
2025,1,2025-01,CITYBIKE_P,219-05-26,15.0,19993056.0
2025,1,2025-01,CITYBIKE_P,05-26,11.0,16297223.0
2025,1,2025-01,CITYBIKE_P,Hồng,11.0,12830000.0
2025,1,2025-01,CITYBIKE_P,Đỏ đun,5.0,11064815.0
2025,1,2025-01,CITYBIKE_P,05-27,4.0,5677592.0
2025,1,2025-01,CITYBIKE_P,Xanh Tím,4.0,4500000.0
2025,1,2025-01,CITYBIKE_P,Tím,1.0,1180000.0
2025,1,2025-01,CITYBIKE_P,Xanh Santorini,1.0,1200000.0
2025,1,2025-01,KIDBIKE_1,Xanh dương,104.0,186754167.0
2025,1,2025-01,KIDBIKE_1,Hồng,27.0,41358334.0
2025,1,2025-01,KIDBIKE_1,Coban,24.0,30734445.0
2025,1,2025-01,KIDBIKE_1,Tem đỏ,17.0,37798606.0
2025,1,2025-01,KIDBIKE_1,Vàng,12.0,26474070.0
2025,1,2025-01,KIDBIKE_1,Xanh,10.0,11840275.0
2025,1,2025-01,KIDBIKE_1,Kem,9.0,10790275.0
2025,1,2025-01,KIDBIKE_1,Đen,4.0,4797685.0
2025,1,2025-01,KIDBIKE_1,Trắng,3.0,3150000.0
2025,1,2025-01,KIDBIKE_1,Tím,3.0,4495833.0
2025,1,2025-01,KIDBIKE_1,Đỏ,3.0,3597685.0
2025,1,2025-01,KIDBIKE_1,Ghi,2.0,2400000.0
2025,1,2025-01,KIDBIKE_2,Hồng,55.0,50611108.0
