product_code,product_name,color,group_code,fiscal_year,fiscal_month,ym,tong_sl,tong_dt
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,KIDBIKE_1,2025,1,2025-01,7.0,7350000.0
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,KIDBIKE_1,2025,2,2025-02,112.0,118136110.0
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,KIDBIKE_1,2025,3,2025-03,347.0,417787776.0
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,KIDBIKE_1,2026,1,2026-01,378.0,484720435.0
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,KIDBIKE_1,2026,2,2026-02,318.0,406521749.0
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,KIDBIKE_1,2025,1,2025-01,10.0,11840275.0
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,KIDBIKE_1,2025,2,2025-02,58.0,60900000.0
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,KIDBIKE_1,2025,3,2025-03,159.0,170003605.0
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,KIDBIKE_1,2026,1,2026-01,139.0,174022737.0
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,KIDBIKE_1,2026,2,2026-02,178.0,233875480.0
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,KIDBIKE_1,2025,1,2025-01,9.0,10790275.0
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,KIDBIKE_1,2025,2,2025-02,78.0,82168055.0
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,KIDBIKE_1,2025,3,2025-03,235.0,250339716.0
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,KIDBIKE_1,2026,1,2026-01,194.0,246754659.0
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,KIDBIKE_1,2026,2,2026-02,186.0,243707139.0
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,KIDBIKE_1,2025,1,2025-01,4.0,4797685.0
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,KIDBIKE_1,2025,2,2025-02,110.0,136400926.0
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,KIDBIKE_1,2025,3,2025-03,159.0,190781480.0
