group_code,group_name,fiscal_year,fiscal_month,gia_min,gia_max,gia_tb,gia_median,gia_std,gia_range
CITYBIKE_P,Xe phổ thông,2025,1,1100000.0,2592592.59,1525640.362516129,1270000.0,403853.9196476476,1492592.5899999999
CITYBIKE_P,Xe phổ thông,2025,2,1100000.0,2768518.52,1247731.2219777396,1200000.0,212307.67913463066,1668518.52
CITYBIKE_P,Xe phổ thông,2025,3,1086111.0,2798611.0,1231452.8953146175,1180000.0,185141.5408880798,1712500.0
CITYBIKE_P,Xe phổ thông,2026,1,1130000.0,2768519.0,1626089.3750109698,1605555.0,158595.06427365486,1638519.0
CITYBIKE_P,Xe phổ thông,2026,2,1130000.0,2768519.0,1611908.412359155,1591666.0,162549.34189645288,1638519.0
KIDBIKE_1,Xe trẻ em nhóm 1,2025,1,1050000.0,2407407.0,1445650.6647222221,1318055.0,398098.85464361665,1357407.0
KIDBIKE_1,Xe trẻ em nhóm 1,2025,2,1050000.0,1960648.15,1114004.454539007,1050000.0,110266.85842570137,910648.1499999999
KIDBIKE_1,Xe trẻ em nhóm 1,2025,3,750000.0,1960648.15,1142809.9672093024,1050000.0,170048.4613597295,1210648.15
KIDBIKE_1,Xe trẻ em nhóm 1,2026,1,1050000.0,2027778.0,1299151.2661755488,1324444.0,186442.81052078147,977778.0
KIDBIKE_1,Xe trẻ em nhóm 1,2026,2,1050000.0,2027778.0,1311891.1386243387,1310555.0,168881.17056506767,977778.0
KIDBIKE_2,Xe trẻ em nhóm 2,2025,1,470000.0,1388889.0,936563.5356818181,1104861.0550000002,294796.7564014648,918889.0
KIDBIKE_2,Xe trẻ em nhóm 2,2025,2,470000.0,1148333.0,606045.1645882353,500000.0,241109.91094836552,678333.0
KIDBIKE_2,Xe trẻ em nhóm 2,2025,3,470000.0,1472222.22,624585.6878975742,500000.0,258427.1145160882,1002222.22
KIDBIKE_2,Xe trẻ em nhóm 2,2026,1,470000.0,1472222.0,922608.7495614035,957777.0,178715.1605826753,1002222.0
KIDBIKE_2,Xe trẻ em nhóm 2,2026,2,470000.0,1472222.0,917275.8683856502,943888.0,125104.75994877881,1002222.0
SPORTBIKE_A,Xe thể thao nhôm,2025,1,2150000.0,7490740.74,3767627.049090909,3222643.1,1630496.668076852,5340740.74
SPORTBIKE_A,Xe thể thao nhôm,2025,2,2150000.0,7490740.74,2708852.137142857,2150000.0,842407.3223186885,5340740.74
SPORTBIKE_A,Xe thể thao nhôm,2025,3,2150000.0,7490740.74,2660948.4072053875,2150000.0,684623.2380913506,5340740.74
SPORTBIKE_A,Xe thể thao nhôm,2026,1,1600000.0,2664259.0,2611046.05,2664259.0,237975.54696659485,1064259.0
SPORTBIKE_A,Xe thể thao nhôm,2026,2,2664259.0,4527778.0,3204212.75,2812407.0,893363.3404949243,1863519.0
SPORTBIKE_S,Xe thể thao thép,2025,1,1200000.0,3879629.63,2130002.1036363635,2488240.74,852443.8135736736,2679629.63
SPORTBIKE_S,Xe thể thao thép,2025,2,1200000.0,3694444.44,1394327.0450704226,1300000.0,455764.8516440629,2494444.44
SPORTBIKE_S,Xe thể thao thép,2025,3,1200000.0,2909722.0,1629861.1448128342,1300000.0,584890.3096050336,1709722.0
SPORTBIKE_S,Xe thể thao thép,2026,1,1350000.0,4157407.0,2289147.832967033,2118888.0,390764.4552801118,2807407.0
SPORTBIKE_S,Xe thể thao thép,2026,2,1350000.0,4157407.0,2145865.065671642,2105000.0,420881.32081048365,2807407.0
