line_name,group_code,fiscal_year,fiscal_month,ym,tong_sl,tong_dt,so_don
Xe 219-05-26,CITYBIKE_P,2025,1,2025-01,15.0,19993056.0,2
Xe 219-05-26,CITYBIKE_P,2025,2,2025-02,178.0,259193055.0,27
Xe 219-05-26,CITYBIKE_P,2025,3,2025-03,319.0,434765276.0,77
Xe 219-05-26,CITYBIKE_P,2026,1,2026-01,113.0,175338839.0,46
Xe 219-05-26,CITYBIKE_P,2026,2,2026-02,316.0,492119298.0,72
Xe 219-24,CITYBIKE_P,2025,1,2025-01,105.0,155712962.0,2
Xe 219-24,CITYBIKE_P,2025,2,2025-02,91.0,121618519.0,12
Xe 219-24,CITYBIKE_P,2025,3,2025-03,136.0,162959259.0,30
Xe 219-24,CITYBIKE_P,2026,1,2026-01,152.0,226244421.0,27
Xe 219-24,CITYBIKE_P,2026,2,2026-02,171.0,242613834.0,38
Xe 219-26,CITYBIKE_P,2025,1,2025-01,7.0,13364815.0,2
Xe 219-26,CITYBIKE_P,2025,2,2025-02,168.0,200510183.0,38
Xe 219-26,CITYBIKE_P,2025,3,2025-03,352.0,412069901.0,90
Xe 219-26,CITYBIKE_P,2026,1,2026-01,265.0,402505472.0,53
Xe 219-26,CITYBIKE_P,2026,2,2026-02,225.0,353638803.0,45
Xe Bunny 12,KIDBIKE_2,2025,1,2025-01,3.0,1410000.0,1
Xe Bunny 12,KIDBIKE_2,2025,2,2025-02,38.0,20847313.0,14
Xe Bunny 12,KIDBIKE_2,2025,3,2025-03,126.0,60073518.0,34
Xe Bunny 12,KIDBIKE_2,2026,1,2026-01,82.0,68462918.0,33
Xe Bunny 12,KIDBIKE_2,2026,2,2026-02,157.0,136119327.0,43
Xe Bunny 16,KIDBIKE_2,2025,1,2025-01,23.0,13444999.0,3
Xe Bunny 16,KIDBIKE_2,2025,2,2025-02,115.0,73516936.0,37
Xe Bunny 16,KIDBIKE_2,2025,3,2025-03,254.0,146258046.0,57
Xe Bunny 16,KIDBIKE_2,2026,1,2026-01,148.0,134068810.0,51
Xe Bunny 16,KIDBIKE_2,2026,2,2026-02,373.0,337434718.0,93
Xe GN 05-26,CITYBIKE_P,2025,1,2025-01,11.0,16297223.0,5
Xe GN 05-26,CITYBIKE_P,2025,2,2025-02,69.0,89665278.0,24
Xe GN 05-26,CITYBIKE_P,2025,3,2025-03,193.0,260066667.0,63
Xe GN 05-26,CITYBIKE_P,2026,1,2026-01,144.0,214316618.0,44
Xe GN 05-26,CITYBIKE_P,2026,2,2026-02,67.0,106424970.0,17
Xe GN 05-27,CITYBIKE_P,2025,1,2025-01,4.0,5677592.0,2
Xe GN 05-27,CITYBIKE_P,2025,2,2025-02,27.0,37072128.0,9
Xe GN 05-27,CITYBIKE_P,2025,3,2025-03,138.0,189491293.0,35
Xe GN 05-27,CITYBIKE_P,2026,1,2026-01,47.0,75461085.0,17
Xe GN 05-27,CITYBIKE_P,2026,2,2026-02,32.0,52657388.0,18
Xe GN 06 20,KIDBIKE_1,2025,1,2025-01,24.0,30734445.0,2
