province_name,region,fiscal_year,fiscal_month,ym,so_don,tong_sl,tong_dt,so_dai_ly,dt_tb_dai_ly
Bắc Giang,Miền Bắc,2025,1,2025-01,1,307.0,680818519.0,1,680818519.0
Bắc Giang,Miền Bắc,2025,2,2025-02,6,148.0,190491207.0,5,38098241.0
Bắc Giang,Miền Bắc,2025,3,2025-03,8,207.0,270465796.0,6,45077633.0
Bắc Giang,Miền Bắc,2026,1,2026-01,9,606.0,1208249537.0,4,302062384.0
Bắc Giang,Miền Bắc,2026,2,2026-02,5,324.0,489005204.0,3,163001735.0
Bắc Kạn,Miền Bắc,2025,3,2025-03,2,51.0,36320000.0,1,36320000.0
Bắc Kạn,Miền Bắc,2026,1,2026-01,1,15.0,20135548.0,1,20135548.0
Bắc Ninh,Miền Bắc,2025,1,2025-01,1,45.0,42780000.0,1,42780000.0
Bắc Ninh,Miền Bắc,2025,2,2025-02,6,157.0,216362032.0,5,43272406.0
Bắc Ninh,Miền Bắc,2025,3,2025-03,8,194.0,228318048.0,5,45663610.0
Bắc Ninh,Miền Bắc,2026,1,2026-01,20,579.0,967790880.0,17,56928875.0
Bắc Ninh,Miền Bắc,2026,2,2026-02,12,341.0,512539854.0,12,42711654.0
Cao Bằng,Miền Bắc,2026,1,2026-01,1,39.0,68250264.0,1,68250264.0
Chí Linh,Miền Bắc,2025,2,2025-02,1,1.0,2212963.0,1,2212963.0
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,2025,3,2025-03,1,31.0,38840000.0,1,38840000.0
Hoà Bình,Miền Bắc,2025,3,2025-03,2,21.0,24742962.0,1,24742962.0
Hà Giang,Miền Bắc,2025,3,2025-03,3,101.0,115430000.0,3,38476667.0
Hà Nam,Miền Bắc,2025,2,2025-02,5,150.0,178550000.0,5,35710000.0
Hà Nam,Miền Bắc,2025,3,2025-03,9,240.0,287972860.0,7,41138980.0
Hà Nam,Miền Bắc,2026,1,2026-01,2,73.0,118080708.0,1,118080708.0
Hà Nam,Miền Bắc,2026,2,2026-02,2,113.0,180566997.0,1,180566997.0
Hà Nộ,Miền Bắc,2025,2,2025-02,1,30.0,34390000.0,1,34390000.0
Hà Nội,Miền Bắc,2025,1,2025-01,22,470.0,793448581.0,19,41760452.0
Hà Nội,Miền Bắc,2025,2,2025-02,65,1481.0,1901872553.0,46,41345056.0
Hà Nội,Miền Bắc,2025,3,2025-03,212,7089.0,9141727903.0,94,97252424.0
Hà Nội,Miền Bắc,2026,1,2026-01,180,3873.0,6062329102.0,93,65186334.0
Hà Nội,Miền Bắc,2026,2,2026-02,131,3813.0,5558313024.0,63,88227191.0
Hà Tĩnh,Miền Trung,2025,2,2025-02,4,92.0,103290000.0,4,25822500.0
Hà Tĩnh,Miền Trung,2025,3,2025-03,7,189.0,237441924.0,5,47488385.0
Hà Tĩnh,Miền Trung,2026,1,2026-01,9,280.0,440485252.0,7,62926465.0
Hà Tĩnh,Miền Trung,2026,2,2026-02,4,98.0,168379322.0,4,42094830.0
Hòa Bình,Miền Bắc,2025,2,2025-02,2,26.0,29161481.0,2,14580740.0
Hòa Bình,Miền Bắc,2025,3,2025-03,2,36.0,41080000.0,2,20540000.0
Hòa Bình,Miền Bắc,2026,1,2026-01,2,49.0,88842112.0,2,44421056.0
Hưng Yên,Miền Bắc,2025,1,2025-01,2,3.0,9138889.0,2,4569444.0
Hưng Yên,Miền Bắc,2025,2,2025-02,7,190.0,218279040.0,7,31182720.0
Hưng Yên,Miền Bắc,2025,3,2025-03,19,592.0,694342551.0,11,63122050.0
Hưng Yên,Miền Bắc,2026,1,2026-01,29,629.0,1021005968.0,24,42541915.0
Hưng Yên,Miền Bắc,2026,2,2026-02,18,475.0,713350364.0,14,50953597.0
Hưng yên,Miền Bắc,2025,2,2025-02,1,21.0,23960000.0,1,23960000.0
Hưng yên,Miền Bắc,2025,3,2025-03,1,21.0,24530000.0,1,24530000.0
Hạ Long,Miền Bắc,2025,3,2025-03,2,95.0,118696468.0,2,59348234.0
Hải Dươn,Miền Bắc,2025,2,2025-02,2,16.0,21422643.0,1,21422643.0
Hải Dươn,Miền Bắc,2025,3,2025-03,2,52.0,61360000.0,1,61360000.0
