province_name,region,fiscal_year,fiscal_quarter,so_don,tong_sl,tong_dt,so_dai_ly,q_label
Bắc Giang,Miền Bắc,2025,1,15,662.0,1141775522.0,9,Q1/2025
Bắc Giang,Miền Bắc,2026,1,14,930.0,1697254741.0,4,Q1/2026
Bắc Kạn,Miền Bắc,2025,1,2,51.0,36320000.0,1,Q1/2025
Bắc Kạn,Miền Bắc,2026,1,1,15.0,20135548.0,1,Q1/2026
Bắc Ninh,Miền Bắc,2025,1,15,396.0,487460080.0,7,Q1/2025
Bắc Ninh,Miền Bắc,2026,1,32,920.0,1480330734.0,18,Q1/2026
Cao Bằng,Miền Bắc,2026,1,1,39.0,68250264.0,1,Q1/2026
Chí Linh,Miền Bắc,2025,1,1,1.0,2212963.0,1,Q1/2025
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,2025,1,1,31.0,38840000.0,1,Q1/2025
Hoà Bình,Miền Bắc,2025,1,2,21.0,24742962.0,1,Q1/2025
Hà Giang,Miền Bắc,2025,1,3,101.0,115430000.0,3,Q1/2025
Hà Nam,Miền Bắc,2025,1,14,390.0,466522860.0,12,Q1/2025
Hà Nam,Miền Bắc,2026,1,4,186.0,298647705.0,1,Q1/2026
Hà Nộ,Miền Bắc,2025,1,1,30.0,34390000.0,1,Q1/2025
Hà Nội,Miền Bắc,2025,1,299,9040.0,11837049037.0,119,Q1/2025
Hà Nội,Miền Bắc,2026,1,311,7686.0,11620642126.0,107,Q1/2026
Hà Tĩnh,Miền Trung,2025,1,11,281.0,340731924.0,7,Q1/2025
Hà Tĩnh,Miền Trung,2026,1,13,378.0,608864574.0,8,Q1/2026
Hòa Bình,Miền Bắc,2025,1,4,62.0,70241481.0,3,Q1/2025
Hòa Bình,Miền Bắc,2026,1,2,49.0,88842112.0,2,Q1/2026
Hưng Yên,Miền Bắc,2025,1,28,785.0,921760480.0,19,Q1/2025
Hưng Yên,Miền Bắc,2026,1,47,1104.0,1734356332.0,28,Q1/2026
Hưng yên,Miền Bắc,2025,1,2,42.0,48490000.0,1,Q1/2025
Hạ Long,Miền Bắc,2025,1,2,95.0,118696468.0,2,Q1/2025
Hải Dươn,Miền Bắc,2025,1,4,68.0,82782643.0,1,Q1/2025
Hải Dương,Miền Bắc,2025,1,15,403.0,486713840.0,10,Q1/2025
Hải Dương,Miền Bắc,2026,1,7,173.0,321338827.0,3,Q1/2026
Hải Phòng,Miền Bắc,2025,1,6,271.0,285335556.0,6,Q1/2025
Hải Phòng,Miền Bắc,2026,1,11,264.0,438629704.0,7,Q1/2026
Hội An,Miền Bắc,2025,1,2,31.0,53357000.0,2,Q1/2025
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,2025,1,2,53.0,61441481.0,1,Q1/2025
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,2025,1,6,290.0,363062500.0,1,Q1/2025
Lào Cai,Miền Bắc,2026,1,6,92.0,124217357.0,3,Q1/2026
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2025,1,3,175.0,282381204.0,1,Q1/2025
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2026,1,4,204.0,324075674.0,1,Q1/2026
Lạng Sơn,Miền Bắc,2025,1,2,105.0,119540000.0,1,Q1/2025
Lạng Sơn,Miền Bắc,2026,1,1,1.0,2361111.0,1,Q1/2026
Nam Định,Miền Bắc,2025,1,14,779.0,926331599.0,7,Q1/2025
Nghệ A,Miền Bắc,2025,1,1,115.0,138392643.0,1,Q1/2025
Nghệ An,Miền Trung,2025,1,21,882.0,1048123580.0,8,Q1/2025
Nghệ An,Miền Trung,2026,1,27,1098.0,1728879224.0,13,Q1/2026
Ninh Bình,Miền Bắc,2025,1,12,450.0,541360000.0,6,Q1/2025
Ninh Bình,Miền Bắc,2026,1,47,1863.0,2979782103.0,15,Q1/2026
Phan Thiết,Miền Bắc,2025,1,1,2.0,4055556.0,1,Q1/2025
Phú Quốc,Miền Bắc,2025,1,1,60.0,153703695.0,1,Q1/2025
Phú Quốc,Miền Bắc,2026,1,1,30.0,61250010.0,1,Q1/2026
Phú Thọ,Miền Bắc,2025,1,12,291.0,349990199.0,8,Q1/2025
Phú Thọ,Miền Bắc,2026,1,29,501.0,896304803.0,21,Q1/2026
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,2025,1,1,16.0,22550000.0,1,Q1/2025
Phủ Lý,Miền Bắc,2026,1,3,61.0,100172198.0,1,Q1/2026
Quảng Nam,Miền Trung,2025,1,4,153.0,254790047.0,2,Q1/2025
Quảng Nam,Miền Trung,2026,1,5,281.0,470267127.0,1,Q1/2026
Quảng Ngãi,Miền Trung,2025,1,1,20.0,22940000.0,1,Q1/2025
Quảng Ngãi,Miền Trung,2026,1,3,41.0,59161102.0,2,Q1/2026
Quảng Ninh,Miền Bắc,2025,1,5,148.0,185177574.0,5,Q1/2025
Quảng Ninh,Miền Bắc,2026,1,18,466.0,824204970.0,15,Q1/2026
Quảng NinhSố,Miền Bắc,2025,1,1,13.0,13870000.0,1,Q1/2025
Quảng Trị,Miền Trung,2025,1,4,78.0,93910000.0,1,Q1/2025
Quảng Trị,Miền Trung,2026,1,7,128.0,219378471.0,5,Q1/2026
Sơn La,Miền Bắc,2025,1,2,45.0,52190000.0,2,Q1/2025
Sầm Sơn,Miền Bắc,2026,1,3,80.0,117056538.0,1,Q1/2026
TP Huế,Miền Bắc,2026,1,2,33.0,45522665.0,1,Q1/2026
TP Hưng Yên,Miền Bắc,2025,1,1,22.0,27978500.0,1,Q1/2025
TP Hải Dương,Miền Bắc,2025,1,1,20.0,24000000.0,1,Q1/2025
TP Hải Phòng,Miền Bắc,2025,1,2,46.0,52103683.0,1,Q1/2025
TP Hải Phòng,Miền Bắc,2026,1,30,643.0,1026104377.0,12,Q1/2026
TP Đà Nẵng,Miền Bắc,2025,1,3,26.0,30650000.0,1,Q1/2025
TP Đà Nẵng,Miền Bắc,2026,1,4,28.0,55642586.0,4,Q1/2026
TP. Hồ Chí Minh,Miền Nam,2025,1,42,1059.0,1858937973.0,3,Q1/2025
TP. Hồ Chí Minh,Miền Nam,2026,1,83,1415.0,2865733202.0,2,Q1/2026
TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2025,1,1,20.0,23350000.0,1,Q1/2025
Tam Kỳ,Miền Bắc,2025,1,1,26.0,29250000.0,1,Q1/2025
Tam Kỳ,Miền Bắc,2026,1,1,30.0,47775542.0,1,Q1/2026
Thanh Hoá,Miền Trung,2025,1,28,728.0,856867240.0,15,Q1/2025
Thanh Hoá,Miền Trung,2026,1,11,259.0,406847291.0,6,Q1/2026
Thanh Hóa,Miền Trung,2025,1,13,432.0,567221954.0,9,Q1/2025
Thanh Hóa,Miền Trung,2026,1,50,1764.0,2885236983.0,22,Q1/2026
Thái Bình,Miền Bắc,2025,1,7,276.0,316830000.0,5,Q1/2025
Thái Bình,Miền Bắc,2026,1,9,233.0,393634363.0,3,Q1/2026
Thái Nguyên,Miền Bắc,2025,1,10,379.0,442039911.0,4,Q1/2025
Thái Nguyên,Miền Bắc,2026,1,11,749.0,1157228310.0,5,Q1/2026
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,2025,1,2,51.0,61750000.0,1,Q1/2025
Thủ Dầu Một,Miền Bắc,2025,1,2,9.0,20750000.0,1,Q1/2025
Thừa Thiên Huế,Miền Trung,2025,1,1,103.0,145317087.0,1,Q1/2025
Thừa Thiên Huế,Miền Trung,2026,1,2,89.0,185699122.0,1,Q1/2026
Tuyên Quang,Miền Bắc,2025,1,2,64.0,59932962.0,1,Q1/2025
Tuyên Quang,Miền Bắc,2026,1,4,95.0,139339669.0,3,Q1/2026
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,2025,1,1,38.0,42370000.0,1,Q1/2025
Tĩnh Thanh Hoá,Miền Bắc,2025,1,1,51.0,60307929.0,1,Q1/2025
Tỉnh Hòa Bình.,Miền Bắc,2025,1,1,1.0,2546296.0,1,Q1/2025
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,2025,1,1,18.0,23312643.0,1,Q1/2025
Uông Bí,Miền Bắc,2025,1,1,33.0,31677734.0,1,Q1/2025
Vinh,Miền Bắc,2025,1,5,363.0,525890000.0,2,Q1/2025
Vinh,Miền Bắc,2026,1,2,178.0,283026601.0,1,Q1/2026
Vĩnh Phúc,Miền Bắc,2025,1,18,358.0,446668240.0,12,Q1/2025
Vĩnh Phúc,Miền Bắc,2026,1,3,68.0,107256459.0,1,Q1/2026
Vĩnh Yên,Miền Bắc,2025,1,2,36.0,43308059.0,2,Q1/2025
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,2025,1,2,94.0,115376430.0,1,Q1/2025
Điện Biên,Miền Bắc,2025,1,1,14.0,18640000.0,1,Q1/2025
Điện Biên,Miền Bắc,2026,1,2,32.0,58527763.0,2,Q1/2026
Đà Nẵng,Miền Trung,2025,1,7,99.0,119250000.0,3,Q1/2025
Đà Nẵng,Miền Trung,2026,1,10,187.0,314209296.0,6,Q1/2026
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,2025,1,4,204.0,244765884.0,1,Q1/2025
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2025,1,2,158.0,267722221.0,1,Q1/2025
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2026,1,1,50.0,84722222.0,1,Q1/2026
Đắk Lắk,Miền Trung,2025,1,1,2.0,4983333.0,1,Q1/2025
Đồng Hới,Miền Bắc,2025,1,2,136.0,213842071.0,1,Q1/2025
Đồng Hới,Miền Bắc,2026,1,1,45.0,78322761.0,1,Q1/2026
Đồng Nai,Miền Nam,2026,1,1,1.0,4527778.0,1,Q1/2026
