province_name,region,group_code,group_name,tong_sl,tong_dt,so_don,so_dai_ly
Bắc Giang,Miền Bắc,CITYBIKE_P,Xe phổ thông,729.0,1159751597.0,26,9
Bắc Giang,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,182.0,448339958.0,7,6
Bắc Giang,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,41.0,108432781.0,10,6
Bắc Giang,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,69.0,79714990.0,11,6
Bắc Giang,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,91.0,69676988.0,7,2
Bắc Kạn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,21.0,26325552.0,3,2
Bắc Kạn,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,35.0,16990000.0,2,1
Bắc Kạn,Miền Bắc,CITYBIKE_P,Xe phổ thông,3.0,3600000.0,1,1
Bắc Ninh,Miền Bắc,CITYBIKE_P,Xe phổ thông,733.0,1074300021.0,42,23
Bắc Ninh,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,181.0,216694856.0,28,18
Bắc Ninh,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,94.0,75490873.0,10,6
Bắc Ninh,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,9.0,44747221.0,2,1
Bắc Ninh,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,4.0,6602314.0,2,2
Cao Bằng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,15.0,19627494.0,1,1
Cao Bằng,Miền Bắc,CITYBIKE_P,Xe phổ thông,4.0,6788888.0,1,1
Chí Linh,Miền Bắc,CITYBIKE_P,Xe phổ thông,1.0,2212963.0,1,1
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,CITYBIKE_P,Xe phổ thông,19.0,23040000.0,1,1
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,9.0,10200000.0,1,1
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,2.0,4300000.0,1,1
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1.0,1300000.0,1,1
Hoà Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,8.0,8700000.0,2,1
Hoà Bình,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,4.0,8600000.0,2,1
Hoà Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,5.0,2500000.0,2,1
Hoà Bình,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1.0,1300000.0,1,1
Hoà Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,1.0,1180000.0,1,1
Hà Giang,Miền Bắc,CITYBIKE_P,Xe phổ thông,53.0,62520000.0,3,3
Hà Giang,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,33.0,36810000.0,3,3
Hà Giang,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,7.0,8800000.0,2,2
Hà Giang,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,2.0,4300000.0,1,1
Hà Giang,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,6.0,3000000.0,1,1
Hà Nam,Miền Bắc,CITYBIKE_P,Xe phổ thông,456.0,595772171.0,18,13
Hà Nam,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,52.0,60143142.0,9,8
Hà Nam,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,11.0,27502860.0,6,4
Hà Nam,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,7.0,11560000.0,3,3
Hà Nam,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,15.0,8702591.0,5,4
Hà Nộ,Miền Bắc,CITYBIKE_P,Xe phổ thông,21.0,24640000.0,1,1
Hà Nộ,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,9.0,9750000.0,1,1
Hà Nội,Miền Bắc,CITYBIKE_P,Xe phổ thông,8246.0,11586608605.0,503,193
Hà Nội,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,2743.0,3226339422.0,304,127
Hà Nội,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,978.0,1568373170.0,155,68
Hà Nội,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,479.0,1361326487.0,92,41
Hà Nội,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,1392.0,967893581.0,191,86
Hà Tĩnh,Miền Trung,CITYBIKE_P,Xe phổ thông,426.0,596491582.0,23,14
Hà Tĩnh,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,104.0,127106915.0,16,12
Hà Tĩnh,Miền Trung,SPORTBIKE_S,Xe thể thao thép,31.0,61036000.0,4,3
Hà Tĩnh,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,26.0,17906102.0,4,4
Hà Tĩnh,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,2.0,5064259.0,2,2
Hòa Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,65.0,87421103.0,6,4
Hòa Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,23641200.0,3,2
Hòa Bình,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,3.0,6964259.0,2,2
Hòa Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,8.0,4396666.0,3,1
Hòa Bình,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,2.0,2400000.0,1,1
Hưng Yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,1204.0,1722325872.0,70,43
Hưng Yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,315.0,379170030.0,44,30
Hưng Yên,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,114.0,83769953.0,19,12
Hưng Yên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,38.0,61378424.0,9,7
Hưng Yên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,14.0,37476126.0,6,4
Hưng yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,26.0,30340000.0,2,1
Hưng yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,16.0,18150000.0,2,1
Hạ Long,Miền Bắc,CITYBIKE_P,Xe phổ thông,67.0,93856468.0,2,2
Hạ Long,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,13.0,14100000.0,1,1
Hạ Long,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,11.0,5500000.0,1,1
Hạ Long,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,4.0,5240000.0,1,1
Hải Dươn,Miền Bắc,CITYBIKE_P,Xe phổ thông,58.0,68710000.0,4,1
Hải Dươn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,7.0,8100000.0,2,1
Hải Dươn,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,1.0,3222643.0,1,1
Hải Dươn,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,2.0,2750000.0,2,1
Hải Dương,Miền Bắc,CITYBIKE_P,Xe phổ thông,362.0,503658484.0,21,12
Hải Dương,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,61.0,67343699.0,12,8
Hải Dương,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,25.0,59748146.0,5,4
Hải Dương,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,24.0,34165500.0,7,6
Hải Dương,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,39.0,21569440.0,8,6
Hải Phòng,Miền Bắc,CITYBIKE_P,Xe phổ thông,358.0,491857162.0,16,13
Hải Phòng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,41.0,49838602.0,10,9
Hải Phòng,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,64.0,38176655.0,5,5
Hải Phòng,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,6.0,13935552.0,2,1
Hội An,Miền Bắc,CITYBIKE_P,Xe phổ thông,26.0,40550000.0,2,2
Hội An,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,5.0,12807000.0,1,1
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,CITYBIKE_P,Xe phổ thông,42.0,50880000.0,2,1
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,7.0,7830000.0,1,1
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,1500000.0,1,1
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,CITYBIKE_P,Xe phổ thông,239.0,283620000.0,6,1
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,17.0,38607000.0,2,1
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,21050000.0,3,1
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,11.0,18375500.0,3,1
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,1410000.0,1,1
Lào Cai,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,29.0,38604152.0,5,3
Lào Cai,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,23.0,21153870.0,3,1
Lào Cai,Miền Bắc,CITYBIKE_P,Xe phổ thông,9.0,14558886.0,4,2
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,CITYBIKE_P,Xe phổ thông,257.0,404761994.0,5,1
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,52.0,60007124.0,3,1
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,16.0,47088889.0,1,1
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,3.0,6356664.0,1,1
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,2361111.0,1,1
Lạng Sơn,Miền Bắc,CITYBIKE_P,Xe phổ thông,55.0,66771111.0,3,2
Lạng Sơn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,22500000.0,2,1
Lạng Sơn,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,6.0,12900000.0,2,1
Lạng Sơn,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,9.0,11850000.0,1,1
Lạng Sơn,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,16.0,7880000.0,1,1
Nam Định,Miền Bắc,CITYBIKE_P,Xe phổ thông,616.0,745014074.0,14,7
Nam Định,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,86.0,92550000.0,6,3
Nam Định,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,19.0,47483081.0,6,4
Nam Định,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,51.0,25140000.0,2,2
Nam Định,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1.0,1200000.0,1,1
Nghệ A,Miền Bắc,CITYBIKE_P,Xe phổ thông,63.0,75770000.0,1,1
Nghệ A,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,51.0,59400000.0,1,1
Nghệ A,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,1.0,3222643.0,1,1
Nghệ An,Miền Trung,CITYBIKE_P,Xe phổ thông,1447.0,1988549789.0,44,17
Nghệ An,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,193.0,223661262.0,24,13
Nghệ An,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,97.0,82752154.0,9,6
Nghệ An,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,28.0,73352351.0,8,5
Nghệ An,Miền Trung,SPORTBIKE_S,Xe thể thao thép,29.0,57647762.0,7,6
Ninh Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,1679.0,2542888430.0,58,18
Ninh Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,210.0,247920874.0,28,12
Ninh Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,41.0,34364419.0,10,8
Ninh Bình,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,20.0,27415000.0,5,5
Ninh Bình,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,9.0,22392777.0,2,2
Phú Quốc,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,25.0,84722220.0,1,1
Phú Quốc,Miền Bắc,CITYBIKE_P,Xe phổ thông,30.0,61250010.0,1,1
Phú Quốc,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,48148140.0,1,1
Phú Quốc,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,15.0,20833335.0,1,1
Phú Thọ,Miền Bắc,CITYBIKE_P,Xe phổ thông,376.0,525681045.0,33,25
Phú Thọ,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,112.0,136768491.0,24,21
Phú Thọ,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,45.0,79712380.0,11,10
Phú Thọ,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,16.0,36501143.0,4,3
