region,fiscal_year,fiscal_month,ym,group_code,tong_dt,tong_sl
Miền Bắc,2025,1,2025-01,CITYBIKE_P,1257222287.0,778.0
Miền Bắc,2025,1,2025-01,KIDBIKE_1,299489338.0,178.0
Miền Bắc,2025,1,2025-01,KIDBIKE_2,42123335.0,58.0
Miền Bắc,2025,1,2025-01,SPORTBIKE_A,113428030.0,33.0
Miền Bắc,2025,1,2025-01,SPORTBIKE_S,645161108.0,302.0
Miền Bắc,2025,2,2025-02,CITYBIKE_P,3053671179.0,2434.0
Miền Bắc,2025,2,2025-02,KIDBIKE_1,725105552.0,619.0
Miền Bắc,2025,2,2025-02,KIDBIKE_2,162541847.0,315.0
Miền Bắc,2025,2,2025-02,SPORTBIKE_A,430414295.0,163.0
Miền Bắc,2025,2,2025-02,SPORTBIKE_S,221653792.0,166.0
Miền Bắc,2025,3,2025-03,CITYBIKE_P,9040596814.0,7340.0
Miền Bắc,2025,3,2025-03,KIDBIKE_1,2461255464.0,2148.0
Miền Bắc,2025,3,2025-03,KIDBIKE_2,526947219.0,933.0
Miền Bắc,2025,3,2025-03,SPORTBIKE_A,1461261869.0,532.0
Miền Bắc,2025,3,2025-03,SPORTBIKE_S,1344136787.0,844.0
Miền Bắc,2026,1,2026-01,CITYBIKE_P,8246548908.0,5105.0
Miền Bắc,2026,1,2026-01,KIDBIKE_1,1519953386.0,1219.0
Miền Bắc,2026,1,2026-01,KIDBIKE_2,255216131.0,301.0
Miền Bắc,2026,1,2026-01,SPORTBIKE_A,33042590.0,14.0
Miền Bắc,2026,1,2026-01,SPORTBIKE_S,228061793.0,106.0
Miền Bắc,2026,2,2026-02,CITYBIKE_P,5997169522.0,3776.0
Miền Bắc,2026,2,2026-02,KIDBIKE_1,919246865.0,752.0
Miền Bắc,2026,2,2026-02,KIDBIKE_2,677867195.0,773.0
Miền Bắc,2026,2,2026-02,SPORTBIKE_S,131538885.0,64.0
Miền Nam,2025,1,2025-01,CITYBIKE_P,230726200.0,119.0
Miền Nam,2025,1,2025-01,KIDBIKE_1,60502037.0,36.0
Miền Nam,2025,1,2025-01,KIDBIKE_2,77343605.0,70.0
Miền Nam,2025,1,2025-01,SPORTBIKE_S,99551017.0,37.0
Miền Nam,2025,2,2025-02,CITYBIKE_P,271092662.0,140.0
Miền Nam,2025,2,2025-02,KIDBIKE_1,9432500.0,5.0
Miền Nam,2025,2,2025-02,KIDBIKE_2,127564610.0,113.0
Miền Nam,2025,2,2025-02,SPORTBIKE_S,36812777.0,14.0
Miền Nam,2025,3,2025-03,CITYBIKE_P,212979529.0,110.0
Miền Nam,2025,3,2025-03,KIDBIKE_1,67153982.0,39.0
Miền Nam,2025,3,2025-03,KIDBIKE_2,135004055.0,120.0
Miền Nam,2025,3,2025-03,SPORTBIKE_A,146428334.0,42.0
Miền Nam,2025,3,2025-03,SPORTBIKE_S,109270371.0,42.0
Miền Nam,2026,1,2026-01,CITYBIKE_P,388907021.0,200.0
Miền Nam,2026,1,2026-01,KIDBIKE_1,222879341.0,127.0
Miền Nam,2026,1,2026-01,KIDBIKE_2,138507306.0,123.0
Miền Nam,2026,1,2026-01,SPORTBIKE_S,124412043.0,50.0
Miền Nam,2026,2,2026-02,CITYBIKE_P,303137570.0,155.0
Miền Nam,2026,2,2026-02,KIDBIKE_1,203971572.0,131.0
Miền Nam,2026,2,2026-02,KIDBIKE_2,212591289.0,192.0
Miền Nam,2026,2,2026-02,SPORTBIKE_S,64694261.0,26.0
Miền Trung,2025,1,2025-01,CITYBIKE_P,69360371.0,45.0
Miền Trung,2025,1,2025-01,KIDBIKE_1,4200000.0,4.0
Miền Trung,2025,1,2025-01,SPORTBIKE_A,18111112.0,4.0
Miền Trung,2025,1,2025-01,SPORTBIKE_S,9040000.0,7.0
Miền Trung,2025,2,2025-02,CITYBIKE_P,946041543.0,758.0
Miền Trung,2025,2,2025-02,KIDBIKE_1,96960000.0,87.0
Miền Trung,2025,2,2025-02,KIDBIKE_2,16910000.0,34.0
Miền Trung,2025,2,2025-02,SPORTBIKE_A,20667929.0,8.0
Miền Trung,2025,2,2025-02,SPORTBIKE_S,26300000.0,21.0
Miền Trung,2025,3,2025-03,CITYBIKE_P,1700931823.0,1399.0
Miền Trung,2025,3,2025-03,KIDBIKE_1,263990435.0,222.0
Miền Trung,2025,3,2025-03,KIDBIKE_2,32078241.0,61.0
Miền Trung,2025,3,2025-03,SPORTBIKE_A,92766756.0,31.0
Miền Trung,2025,3,2025-03,SPORTBIKE_S,118069703.0,66.0
Miền Trung,2026,1,2026-01,CITYBIKE_P,2300729998.0,1433.0
Miền Trung,2026,1,2026-01,KIDBIKE_1,358344075.0,291.0
Miền Trung,2026,1,2026-01,KIDBIKE_2,65469586.0,72.0
Miền Trung,2026,1,2026-01,SPORTBIKE_A,63942216.0,24.0
Miền Trung,2026,1,2026-01,SPORTBIKE_S,90952188.0,41.0
Miền Trung,2026,2,2026-02,CITYBIKE_P,1936228163.0,1218.0
Miền Trung,2026,2,2026-02,KIDBIKE_1,140331794.0,108.0
Miền Trung,2026,2,2026-02,KIDBIKE_2,108418233.0,117.0
Miền Trung,2026,2,2026-02,SPORTBIKE_A,26644995.0,9.0
Miền Trung,2026,2,2026-02,SPORTBIKE_S,23766111.0,11.0
