province_name,q1_2025,q1_2026,yoy_pct,tang_tuyet_doi,region
Lào Cai,0.0,124217357.0,12421735700.0,124217357.0,Miền Bắc
Sầm Sơn,0.0,117056538.0,11705653800.0,117056538.0,Miền Bắc
Phủ Lý,0.0,100172198.0,10017219800.0,100172198.0,Miền Bắc
Cao Bằng,0.0,68250264.0,6825026400.0,68250264.0,Miền Bắc
TP Huế,0.0,45522665.0,4552266500.0,45522665.0,Miền Bắc
Đồng Nai,0.0,4527778.0,452777800.0,4527778.0,Miền Nam
TP Hải Phòng,52103683.0,1026104377.0,1869.4,974000694.0,Miền Bắc
Ninh Bình,541360000.0,2979782103.0,450.4,2438422103.0,Miền Bắc
Thanh Hóa,567221954.0,2885236983.0,408.7,2318015029.0,Miền Trung
Quảng Ninh,185177574.0,824204970.0,345.1,639027396.0,Miền Bắc
Điện Biên,18640000.0,58527763.0,214.0,39887763.0,Miền Bắc
Bắc Ninh,487460080.0,1480330734.0,203.7,992870654.0,Miền Bắc
Đà Nẵng,119250000.0,314209296.0,163.5,194959296.0,Miền Trung
Thái Nguyên,442039911.0,1157228310.0,161.8,715188399.0,Miền Bắc
Quảng Ngãi,22940000.0,59161102.0,157.9,36221102.0,Miền Trung
Phú Thọ,349990199.0,896304803.0,156.1,546314604.0,Miền Bắc
Quảng Trị,93910000.0,219378471.0,133.6,125468471.0,Miền Trung
Tuyên Quang,59932962.0,139339669.0,132.5,79406707.0,Miền Bắc
Hưng Yên,921760480.0,1734356332.0,88.2,812595852.0,Miền Bắc
Quảng Nam,254790047.0,470267127.0,84.6,215477080.0,Miền Trung
TP Đà Nẵng,30650000.0,55642586.0,81.5,24992586.0,Miền Bắc
Hà Tĩnh,340731924.0,608864574.0,78.7,268132650.0,Miền Trung
Nghệ An,1048123580.0,1728879224.0,64.9,680755644.0,Miền Trung
Tam Kỳ,29250000.0,47775542.0,63.3,18525542.0,Miền Bắc
TP. Hồ Chí Minh,1858937973.0,2865733202.0,54.2,1006795229.0,Miền Nam
Hải Phòng,285335556.0,438629704.0,53.7,153294148.0,Miền Bắc
Bắc Giang,1141775522.0,1697254741.0,48.7,555479219.0,Miền Bắc
Thừa Thiên Huế,145317087.0,185699122.0,27.8,40382035.0,Miền Trung
Hòa Bình,70241481.0,88842112.0,26.5,18600631.0,Miền Bắc
Thái Bình,316830000.0,393634363.0,24.2,76804363.0,Miền Bắc
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,282381204.0,324075674.0,14.8,41694470.0,Miền Bắc
Hà Nội,11837049037.0,11620642126.0,-1.8,-216406911.0,Miền Bắc
Hải Dương,486713840.0,321338827.0,-34.0,-165375013.0,Miền Bắc
Hà Nam,466522860.0,298647705.0,-36.0,-167875155.0,Miền Bắc
Bắc Kạn,36320000.0,20135548.0,-44.6,-16184452.0,Miền Bắc
Vinh,525890000.0,283026601.0,-46.2,-242863399.0,Miền Bắc
Thanh Hoá,856867240.0,406847291.0,-52.5,-450019949.0,Miền Trung
Phú Quốc,153703695.0,61250010.0,-60.2,-92453685.0,Miền Bắc
Đồng Hới,213842071.0,78322761.0,-63.4,-135519310.0,Miền Bắc
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,267722221.0,84722222.0,-68.4,-182999999.0,Miền Bắc
Vĩnh Phúc,446668240.0,107256459.0,-76.0,-339411781.0,Miền Bắc
Lạng Sơn,119540000.0,2361111.0,-98.0,-117178889.0,Miền Bắc
Hà Nộ,34390000.0,0.0,-100.0,-34390000.0,Miền Bắc
Hoà Bình,24742962.0,0.0,-100.0,-24742962.0,Miền Bắc
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,38840000.0,0.0,-100.0,-38840000.0,Miền Bắc
Chí Linh,2212963.0,0.0,-100.0,-2212963.0,Miền Bắc
Hà Giang,115430000.0,0.0,-100.0,-115430000.0,Miền Bắc
Phan Thiết,4055556.0,0.0,-100.0,-4055556.0,Miền Bắc
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,22550000.0,0.0,-100.0,-22550000.0,Miền Bắc
Hải Dươn,82782643.0,0.0,-100.0,-82782643.0,Miền Bắc
Hạ Long,118696468.0,0.0,-100.0,-118696468.0,Miền Bắc
Hưng yên,48490000.0,0.0,-100.0,-48490000.0,Miền Bắc
Hội An,53357000.0,0.0,-100.0,-53357000.0,Miền Bắc
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,363062500.0,0.0,-100.0,-363062500.0,Miền Bắc
