province_name,CITYBIKE_P,KIDBIKE_1,KIDBIKE_2,SPORTBIKE_A,SPORTBIKE_S,TONG
Hà Nội,11586608605.0,3226339422.0,967893581.0,1361326487.0,1568373170.0,18710541265.0
TP. Hồ Chí Minh,1406842982.0,563939432.0,691010865.0,146428334.0,434740469.0,3242962082.0
Ninh Bình,2542888430.0,247920874.0,34364419.0,22392777.0,27415000.0,2874981500.0
Thanh Hóa,2243737264.0,239560773.0,58420426.0,94596761.0,63458969.0,2699774193.0
Nghệ An,1988549789.0,223661262.0,82752154.0,73352351.0,57647762.0,2425963318.0
Hưng Yên,1722325872.0,379170030.0,83769953.0,37476126.0,61378424.0,2284120405.0
Bắc Giang,1159751597.0,79714990.0,69676988.0,108432781.0,448339958.0,1865916314.0
Bắc Ninh,1074300021.0,216694856.0,75490873.0,44747221.0,6602314.0,1417835285.0
Thái Nguyên,1115930656.0,119963216.0,85832631.0,28226509.0,10015554.0,1359968566.0
Thanh Hoá,916274571.0,110536197.0,51379421.0,6445286.0,56122500.0,1140757975.0
Nam Định,745014074.0,92550000.0,25140000.0,47483081.0,1200000.0,911387155.0
TP Hải Phòng,665420603.0,92176449.0,33892751.0,7522643.0,23224440.0,822236886.0
Hà Tĩnh,596491582.0,127106915.0,17906102.0,5064259.0,61036000.0,807604858.0
Phú Thọ,525681045.0,136768491.0,23606096.0,36501143.0,79712380.0,802269155.0
Vinh,459211053.0,321022220.0,0.0,0.0,0.0,780233273.0
Hà Nam,595772171.0,60143142.0,8702591.0,27502860.0,11560000.0,703680764.0
Hải Dương,503658484.0,67343699.0,21569440.0,59748146.0,34165500.0,686485269.0
Quảng Ninh,478501581.0,87811545.0,27388126.0,25357574.0,40722768.0,659781594.0
Quảng Nam,567748037.0,15893328.0,0.0,28745833.0,0.0,612387198.0
Thái Bình,567234389.0,29954997.0,8774996.0,0.0,0.0,605964382.0
Hải Phòng,491857162.0,49838602.0,38176655.0,0.0,13935552.0,593807971.0
Vĩnh Phúc,438698783.0,42341475.0,15520000.0,32250000.0,3900000.0,532710258.0
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,404761994.0,60007124.0,2361111.0,47088889.0,6356664.0,520575782.0
Đà Nẵng,315314414.0,35146195.0,943888.0,5328518.0,17515552.0,374248567.0
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,283620000.0,21050000.0,1410000.0,38607000.0,18375500.0,363062500.0
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,352444443.0,0.0,0.0,0.0,0.0,352444443.0
Đồng Hới,256201047.0,20071753.0,0.0,0.0,0.0,276272800.0
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,195790500.0,6020000.0,2350000.0,0.0,30400000.0,234560500.0
Thừa Thiên Huế,128130152.0,79691638.0,0.0,0.0,9631108.0,217452898.0
Phú Quốc,61250010.0,48148140.0,20833335.0,0.0,84722220.0,214953705.0
Tuyên Quang,81733313.0,38251379.0,21569440.0,14400000.0,14494440.0,170448572.0
Quảng Trị,143843319.0,15296664.0,8034069.0,0.0,2716111.0,169890163.0
Nghệ A,75770000.0,59400000.0,0.0,3222643.0,0.0,138392643.0
Hòa Bình,87421103.0,23641200.0,4396666.0,6964259.0,2400000.0,124823228.0
Lạng Sơn,66771111.0,22500000.0,7880000.0,12900000.0,11850000.0,121901111.0
Hạ Long,93856468.0,14100000.0,5500000.0,0.0,5240000.0,118696468.0
Hà Giang,62520000.0,36810000.0,3000000.0,4300000.0,8800000.0,115430000.0
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,91550000.0,12300000.0,1000000.0,10526430.0,0.0,115376430.0
TP Đà Nẵng,72961105.0,6300000.0,0.0,0.0,7031481.0,86292586.0
Hải Dươn,68710000.0,8100000.0,0.0,3222643.0,2750000.0,82782643.0
Quảng Ngãi,48219437.0,16933332.0,3440000.0,8600000.0,0.0,77192769.0
Tam Kỳ,55725542.0,21300000.0,0.0,0.0,0.0,77025542.0
Lào Cai,14558886.0,38604152.0,21153870.0,0.0,0.0,74316908.0
Sầm Sơn,42623881.0,17557680.0,12908877.0,0.0,0.0,73090438.0
Phủ Lý,67874427.0,0.0,0.0,0.0,0.0,67874427.0
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,43000000.0,9750000.0,0.0,0.0,9000000.0,61750000.0
Tĩnh Thanh Hoá,40230000.0,5410000.0,5000000.0,9667929.0,0.0,60307929.0
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,50880000.0,7830000.0,1500000.0,0.0,0.0,60210000.0
Hội An,40550000.0,0.0,0.0,12807000.0,0.0,53357000.0
Điện Biên,30192214.0,12146664.0,0.0,4300000.0,6700000.0,53338878.0
Sơn La,2540000.0,45350000.0,0.0,4300000.0,0.0,52190000.0
Hưng yên,30340000.0,18150000.0,0.0,0.0,0.0,48490000.0
Bắc Kạn,3600000.0,26325552.0,16990000.0,0.0,0.0,46915552.0
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,17840000.0,10660000.0,1470000.0,0.0,12400000.0,42370000.0
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,23040000.0,10200000.0,0.0,4300000.0,1300000.0,38840000.0
TP Huế,22709993.0,10385459.0,5663328.0,0.0,0.0,38758780.0
Vĩnh Yên,14390000.0,13650000.0,500000.0,2150000.0,6578500.0,37268500.0
Hà Nộ,24640000.0,9750000.0,0.0,0.0,0.0,34390000.0
TP Hưng Yên,16470000.0,4200000.0,0.0,2150000.0,5158500.0,27978500.0
Cao Bằng,6788888.0,19627494.0,0.0,0.0,0.0,26416382.0
TP Hải Dương,24000000.0,0.0,0.0,0.0,0.0,24000000.0
TT Hương Sơn- Phú Bình- Thái Nguyên,23350000.0,0.0,0.0,0.0,0.0,23350000.0
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,17690000.0,0.0,0.0,3222643.0,2400000.0,23312643.0
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,15600000.0,0.0,500000.0,6450000.0,0.0,22550000.0
Hoà Bình,1180000.0,8700000.0,2500000.0,8600000.0,1300000.0,22280000.0
Thủ Dầu Một,20750000.0,0.0,0.0,0.0,0.0,20750000.0
Uông Bí,3600000.0,4200000.0,5410000.0,0.0,2750000.0,15960000.0
Quảng NinhSố,8070000.0,4800000.0,1000000.0,0.0,0.0,13870000.0
Đắk Lắk,4983333.0,0.0,0.0,0.0,0.0,4983333.0
Tỉnh Hòa Bình.,2546296.0,0.0,0.0,0.0,0.0,2546296.0
Chí Linh,2212963.0,0.0,0.0,0.0,0.0,2212963.0
