customer_code,customer_name,province_name,region,ngay_dau,ngay_cuoi,so_don,tong_sl,tong_dt,so_nhom_sp,so_sku,don_tb_sl,don_tb_tien,recency,lifespan,R,F,M,rfm_score,rfm_sum,segment,clv_est,dt_tb_don,rank_dt,cumul_pct
KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,2025-02-17,2026-02-27,29,4261.0,4978859631.0,5,157,5.805177111716621,6783187.508174387,2,375,5,5,5,555,15,Champions,4846090041.0,171684815.0,1,7.74
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,2025-01-11,2026-02-24,57,1802.0,3621901755.0,5,47,4.896739130434782,9842124.33423913,5,409,5,5,5,555,15,Champions,3232259512.0,63542136.0,2,13.37
KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,2025-03-01,2025-03-25,21,740.0,1582007777.0,5,30,3.3636363636363638,7190944.44090909,341,24,2,5,5,255,12,Nguy cơ rời bỏ,24059701609.0,75333704.0,3,15.83
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,2025-01-16,2026-01-29,2,616.0,1366346297.0,3,18,34.22222222222222,75908127.6111111,31,378,4,3,5,435,12,Loyal,1319355551.0,683173148.0,4,17.95
KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2025-01-07,2026-02-28,67,668.0,1093917568.0,4,49,2.0617283950617282,3376288.7901234566,1,417,5,5,5,555,15,Champions,957505785.0,16327128.0,5,19.65
KH-00341,CỬA HÀNG XE ĐẠP VIỆT ANH,Ninh Bình,Miền Bắc,2026-01-12,2026-02-13,5,637.0,1019915422.0,3,48,6.5,10407300.224489795,16,32,5,5,5,555,15,Champions,11633410282.0,203983084.0,6,21.24
KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2025-01-13,2026-02-07,6,532.0,792315737.0,2,8,40.92307692307692,60947364.384615384,22,390,4,5,5,455,14,Loyal,741526267.0,132052623.0,7,22.47
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,2025-02-14,2026-02-10,7,523.0,774919261.0,4,57,5.23,7749192.61,19,361,5,5,5,555,15,Champions,783505624.0,110702752.0,8,23.68
KH-00379,CÔNG TY TNHH MINH PHƯƠNG,Thái Nguyên,Miền Bắc,2026-01-16,2026-02-10,4,479.0,726215337.0,3,32,13.305555555555555,20172648.25,19,25,5,5,5,555,15,Champions,10602743920.0,181553834.0,9,24.8
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,Quảng Nam,Miền Trung,2025-02-21,2026-02-25,8,430.0,706946062.0,3,47,5.657894736842105,9301921.868421054,4,369,5,5,5,555,15,Champions,699282690.0,88368258.0,10,25.9
KH-00366,HỘ KINH DOANH THIÊN AN,Nghệ An,Miền Trung,2026-01-16,2026-02-12,6,375.0,613513212.0,3,37,6.578947368421052,10763389.684210526,17,27,5,5,5,555,15,Champions,8293789718.0,102252202.0,11,26.86
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2025-01-08,2026-01-28,7,379.0,606456878.0,5,50,5.742424242424242,9188740.575757576,32,385,4,5,5,455,14,Loyal,574952625.0,86636697.0,12,27.8
KH-00372,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Thanh Hóa,Miền Trung,2026-01-16,2026-02-27,4,370.0,605388748.0,1,34,6.981132075471698,11422429.20754717,2,42,5,5,5,555,15,Champions,5261116500.0,151347187.0,13,28.74
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,2025-01-13,2026-02-26,11,415.0,597440112.0,4,62,3.4583333333333335,4978667.6,3,409,5,5,5,555,15,Champions,533167826.0,54312737.0,14,29.67
KH-00338,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Hà Nội,Miền Bắc,2026-01-12,2026-02-27,14,389.0,595704823.0,4,82,1.768181818181818,2707749.1954545453,2,46,5,5,5,555,15,Champions,4726788269.0,42550344.0,15,30.6
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,2025-02-10,2025-03-29,5,499.0,563575152.0,4,45,6.0120481927710845,6790062.072289157,337,47,2,5,5,255,12,Nguy cơ rời bỏ,4376700649.0,112715030.0,16,31.47
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,2025-02-10,2025-03-25,8,466.0,550630000.0,5,64,2.5053763440860215,2960376.3440860217,341,43,2,5,5,255,12,Nguy cơ rời bỏ,4673952326.0,68828750.0,17,32.33
KH-00147,CÔNG TY TNHH PHÚ THỊNH,Hà Nội,Miền Bắc,2025-02-22,2026-02-24,8,350.0,466724370.0,5,59,3.4653465346534653,4621033.366336633,5,367,5,5,5,555,15,Champions,464180913.0,58340546.0,18,33.05
KH-00217,DOANH NGHIỆP TW ĐẠI DƯƠNG,Thái Bình,Miền Bắc,2025-03-20,2026-02-24,8,315.0,428521619.0,3,36,3.7058823529411766,5041430.811764706,5,341,5,5,5,555,15,Champions,458681498.0,53565202.0,19,33.72
KH-00463,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,Hà Nội,Miền Bắc,2026-01-26,2026-02-13,5,253.0,420589919.0,2,43,3.4657534246575343,5761505.7397260275,16,18,5,5,5,555,15,Champions,8528628913.0,84117984.0,20,34.37
KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,Thanh Hóa,Miền Trung,2026-01-23,2026-02-26,5,247.0,408331186.0,3,52,3.1666666666666665,5235015.205128205,3,34,5,5,5,555,15,Champions,4383555379.0,81666237.0,21,35.01
KH-00553,CÔNG TY CỔ PHẦN SƠN HÀ,Hà Nội,Miền Bắc,2026-01-29,2026-02-27,7,226.0,378472401.0,4,53,2.4565217391304346,4113830.445652174,2,29,5,5,5,555,15,Champions,4763531944.0,54067486.0,22,35.6
KH-00349,HỘ KINH DOANH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2026-01-12,2026-02-26,5,217.0,370238430.0,4,64,2.3333333333333335,3981058.3870967743,3,45,5,5,5,555,15,Champions,3003045043.0,74047686.0,23,36.17
