customer_code,customer_name,fiscal_year,fiscal_month,ym,so_don,tong_sl,tong_dt,so_nhom_sp,so_sku
KH-00001,HỘ KINH DOANH TÚ ANH,2025,1,2025-01,1,1.0,2305556.0,1,1
KH-00001,HỘ KINH DOANH TÚ ANH,2025,3,2025-03,2,4.0,9222223.0,1,1
KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,2025,1,2025-01,1,1.0,3509259.0,1,1
KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,2025,1,2025-01,1,1.0,2398148.0,1,1
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,2025,1,2025-01,1,5.0,12268519.0,1,1
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,2025,2,2025-02,2,40.0,47190000.0,3,24
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,2025,3,2025-03,4,114.0,135920000.0,4,33
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,2026,1,2026-01,2,8.0,20574074.0,1,5
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,2026,2,2026-02,1,40.0,57787759.0,3,18
KH-00005,CÔNG TY TNHH ĐẠI LỢI,2025,1,2025-01,1,2.0,4425926.0,1,1
KH-00006,CÔNG TY TNHH CHI THÀNH,2025,1,2025-01,4,46.0,82460919.0,2,8
KH-00006,CÔNG TY TNHH CHI THÀNH,2025,2,2025-02,14,167.0,276751530.0,3,20
KH-00006,CÔNG TY TNHH CHI THÀNH,2025,3,2025-03,8,112.0,175371454.0,3,16
KH-00006,CÔNG TY TNHH CHI THÀNH,2026,1,2026-01,13,101.0,158071007.0,3,26
KH-00006,CÔNG TY TNHH CHI THÀNH,2026,2,2026-02,28,242.0,401262658.0,3,40
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,2025,1,2025-01,1,146.0,247541204.0,3,11
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,2025,3,2025-03,2,29.0,34840000.0,1,9
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,2026,1,2026-01,4,204.0,324075674.0,4,40
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,2025,1,2025-01,1,2.0,6648148.0,1,1
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,2026,1,2026-01,1,2.0,7037038.0,0,1
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,2025,1,2025-01,1,20.0,44444444.0,1,1
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,2026,2,2026-02,1,20.0,44444444.0,1,1
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,2025,1,2025-01,1,30.0,17104444.0,1,6
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,2025,2,2025-02,1,38.0,48521284.0,2,7
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,2025,3,2025-03,3,120.0,145245148.0,4,30
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,2026,1,2026-01,1,15.0,28257218.0,1,6
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,2026,2,2026-02,1,62.0,81211454.0,2,15
KH-00011,DOANH NGHIỆP TW NAM TIẾN,2025,1,2025-01,1,1.0,2305556.0,1,1
KH-00011,DOANH NGHIỆP TW NAM TIẾN,2025,3,2025-03,1,1.0,2305556.0,1,1
KH-00012,HỘ KINH DOANH THIÊN AN,2025,1,2025-01,1,1.0,2592593.0,1,1
KH-00012,HỘ KINH DOANH THIÊN AN,2025,3,2025-03,1,1.0,2592593.0,1,1
KH-00013,DOANH NGHIỆP TW THANH BÌNH,2025,1,2025-01,1,1.0,2490741.0,0,1
KH-00014,HỘ KINH DOANH LONG PHÚ,2025,1,2025-01,1,45.0,42780000.0,4,19
KH-00014,HỘ KINH DOANH LONG PHÚ,2025,2,2025-02,1,30.0,31330000.0,3,12
KH-00014,HỘ KINH DOANH LONG PHÚ,2025,3,2025-03,1,44.0,45160000.0,3,13
KH-00014,HỘ KINH DOANH LONG PHÚ,2026,1,2026-01,1,21.0,39473324.0,1,7
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,2025,1,2025-01,1,15.0,23210000.0,2,9
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,2025,3,2025-03,2,40.0,54720000.0,4,21
KH-00016,DOANH NGHIỆP TW VIỆT ANH,2025,1,2025-01,1,30.0,36730000.0,1,10
KH-00016,DOANH NGHIỆP TW VIỆT ANH,2025,3,2025-03,3,48.0,57180000.0,2,19
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,2025,1,2025-01,1,20.0,23350000.0,1,6
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,2025,1,2025-01,2,81.0,96920000.0,3,12
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,2025,3,2025-03,1,31.0,28981481.0,4,18
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,2026,1,2026-01,2,41.0,62849148.0,3,22
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,2026,2,2026-02,1,55.0,81484230.0,3,22
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,2025,1,2025-01,10,319.0,549131198.0,4,27
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,2025,2,2025-02,2,125.0,196435555.0,4,17
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,2025,3,2025-03,3,286.0,569935465.0,5,28
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,2026,1,2026-01,33,699.0,1673095925.0,4,13
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,2026,2,2026-02,9,373.0,633303612.0,4,14
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,2025,1,2025-01,1,60.0,124583332.0,1,2
KH-00021,HỘ KINH DOANH XÂY DỰNG,2025,1,2025-01,1,40.0,87037037.0,1,1
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,2025,1,2025-01,2,30.0,37250000.0,1,4
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,2025,2,2025-02,3,28.0,32160000.0,4,17
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,2025,3,2025-03,7,64.0,70016647.0,5,28
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,2026,1,2026-01,5,28.0,47703881.0,1,14
KH-00023,CÔNG TY TNHH THANH BÌNH,2025,1,2025-01,1,190.0,284648146.0,1,2
KH-00023,CÔNG TY TNHH THANH BÌNH,2025,2,2025-02,2,190.0,272593519.0,2,6
KH-00023,CÔNG TY TNHH THANH BÌNH,2025,3,2025-03,1,2.0,4425926.0,1,2
KH-00023,CÔNG TY TNHH THANH BÌNH,2026,2,2026-02,2,150.0,230648146.0,1,2
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,2025,1,2025-01,1,45.0,55900000.0,1,6
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,2025,2,2025-02,2,80.0,96260000.0,3,14
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,2025,3,2025-03,3,95.0,114270000.0,2,26
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,2026,1,2026-01,2,86.0,149230528.0,3,29
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,2026,2,2026-02,3,109.0,181779584.0,2,26
KH-00025,DOANH NGHIỆP TW SƠN HÀ,2025,1,2025-01,1,6.0,13277778.0,1,1
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,2025,1,2025-01,1,3.0,7777778.0,1,1
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,2025,1,2025-01,1,13.0,24583215.0,4,7
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,2025,2,2025-02,3,16.0,18920000.0,3,10
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,2025,3,2025-03,2,21.0,24764039.0,4,12
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,2026,1,2026-01,3,61.0,107754783.0,2,19
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,2026,2,2026-02,1,29.0,46031470.0,3,14
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,2025,1,2025-01,1,28.0,34510000.0,2,12
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,2025,3,2025-03,1,15.0,16540000.0,3,12
KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,2025,1,2025-01,1,2.0,4055556.0,0,1
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,2025,1,2025-01,1,307.0,680818519.0,3,8
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,2026,1,2026-01,1,309.0,685527778.0,1,10
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,2025,1,2025-01,1,2.0,4907408.0,1,2
KH-00032,HỘ KINH DOANH CHI THÀNH,2025,1,2025-01,1,1.0,1935185.0,0,1
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,2025,1,2025-01,1,5.0,11064815.0,1,1
KH-00034,CÔNG TY TNHH BÌNH MINH,2025,1,2025-01,1,10.0,11750000.0,3,8
KH-00034,CÔNG TY TNHH BÌNH MINH,2025,2,2025-02,1,18.0,21000000.0,1,13
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,2025,1,2025-01,1,12.0,15000000.0,2,9
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,2025,3,2025-03,3,39.0,48200000.0,1,11
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,2025,1,2025-01,2,5.0,31342592.0,1,2
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,2025,2,2025-02,1,2.0,14981481.0,1,1
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,2025,1,2025-01,1,1.0,3879630.0,1,1
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,2025,1,2025-01,1,27.0,32350000.0,1,11
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,2025,2,2025-02,1,59.0,74329035.0,2,16
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,2025,1,2025-01,1,60.0,153703695.0,3,6
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,2026,1,2026-01,1,30.0,61250010.0,1,1
KH-00040,CÔNG TY TNHH VẠN LỢI,2025,1,2025-01,1,103.0,185400000.0,1,1
KH-00040,CÔNG TY TNHH VẠN LỢI,2025,2,2025-02,1,34.0,61200000.0,1,1
KH-00040,CÔNG TY TNHH VẠN LỢI,2025,3,2025-03,1,26.0,46800000.0,1,1
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,2025,1,2025-01,1,5.0,11064815.0,1,1
KH-00042,HỘ KINH DOANH MẶT TRỜI,2025,1,2025-01,1,15.0,23315739.0,2,11
KH-00042,HỘ KINH DOANH MẶT TRỜI,2025,2,2025-02,2,31.0,50856467.0,3,22
KH-00042,HỘ KINH DOANH MẶT TRỜI,2025,3,2025-03,3,30.0,48142117.0,3,18
KH-00042,HỘ KINH DOANH MẶT TRỜI,2026,1,2026-01,1,25.0,37474434.0,3,18
KH-00042,HỘ KINH DOANH MẶT TRỜI,2026,2,2026-02,1,27.0,40871560.0,3,17
KH-00043,CÔNG TY TNHH LONG PHÚ,2025,1,2025-01,1,2.0,2360000.0,1,1
KH-00043,CÔNG TY TNHH LONG PHÚ,2025,2,2025-02,2,24.0,28290000.0,3,18
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,2025,1,2025-01,1,26.0,29250000.0,2,15
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,2026,1,2026-01,1,30.0,47775542.0,1,10
KH-00045,CÔNG TY TNHH AN PHÁT,2025,1,2025-01,1,4.0,18111112.0,1,1
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,2025,1,2025-01,1,68.0,105677282.0,2,11
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,2025,3,2025-03,1,68.0,108164789.0,2,17
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,2026,2,2026-02,1,45.0,78322761.0,1,11
