customer_code,customer_name,group_code,group_name,tong_sl,tong_dt,so_don,ty_trong_kh_pct
KH-00001,HỘ KINH DOANH TÚ ANH,CITYBIKE_P,Xe phổ thông,5.0,11527779.0,3,100.0
KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,SPORTBIKE_S,Xe thể thao thép,1.0,3509259.0,1,100.0
KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,CITYBIKE_P,Xe phổ thông,1.0,2398148.0,1,100.0
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,CITYBIKE_P,Xe phổ thông,158.0,213280917.0,9,80.9
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,KIDBIKE_1,Xe trẻ em nhóm 1,26.0,29321110.0,6,11.12
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,KIDBIKE_2,Xe trẻ em nhóm 2,13.0,10633325.0,2,4.03
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,SPORTBIKE_A,Xe thể thao nhôm,3.0,6700000.0,1,2.54
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,SPORTBIKE_S,Xe thể thao thép,3.0,3700000.0,1,1.4
KH-00005,CÔNG TY TNHH ĐẠI LỢI,CITYBIKE_P,Xe phổ thông,2.0,4425926.0,1,100.0
KH-00006,CÔNG TY TNHH CHI THÀNH,CITYBIKE_P,Xe phổ thông,281.0,553001698.0,51,55.94
KH-00006,CÔNG TY TNHH CHI THÀNH,KIDBIKE_1,Xe trẻ em nhóm 1,140.0,211464810.0,32,21.39
KH-00006,CÔNG TY TNHH CHI THÀNH,KIDBIKE_2,Xe trẻ em nhóm 2,184.0,209504214.0,39,21.19
KH-00006,CÔNG TY TNHH CHI THÀNH,SPORTBIKE_S,Xe thể thao thép,5.0,14548610.0,3,1.47
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,CITYBIKE_P,Xe phổ thông,257.0,404761994.0,5,77.75
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,KIDBIKE_1,Xe trẻ em nhóm 1,52.0,60007124.0,3,11.53
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,SPORTBIKE_A,Xe thể thao nhôm,16.0,47088889.0,1,9.05
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,SPORTBIKE_S,Xe thể thao thép,3.0,6356664.0,1,1.22
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,2361111.0,1,0.45
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,SPORTBIKE_S,Xe thể thao thép,2.0,6648148.0,1,100.0
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,CITYBIKE_P,Xe phổ thông,40.0,88888888.0,2,100.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,CITYBIKE_P,Xe phổ thông,129.0,174899707.0,6,61.52
