customer_code,customer_name,province_name,region,segment,tong_dt,so_don,recency,rank_dt,cumul_dt,cumul_pct,pareto_group
KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,Champions,4978859631.0,29,2,1,4978859631.0,7.74,Top 50%
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,Champions,3621901755.0,57,5,2,8600761386.0,13.37,Top 50%
KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,1582007777.0,21,341,3,10182769163.0,15.83,Top 50%
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,Loyal,1366346297.0,2,31,4,11549115460.0,17.95,Top 50%
KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,Champions,1093917568.0,67,1,5,12643033028.0,19.65,Top 50%
KH-00341,CỬA HÀNG XE ĐẠP VIỆT ANH,Ninh Bình,Miền Bắc,Champions,1019915422.0,5,16,6,13662948450.0,21.24,Top 50%
KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,Loyal,792315737.0,6,22,7,14455264187.0,22.47,Top 50%
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,Champions,774919261.0,7,19,8,15230183448.0,23.68,Top 50%
KH-00379,CÔNG TY TNHH MINH PHƯƠNG,Thái Nguyên,Miền Bắc,Champions,726215337.0,4,19,9,15956398785.0,24.8,Top 50%
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,Quảng Nam,Miền Trung,Champions,706946062.0,8,4,10,16663344847.0,25.9,Top 50%
KH-00366,HỘ KINH DOANH THIÊN AN,Nghệ An,Miền Trung,Champions,613513212.0,6,17,11,17276858059.0,26.86,Top 50%
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,Loyal,606456878.0,7,32,12,17883314937.0,27.8,Top 50%
KH-00372,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Thanh Hóa,Miền Trung,Champions,605388748.0,4,2,13,18488703685.0,28.74,Top 50%
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,Champions,597440112.0,11,3,14,19086143797.0,29.67,Top 50%
KH-00338,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Hà Nội,Miền Bắc,Champions,595704823.0,14,2,15,19681848620.0,30.6,Top 50%
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,Nguy cơ rời bỏ,563575152.0,5,337,16,20245423772.0,31.47,Top 50%
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,550630000.0,8,341,17,20796053772.0,32.33,Top 50%
KH-00147,CÔNG TY TNHH PHÚ THỊNH,Hà Nội,Miền Bắc,Champions,466724370.0,8,5,18,21262778142.0,33.05,Top 50%
