customer_code,customer_name,province_name,region,ngay_dau,tong_dt,so_don,segment,cohort_month,cohort_year
KH-00001,HỘ KINH DOANH TÚ ANH,Hà Nội,Miền Bắc,2025-01-02,11527779.0,3,Nguy cơ rời bỏ,2025-01,2025
KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Hà Nội,Miền Bắc,2025-01-06,3509259.0,1,Đã mất,2025-01,2025
KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,Miền Bắc,2025-01-06,2398148.0,1,Đã mất,2025-01,2025
KH-00005,CÔNG TY TNHH ĐẠI LỢI,Hà Nội,Miền Bắc,2025-01-07,4425926.0,1,Đã mất,2025-01,2025
KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2025-01-07,1093917568.0,67,Champions,2025-01,2025
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2025-01-08,606456878.0,7,Loyal,2025-01,2025
KH-00011,DOANH NGHIỆP TW NAM TIẾN,Hà Nội,Miền Bắc,2025-01-09,4611112.0,2,Ngủ đông,2025-01,2025
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,2025-01-09,320339548.0,7,Loyal,2025-01,2025
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,Hưng Yên,Miền Bắc,2025-01-09,13685186.0,2,Trung bình,2025-01,2025
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,2025-01-09,88888888.0,2,Loyal,2025-01,2025
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,2025-01-10,270234859.0,6,Champions,2025-01,2025
KH-00012,HỘ KINH DOANH THIÊN AN,Hà Nội,Miền Bắc,2025-01-10,5185186.0,2,Ngủ đông,2025-01,2025
KH-00013,DOANH NGHIỆP TW THANH BÌNH,Hưng Yên,Miền Bắc,2025-01-10,2490741.0,1,Đã mất,2025-01,2025
KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,2025-01-10,158743324.0,4,Có tiềm năng,2025-01,2025
