so_number,so_dong,so_sku_khac_nhau,so_nhom_sp,tong_sl,tong_tien,ngay_dat,ma_dai_ly,aov,ym,is_cross_sell
BH26.0394,10,10,1,309.0,685527778.0,2026-01-29,KH-00030,68552778.0,2026-01,0
BH25.0041,8,8,3,307.0,680818519.0,2025-01-16,KH-00030,85102315.0,2025-01,1
BH25.0471,34,34,4,491.0,643902862.0,2025-03-24,KH-00091,18938319.0,2025-03,1
BH25.0589,20,20,2,400.0,434000000.0,2025-03-27,KH-00091,21700000.0,2025-03,1
BH25.0639,21,21,3,475.0,414781314.0,2025-03-28,KH-00091,19751491.0,2025-03,1
BH26.0499,55,55,4,327.0,395720000.0,2026-02-04,KH-00091,7194909.0,2026-02,1
BH25.0566,25,25,4,302.0,371840000.0,2025-03-26,KH-00091,14873600.0,2025-03,1
BH25.0549,16,16,1,320.0,369600000.0,2025-03-25,KH-00091,23100000.0,2025-03,0
BH25.0442,33,33,4,226.0,312966432.0,2025-03-22,KH-00091,9483831.0,2025-03,1
BH25.0032,2,2,1,190.0,284648146.0,2025-01-13,KH-00023,142324073.0,2025-01,0
BH26.0645,30,23,2,189.0,270117118.0,2026-02-10,KH-00076,9003904.0,2026-02,1
BH26.0715,19,19,2,151.0,261758672.0,2026-02-13,KH-00658,13776772.0,2026-02,1
BH25.0124,4,4,2,184.0,261307407.0,2025-02-17,KH-00023,65326852.0,2025-02,1
BH26.0015,20,19,2,154.0,256653928.0,2026-01-12,KH-00341,12832696.0,2026-01,1
BH25.0490,20,20,5,131.0,256331573.0,2025-03-25,KH-00019,12816579.0,2025-03,1
BH25.0007,11,11,3,146.0,247541204.0,2025-01-08,KH-00007,22503746.0,2025-01,1
BH26.0339,31,30,2,156.0,247061617.0,2026-01-28,KH-00007,7969730.0,2026-01,1
BH26.0482,11,10,2,160.0,236854550.0,2026-01-31,KH-00379,21532232.0,2026-01,1
BH26.0641,20,20,2,143.0,225805050.0,2026-02-10,KH-00366,11290252.0,2026-02,1
BH26.0397,19,18,1,137.0,225626063.0,2026-01-29,KH-00341,11875056.0,2026-01,0
BH26.0085,21,20,1,130.0,220754936.0,2026-01-16,KH-00372,10512140.0,2026-01,0
BH26.0744,25,21,2,146.0,220593831.0,2026-02-13,KH-00341,8823753.0,2026-02,1
BH26.0093,13,13,2,129.0,218849952.0,2026-01-16,KH-00379,16834612.0,2026-01,1
BH26.0081,21,19,2,123.0,210780700.0,2026-01-16,KH-00076,10037176.0,2026-01,1
BH26.0122,39,39,4,172.0,207570000.0,2026-01-20,KH-00091,5322308.0,2026-01,1
BH26.0818,20,20,1,123.0,204911072.0,2026-02-25,KH-00134,10245554.0,2026-02,0
BH26.0707,21,15,1,128.0,204148849.0,2026-02-12,KH-00341,9721374.0,2026-02,0
BH26.0077,18,18,2,123.0,200177829.0,2026-01-16,KH-00366,11120990.0,2026-01,1
BH26.0560,1,1,1,130.0,198009258.0,2026-02-06,KH-00023,198009258.0,2026-02,0
BH26.0046,43,43,3,171.0,193600000.0,2026-01-14,KH-00091,4502326.0,2026-01,1
BH26.0327,2,1,1,125.0,193055500.0,2026-01-28,KH-00379,96527750.0,2026-01,0
BH25.0054,1,1,1,103.0,185400000.0,2025-01-21,KH-00040,185400000.0,2025-01,0
BH26.0363,22,21,2,117.0,184647739.0,2026-01-28,KH-00491,8393079.0,2026-01,1
BH26.0913,46,46,3,179.0,181120000.0,2026-02-27,KH-00091,3937391.0,2026-02,1
BH26.0626,62,55,3,124.0,176865506.0,2026-02-10,KH-00387,2852669.0,2026-02,1
BH25.0525,24,24,2,150.0,173910000.0,2025-03-25,KH-00277,7246250.0,2025-03,1
BH26.0891,18,18,1,105.0,173657752.0,2026-02-27,KH-00372,9647653.0,2026-02,0
BH25.0491,5,5,3,65.0,168779724.0,2025-03-25,KH-00019,33755945.0,2025-03,1
BH26.0586,19,17,2,108.0,167804584.0,2026-02-07,KH-00626,8831820.0,2026-02,1
BH25.0284,19,19,5,79.0,165763887.0,2025-03-17,KH-00173,8724415.0,2025-03,1
BH26.0508,31,30,3,103.0,165334944.0,2026-02-04,KH-00415,5333385.0,2026-02,1
BH26.0102,62,62,3,104.0,160507270.0,2026-01-17,KH-00387,2588827.0,2026-01,1
BH26.0496,26,23,3,128.0,159354372.0,2026-02-04,KH-00594,6129014.0,2026-02,1
BH26.0444,33,33,4,128.0,157190000.0,2026-01-31,KH-00091,4763333.0,2026-01,1
BH25.0053,6,6,3,60.0,153703695.0,2025-01-21,KH-00039,25617282.0,2025-01,1
BH25.0514,21,21,2,130.0,153560000.0,2025-03-25,KH-00057,7312381.0,2025-03,1
BH26.0478,82,82,4,83.0,152828578.0,2026-01-31,KH-00586,1863763.0,2026-01,1
BH25.0078,18,18,4,149.0,152555152.0,2025-02-10,KH-00057,8475286.0,2025-02,1
BH26.0873,37,37,2,80.0,150842751.0,2026-02-26,KH-00349,4076831.0,2026-02,1
BH25.0304,13,13,2,130.0,150700000.0,2025-03-18,KH-00098,11592308.0,2025-03,1
BH26.0617,11,11,1,95.0,149203855.0,2026-02-09,KH-00372,13563987.0,2026-02,0
BH25.0268,20,20,5,78.0,148823888.0,2025-03-13,KH-00173,7441194.0,2025-03,1
BH26.0665,53,53,3,134.0,147090000.0,2026-02-12,KH-00091,2775283.0,2026-02,1
BH25.0092,12,12,4,95.0,146970185.0,2025-02-11,KH-00019,12247515.0,2025-02,1
BH26.0736,8,6,2,103.0,146384126.0,2026-02-13,KH-00147,18298016.0,2026-02,1
BH25.0272,19,19,2,103.0,145317087.0,2025-03-14,KH-00181,7648268.0,2025-03,1
BH26.0003,4,4,2,100.0,145055555.0,2026-01-06,KH-00334,36263889.0,2026-01,1
BH25.0247,14,14,3,90.0,144824168.0,2025-03-01,KH-00019,10344583.0,2025-03,1
BH25.0125,9,9,1,77.0,141519023.0,2025-02-17,KH-00091,15724336.0,2025-02,0
BH25.0246,1,1,1,82.0,138944444.0,2025-02-28,KH-00172,138944444.0,2025-02,0
BH25.0339,32,32,4,118.0,138570000.0,2025-03-20,KH-00065,4330312.0,2025-03,1
BH25.0122,18,18,3,115.0,138392643.0,2025-02-14,KH-00089,7688480.0,2025-02,1
BH26.0039,37,35,4,94.0,136511444.0,2026-01-13,KH-00360,3689498.0,2026-01,1
BH26.0385,30,29,2,82.0,135639972.0,2026-01-28,KH-00536,4521332.0,2026-01,1
BH25.0025,19,19,4,80.0,133373979.0,2025-01-11,KH-00019,7019683.0,2025-01,1
BH26.0029,10,10,2,94.0,132760000.0,2026-01-12,KH-00091,13276000.0,2026-01,1
BH25.0652,1,1,1,76.0,128777777.0,2025-03-31,KH-00172,128777777.0,2025-03,0
BH25.0182,9,8,1,81.0,128609691.0,2025-02-21,KH-00134,14289966.0,2025-02,0
BH25.0429,19,19,3,108.0,126890000.0,2025-03-22,KH-00247,6678421.0,2025-03,1
BH25.0020,2,2,1,60.0,124583332.0,2025-01-11,KH-00020,62291666.0,2025-01,0
BH26.0694,22,18,2,78.0,123349417.0,2026-02-12,KH-00463,5606792.0,2026-02,1
BH26.0890,18,18,2,73.0,122039695.0,2026-02-27,KH-00364,6779983.0,2026-02,1
BH26.0571,16,16,3,113.0,121858724.0,2026-02-07,KH-00402,7616170.0,2026-02,1
BH26.0372,27,27,2,75.0,120795166.0,2026-01-28,KH-00529,4473895.0,2026-01,1
BH25.0636,44,44,5,85.0,119686001.0,2025-03-28,KH-00194,2720136.0,2025-03,1
BH25.0285,19,19,5,60.0,119613798.0,2025-03-17,KH-00173,6295463.0,2025-03,1
BH26.0203,18,16,4,68.0,119609411.0,2026-01-24,KH-00428,6644967.0,2026-01,1
BH26.0883,30,24,3,73.0,118223676.0,2026-02-27,KH-00698,3940789.0,2026-02,1
BH26.0368,32,32,3,69.0,116247012.0,2026-01-28,KH-00487,3632719.0,2026-01,1
BH26.0105,14,14,1,68.0,115930528.0,2026-01-19,KH-00134,8280752.0,2026-01,0
BH26.0758,19,19,1,72.0,115168308.0,2026-02-13,KH-00386,6061490.0,2026-02,0
BH25.0492,17,17,5,61.0,114730000.0,2025-03-25,KH-00173,6748824.0,2025-03,1
BH26.0159,13,13,3,72.0,112892751.0,2026-01-22,KH-00341,8684058.0,2026-01,1
BH25.0647,17,17,1,95.0,112130000.0,2025-03-29,KH-00057,6595882.0,2025-03,0
BH25.0488,13,13,5,48.0,111742683.0,2025-03-25,KH-00173,8595591.0,2025-03,1
BH25.0288,18,18,5,57.0,110651852.0,2025-03-17,KH-00173,6147325.0,2025-03,1
BH26.0193,1,1,1,50.0,110648148.0,2026-01-24,KH-00427,110648148.0,2026-01,0
BH26.0618,37,37,4,94.0,109880000.0,2026-02-09,KH-00091,2969730.0,2026-02,1
BH25.0198,40,40,3,120.0,108820000.0,2025-02-22,KH-00141,2720500.0,2025-02,1
BH25.0276,17,17,2,68.0,108164789.0,2025-03-17,KH-00046,6362635.0,2025-03,1
BH26.0893,10,7,2,69.0,107710180.0,2026-02-27,KH-00426,10771018.0,2026-02,1
BH26.0728,29,29,2,64.0,107085445.0,2026-02-13,KH-00364,3692602.0,2026-02,1
BH25.0364,16,16,1,89.0,106630000.0,2025-03-20,KH-00104,6664375.0,2025-03,0
BH25.0061,11,11,2,68.0,105677282.0,2025-01-24,KH-00046,9607026.0,2025-01,1
BH26.0887,30,30,3,63.0,105359230.0,2026-02-27,KH-00338,3511974.0,2026-02,1
BH26.0219,34,34,4,76.0,105260000.0,2026-01-24,KH-00091,3095882.0,2026-01,1
BH26.0070,26,26,4,82.0,105110000.0,2026-01-16,KH-00091,4042692.0,2026-01,1
BH25.0437,22,22,4,88.0,104730000.0,2025-03-22,KH-00132,4760455.0,2025-03,1
BH26.0018,27,23,1,64.0,103598860.0,2026-01-12,KH-00343,3836995.0,2026-01,0
BH26.0901,30,25,3,68.0,102714877.0,2026-02-27,KH-00374,3423829.0,2026-02,1
