province_name,region,group_code,tong_dt,tong_sl,so_don,year
Bắc Giang,Miền Bắc,CITYBIKE_P,474929445.0,334.0,13,2025
Bắc Giang,Miền Bắc,KIDBIKE_1,48800000.0,45.0,6,2025
Bắc Giang,Miền Bắc,KIDBIKE_2,15550000.0,32.0,4,2025
Bắc Giang,Miền Bắc,SPORTBIKE_A,108432781.0,41.0,10,2025
Bắc Giang,Miền Bắc,SPORTBIKE_S,430868851.0,175.0,5,2025
Bắc Kạn,Miền Bắc,CITYBIKE_P,3600000.0,3.0,1,2025
Bắc Kạn,Miền Bắc,KIDBIKE_1,15730000.0,13.0,2,2025
Bắc Kạn,Miền Bắc,KIDBIKE_2,16990000.0,35.0,2,2025
Bắc Ninh,Miền Bắc,CITYBIKE_P,347718695.0,286.0,13,2025
Bắc Ninh,Miền Bắc,KIDBIKE_1,74751850.0,69.0,10,2025
Bắc Ninh,Miền Bắc,KIDBIKE_2,13640000.0,28.0,3,2025
Bắc Ninh,Miền Bắc,SPORTBIKE_A,44747221.0,9.0,2,2025
Bắc Ninh,Miền Bắc,SPORTBIKE_S,6602314.0,4.0,2,2025
Chí Linh,Miền Bắc,CITYBIKE_P,2212963.0,1.0,1,2025
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,CITYBIKE_P,23040000.0,19.0,1,2025
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,KIDBIKE_1,10200000.0,9.0,1,2025
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,SPORTBIKE_A,4300000.0,2.0,1,2025
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,SPORTBIKE_S,1300000.0,1.0,1,2025
Hoà Bình,Miền Bắc,CITYBIKE_P,1180000.0,1.0,1,2025
Hoà Bình,Miền Bắc,KIDBIKE_1,8700000.0,8.0,2,2025
Hoà Bình,Miền Bắc,KIDBIKE_2,2500000.0,5.0,2,2025
Hoà Bình,Miền Bắc,SPORTBIKE_A,8600000.0,4.0,2,2025
Hoà Bình,Miền Bắc,SPORTBIKE_S,1300000.0,1.0,1,2025
Hà Giang,Miền Bắc,CITYBIKE_P,62520000.0,53.0,3,2025
Hà Giang,Miền Bắc,KIDBIKE_1,36810000.0,33.0,3,2025
Hà Giang,Miền Bắc,KIDBIKE_2,3000000.0,6.0,1,2025
Hà Giang,Miền Bắc,SPORTBIKE_A,4300000.0,2.0,1,2025
Hà Giang,Miền Bắc,SPORTBIKE_S,8800000.0,7.0,2,2025
Hà Nam,Miền Bắc,CITYBIKE_P,385010000.0,324.0,14,2025
Hà Nam,Miền Bắc,KIDBIKE_1,41910000.0,38.0,7,2025
Hà Nam,Miền Bắc,KIDBIKE_2,6000000.0,12.0,3,2025
Hà Nam,Miền Bắc,SPORTBIKE_A,27502860.0,11.0,6,2025
Hà Nam,Miền Bắc,SPORTBIKE_S,6100000.0,5.0,2,2025
Hà Nộ,Miền Bắc,CITYBIKE_P,24640000.0,21.0,1,2025
Hà Nộ,Miền Bắc,KIDBIKE_1,9750000.0,9.0,1,2025
Hà Nội,Miền Bắc,CITYBIKE_P,6072506156.0,4732.0,260,2025
Hà Nội,Miền Bắc,KIDBIKE_1,1936963333.0,1669.0,164,2025
Hà Nội,Miền Bắc,KIDBIKE_2,443854163.0,762.0,91,2025
Hà Nội,Miền Bắc,SPORTBIKE_A,1354926487.0,475.0,91,2025
Hà Nội,Miền Bắc,SPORTBIKE_S,1384616154.0,887.0,120,2025
Hà Tĩnh,Miền Trung,CITYBIKE_P,230370000.0,199.0,11,2025
Hà Tĩnh,Miền Trung,KIDBIKE_1,34560000.0,31.0,7,2025
Hà Tĩnh,Miền Trung,KIDBIKE_2,7440000.0,15.0,2,2025
Hà Tĩnh,Miền Trung,SPORTBIKE_A,2400000.0,1.0,1,2025
