group_code,color,du_bao_q2_pct,group_name,rank_trong_nhom
CITYBIKE_P,Kem,26.7,Xe phổ thông,1
CITYBIKE_P,Ghi,10.6,Xe phổ thông,2
CITYBIKE_P,Đen,9.5,Xe phổ thông,3
CITYBIKE_P,Trắng,8.9,Xe phổ thông,4
CITYBIKE_P,Café/nâu,8.4,Xe phổ thông,5
CITYBIKE_P,Ngọc,5.7,Xe phổ thông,6
CITYBIKE_P,Xanh mint,4.8,Xe phổ thông,7
CITYBIKE_P,Coban,3.9,Xe phổ thông,8
CITYBIKE_P,219-05-26,3.2,Xe phổ thông,9
CITYBIKE_P,Đỏ đun,2.9,Xe phổ thông,10
CITYBIKE_P,Xanh Tím,2.5,Xe phổ thông,11
CITYBIKE_P,Xanh Santorini,2.2,Xe phổ thông,12
CITYBIKE_P,Hồng,1.8,Xe phổ thông,13
CITYBIKE_P,Đỏ tươi,1.7,Xe phổ thông,14
CITYBIKE_P,05-26,1.6,Xe phổ thông,15
CITYBIKE_P,Tím,1.5,Xe phổ thông,16
CITYBIKE_P,Cam,1.3,Xe phổ thông,17
CITYBIKE_P,HP,1.1,Xe phổ thông,18
CITYBIKE_P,Xanh dương,1.1,Xe phổ thông,18
CITYBIKE_P,05-27,0.6,Xe phổ thông,20
KIDBIKE_1,Hồng,28.6,Xe trẻ em nhóm 1,1
KIDBIKE_1,Xanh,16.0,Xe trẻ em nhóm 1,2
KIDBIKE_1,Kem,13.0,Xe trẻ em nhóm 1,3
KIDBIKE_1,Đen,12.4,Xe trẻ em nhóm 1,4
KIDBIKE_1,Ghi,7.8,Xe trẻ em nhóm 1,5
KIDBIKE_1,Trắng,6.5,Xe trẻ em nhóm 1,6
KIDBIKE_1,Đỏ,6.3,Xe trẻ em nhóm 1,7
KIDBIKE_1,Vàng,4.8,Xe trẻ em nhóm 1,8
KIDBIKE_1,Đỏ tươi,2.0,Xe trẻ em nhóm 1,9
KIDBIKE_1,chanh,1.0,Xe trẻ em nhóm 1,10
KIDBIKE_1,Coban,0.8,Xe trẻ em nhóm 1,11
KIDBIKE_1,Tím,0.7,Xe trẻ em nhóm 1,12
KIDBIKE_2,Hồng,41.0,Xe trẻ em nhóm 2,1
KIDBIKE_2,Xanh dương,39.1,Xe trẻ em nhóm 2,2
KIDBIKE_2,Café/nâu,9.1,Xe trẻ em nhóm 2,3
KIDBIKE_2,Cam,5.5,Xe trẻ em nhóm 2,4
KIDBIKE_2,Kem,5.4,Xe trẻ em nhóm 2,5
SPORTBIKE_A,Ghi,82.8,Xe thể thao nhôm,1
SPORTBIKE_A,trời,15.5,Xe thể thao nhôm,2
SPORTBIKE_A,Đen,1.7,Xe thể thao nhôm,3
SPORTBIKE_S,Đen,55.3,Xe thể thao thép,1
SPORTBIKE_S,Xanh,15.3,Xe thể thao thép,2
SPORTBIKE_S,Đỏ,11.8,Xe thể thao thép,3
SPORTBIKE_S,bóng,4.5,Xe thể thao thép,4
SPORTBIKE_S,mờ,4.2,Xe thể thao thép,5
SPORTBIKE_S,Xanh dương,3.8,Xe thể thao thép,6
SPORTBIKE_S,rêu,3.2,Xe thể thao thép,7
SPORTBIKE_S,Đỏ đun,1.3,Xe thể thao thép,8
SPORTBIKE_S,Ghi,0.3,Xe thể thao thép,9
SPORTBIKE_S,xanh,0.3,Xe thể thao thép,9
