product_code,product_name,color,group_code,quantity,group_name
000217004008000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Ghi,Ghi,SPORTBIKE_S,1.0,Xe thể thao thép
000333002022000,Xe đạp Thống Nhất Super 26 xanh,xanh,SPORTBIKE_S,1.0,Xe thể thao thép
1000300050010000,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),Đen,SPORTBIKE_A,1.0,Xe thể thao nhôm
000324000040000,Xe đạp Thống Nhất MTB 26-05_2023 Đỏ đun,Đỏ đun,SPORTBIKE_S,4.0,Xe thể thao thép
000218002003000,Xe đạp Thống Nhất GN 06-27 Đỏ đun,Đỏ đun,CITYBIKE_P,7.0,Xe phổ thông
000218002001000,Xe đạp Thống Nhất GN 06-27 Đen,Đen,CITYBIKE_P,8.0,Xe phổ thông
1000310050200000,Xe đạp Thống Nhất Road RPD 700C Xanh da trời,trời,SPORTBIKE_A,9.0,Xe thể thao nhôm
000324000100000,Xe đạp Thống Nhất MTB 26-05_2023 Xanh rêu,rêu,SPORTBIKE_S,10.0,Xe thể thao thép
000413002022000,Xe đạp Thống Nhất Highway 27.5 Xanh dương,Xanh dương,SPORTBIKE_S,12.0,Xe thể thao thép
000324000180000,Xe đạp Thống Nhất MTB 26-05_2023 Đen mờ,mờ,SPORTBIKE_S,13.0,Xe thể thao thép
000413002001000,Xe đạp Thống Nhất Highway 27.5 Đen bóng,bóng,SPORTBIKE_S,14.0,Xe thể thao thép
000216002003000,Xe đạp Thống Nhất GN 06-24 Đỏ đun,Đỏ đun,CITYBIKE_P,17.0,Xe phổ thông
000122002004000,Xe đạp Thống Nhất Neo 20-02 Đỏ tươi,Đỏ tươi,KIDBIKE_1,18.0,Xe trẻ em nhóm 1
000124002024000,Xe đạp Thống Nhất Neo 2004 Tím,Tím,KIDBIKE_1,20.0,Xe trẻ em nhóm 1
