group_code,color,quantity,group_name
CITYBIKE_P,Kem,6177.0,Xe phổ thông
CITYBIKE_P,Đen,2801.0,Xe phổ thông
CITYBIKE_P,Trắng,2467.0,Xe phổ thông
CITYBIKE_P,Ghi,2454.0,Xe phổ thông
CITYBIKE_P,Café/nâu,2431.0,Xe phổ thông
KIDBIKE_1,Hồng,1469.0,Xe trẻ em nhóm 1
KIDBIKE_1,Đen,928.0,Xe trẻ em nhóm 1
KIDBIKE_1,Xanh,843.0,Xe trẻ em nhóm 1
KIDBIKE_1,Kem,702.0,Xe trẻ em nhóm 1
KIDBIKE_1,Ghi,440.0,Xe trẻ em nhóm 1
KIDBIKE_2,Xanh dương,1457.0,Xe trẻ em nhóm 2
KIDBIKE_2,Hồng,1337.0,Xe trẻ em nhóm 2
KIDBIKE_2,Café/nâu,383.0,Xe trẻ em nhóm 2
KIDBIKE_2,Cam,173.0,Xe trẻ em nhóm 2
KIDBIKE_2,Kem,154.0,Xe trẻ em nhóm 2
SPORTBIKE_A,Đen,363.0,Xe thể thao nhôm
SPORTBIKE_A,Ghi,222.0,Xe thể thao nhôm
SPORTBIKE_A,trời,207.0,Xe thể thao nhôm
SPORTBIKE_A,Xanh,49.0,Xe thể thao nhôm
SPORTBIKE_A,Cam,27.0,Xe thể thao nhôm
SPORTBIKE_S,Đen,358.0,Xe thể thao thép
SPORTBIKE_S,Xanh,218.0,Xe thể thao thép
SPORTBIKE_S,Xanh dương,165.0,Xe thể thao thép
SPORTBIKE_S,đen,150.0,Xe thể thao thép
SPORTBIKE_S,xanh,131.0,Xe thể thao thép
