group_code,group_name,month,du_bao_dt,lower_80,upper_80,month_label
CITYBIKE_P,Xe phổ thông,4,119141951102.97884,111016086037.47469,128081471596.85606,T4/2026
CITYBIKE_P,Xe phổ thông,5,336767285513.2118,322834603418.0564,350607438764.19543,T5/2026
KIDBIKE_1,Xe trẻ em nhóm 1,4,68208147.53894407,0.0,194001841.857045,T4/2026
KIDBIKE_1,Xe trẻ em nhóm 1,5,99018182612.06155,97229438299.97726,100812721551.93384,T5/2026
KIDBIKE_2,Xe trẻ em nhóm 2,4,25755742.587983645,0.0,103163284.30159783,T4/2026
KIDBIKE_2,Xe trẻ em nhóm 2,5,30293296775.417698,29279112574.353428,31310282752.210033,T5/2026
SPORTBIKE_A,Xe thể thao nhôm,4,0.0,0.0,86280058.20320259,T4/2026
SPORTBIKE_A,Xe thể thao nhôm,5,4854451008.260679,4036832566.0770345,5715435632.051336,T5/2026
SPORTBIKE_S,Xe thể thao thép,4,0.0,0.0,117471862.61926793,T4/2026
SPORTBIKE_S,Xe thể thao thép,5,16960985405.36951,15301558799.011114,18654091191.966564,T5/2026
