customer_code,customer_name,product_code,product_name,color,tong_sl,tong_dt
KH-00006,CÔNG TY TNHH CHI THÀNH,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,18.0,28105002.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,14.0,21859446.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,17.0,26543613.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,12.0,17025552.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,17.0,24119532.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,29.0,53451096.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,2.0,3693148.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,14.0,25816198.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,3.0,5531758.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,26.0,49450458.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,17.0,32288238.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,29.0,55125180.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,8.0,15244350.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,30.0,60744441.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,23.0,46688887.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,24.0,48685183.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,30.0,60418513.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,14.0,29844626.0
KH-00006,CÔNG TY TNHH CHI THÀNH,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,2.0,4152778.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,3.0,3973332.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,10.0,13743056.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,2.0,2300000.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,14.0,20758331.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,6.0,9266664.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,6.0,9266664.0
