province_name,region,product_code,product_name,tong_sl,tong_dt
Bắc Giang,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,27.0,32466660.0
Bắc Giang,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,6.0,6574444.0
Bắc Giang,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,10.0,10500000.0
Bắc Giang,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,4.0,4751388.0
Bắc Giang,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,1.0,1200000.0
Bắc Giang,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,6.0,8088888.0
Bắc Giang,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,2.0,2300000.0
Bắc Giang,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,1.0,1250000.0
Bắc Giang,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,16.0,24227770.0
Bắc Giang,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,12.0,18436105.0
Bắc Giang,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,10.0,14277775.0
Bắc Giang,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,10.0,12500000.0
Bắc Giang,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,13.0,18117776.0
Bắc Giang,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,7.0,10912776.0
Bắc Giang,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,19.0,23183888.0
Bắc Giang,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,10.0,14302776.0
Bắc Giang,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,57.0,93176667.0
