group_a,group_b,so_don_cung_xuat_hien
CITYBIKE_P,CITYBIKE_P,1405
CITYBIKE_P,KIDBIKE_1,737
CITYBIKE_P,KIDBIKE_2,409
CITYBIKE_P,SPORTBIKE_A,169
CITYBIKE_P,SPORTBIKE_S,273
KIDBIKE_1,CITYBIKE_P,737
KIDBIKE_1,KIDBIKE_1,819
KIDBIKE_1,KIDBIKE_2,307
KIDBIKE_1,SPORTBIKE_A,124
KIDBIKE_1,SPORTBIKE_S,209
KIDBIKE_2,CITYBIKE_P,409
KIDBIKE_2,KIDBIKE_1,307
KIDBIKE_2,KIDBIKE_2,465
KIDBIKE_2,SPORTBIKE_A,70
KIDBIKE_2,SPORTBIKE_S,132
SPORTBIKE_A,CITYBIKE_P,169
SPORTBIKE_A,KIDBIKE_1,124
SPORTBIKE_A,KIDBIKE_2,70
SPORTBIKE_A,SPORTBIKE_A,197
SPORTBIKE_A,SPORTBIKE_S,89
SPORTBIKE_S,CITYBIKE_P,273
SPORTBIKE_S,KIDBIKE_1,209
SPORTBIKE_S,KIDBIKE_2,132
SPORTBIKE_S,SPORTBIKE_A,89
SPORTBIKE_S,SPORTBIKE_S,319
