chi_so,gia_tri
tong_doanh_thu_vnd,68641114306.0
tong_doanh_thu_ty,68.64
tong_san_luong_chiec,46539
tong_don_hang,1627
tong_dai_ly,702
tong_sku_ban_duoc,247
tong_tinh_co_doanh_so,73
gia_ban_trung_binh,1474916.0
dt_tb_moi_dai_ly,97779365.0
dt_tb_moi_don,42188761.0
sl_tb_moi_don,28.6
ngay_bat_dau,2025-01-02
ngay_ket_thuc,2026-02-28
so_thang_du_lieu,5
nhom_sp_cao_nhat,CITYBIKE_P
tinh_cao_nhat,Hà Nội
dai_ly_cao_nhat,CÔNG TY TNHH BÌNH MINH
sku_ban_chay_nhat,Xe đạp Thống Nhất New 26 Kem
mau_ban_chay_nhat,Kem
