fiscal_year,fiscal_month,ym,group_code,group_name,region,revenue,quantity,n_orders,n_customers,agg_level,period_label,mom_revenue_pct,yoy_revenue_pct,revenue_share_pct,cum_revenue_ytd
2025,1,2025-01,CITYBIKE_P,Xe phổ thông,__ALL__,1569577377,947,45,34,group,T1/2025,,0.0,49.08,1569577377
2025,2,2025-02,CITYBIKE_P,Xe phổ thông,__ALL__,4307545384,3363,174,134,group,T2/2025,174.44,0.0,67.97,5877122761
2025,3,2025-03,CITYBIKE_P,Xe phổ thông,__ALL__,11079768166,8954,412,235,group,T3/2025,157.22,0.0,59.63,16956890927
2026,1,2026-01,CITYBIKE_P,Xe phổ thông,__ALL__,10948454445,6743,401,268,group,T1/2026,-1.19,597.54,51.8,10948454445
2026,2,2026-02,CITYBIKE_P,Xe phổ thông,__ALL__,10543385018,6565,373,239,group,T2/2026,-3.7,144.77,54.38,21491839463
2025,1,2025-01,KIDBIKE_1,Xe trẻ em nhóm 1,__ALL__,364191375,218,16,10,group,T1/2025,,0.0,11.39,364191375
2025,2,2025-02,KIDBIKE_1,Xe trẻ em nhóm 1,__ALL__,838248052,717,85,75,group,T2/2025,130.17,0.0,13.23,1202439427
2025,3,2025-03,KIDBIKE_1,Xe trẻ em nhóm 1,__ALL__,2812349881,2427,265,160,group,T3/2025,235.5,0.0,15.13,4014789308
2026,1,2026-01,KIDBIKE_1,Xe trẻ em nhóm 1,__ALL__,2101176802,1637,231,163,group,T1/2026,-25.29,476.94,9.94,2101176802
2026,2,2026-02,KIDBIKE_1,Xe trẻ em nhóm 1,__ALL__,1641871844,1280,222,151,group,T2/2026,-21.86,95.87,8.47,3743048646
2025,1,2025-01,KIDBIKE_2,Xe trẻ em nhóm 2,__ALL__,119466940,128,15,6,group,T1/2025,,0.0,3.74,119466940
2025,2,2025-02,KIDBIKE_2,Xe trẻ em nhóm 2,__ALL__,307016457,462,56,41,group,T2/2025,156.99,0.0,4.84,426483397
2025,3,2025-03,KIDBIKE_2,Xe trẻ em nhóm 2,__ALL__,695529515,1117,134,86,group,T3/2025,126.54,0.0,3.74,1122012912
2026,1,2026-01,KIDBIKE_2,Xe trẻ em nhóm 2,__ALL__,459193023,496,109,67,group,T1/2026,-33.98,284.37,2.17,459193023
2026,2,2026-02,KIDBIKE_2,Xe trẻ em nhóm 2,__ALL__,1202314677,1301,151,107,group,T2/2026,161.83,291.61,6.2,1661507700
2025,1,2025-01,SPORTBIKE_A,Xe thể thao nhôm,__ALL__,131539142,37,7,6,group,T1/2025,,0.0,4.11,131539142
2025,2,2025-02,SPORTBIKE_A,Xe thể thao nhôm,__ALL__,451082224,171,42,40,group,T2/2025,242.93,0.0,7.12,582621366
2025,3,2025-03,SPORTBIKE_A,Xe thể thao nhôm,__ALL__,1707156959,608,130,77,group,T3/2025,278.46,0.0,9.19,2289778325
2026,1,2026-01,SPORTBIKE_A,Xe thể thao nhôm,__ALL__,96984806,38,14,12,group,T1/2026,-94.32,-26.27,0.46,96984806
2026,2,2026-02,SPORTBIKE_A,Xe thể thao nhôm,__ALL__,57815363,20,4,4,group,T2/2026,-40.39,-87.18,0.3,154800169
2025,1,2025-01,SPORTBIKE_S,Xe thể thao thép,__ALL__,753752125,346,23,13,group,T1/2025,,0.0,23.57,753752125
2025,2,2025-02,SPORTBIKE_S,Xe thể thao thép,__ALL__,288466569,204,56,50,group,T2/2025,-61.73,0.0,4.55,1042218694
2025,3,2025-03,SPORTBIKE_S,Xe thể thao thép,__ALL__,1571476861,952,144,88,group,T3/2025,444.77,0.0,8.46,2613695555
2026,1,2026-01,SPORTBIKE_S,Xe thể thao thép,__ALL__,443426024,197,60,43,group,T1/2026,-71.78,-41.17,2.1,443426024
2026,2,2026-02,SPORTBIKE_S,Xe thể thao thép,__ALL__,251574257,116,36,31,group,T2/2026,-43.27,-12.79,1.3,695000281
2025,1,2025-01,,,__ALL__,259643330,161,19,10,group,T1/2025,,0.0,8.12,
2025,2,2025-02,,,__ALL__,144852681,113,19,16,group,T2/2025,,0.0,2.29,
2025,3,2025-03,,,__ALL__,715508525,551,57,38,group,T3/2025,,0.0,3.85,
2026,1,2026-01,,,__ALL__,7085838510,3430,381,245,group,T1/2026,,2629.07,33.53,
2026,2,2026-02,,,__ALL__,5691907974,3240,352,230,group,T2/2026,,3829.45,29.36,
2025,1,2025-01,CITYBIKE_P,Xe phổ thông,Miền Bắc,1257222287,778,25,25,group_region,T1/2025,,0.0,39.31,1257222287
2025,2,2025-02,CITYBIKE_P,Xe phổ thông,Miền Bắc,3053671179,2434,127,105,group_region,T2/2025,142.89,0.0,48.19,4310893466
2025,3,2025-03,CITYBIKE_P,Xe phổ thông,Miền Bắc,9040596814,7340,345,201,group_region,T3/2025,196.06,0.0,48.65,13351490280
2026,1,2026-01,CITYBIKE_P,Xe phổ thông,Miền Bắc,8246548908,5105,304,212,group_region,T1/2026,-8.78,555.93,39.02,8246548908
2026,2,2026-02,CITYBIKE_P,Xe phổ thông,Miền Bắc,5997169522,3776,206,130,group_region,T2/2026,-27.28,96.39,30.93,14243718430
2025,1,2025-01,CITYBIKE_P,Xe phổ thông,Miền Nam,230726200,119,13,2,group_region,T1/2025,,0.0,7.21,230726200
2025,2,2025-02,CITYBIKE_P,Xe phổ thông,Miền Nam,271092662,140,17,3,group_region,T2/2025,17.5,0.0,4.28,501818862
2025,3,2025-03,CITYBIKE_P,Xe phổ thông,Miền Nam,212979529,110,10,2,group_region,T3/2025,-21.44,0.0,1.15,714798391
2026,1,2026-01,CITYBIKE_P,Xe phổ thông,Miền Nam,388907021,200,26,2,group_region,T1/2026,82.6,68.56,1.84,388907021
2026,2,2026-02,CITYBIKE_P,Xe phổ thông,Miền Nam,303137570,155,26,2,group_region,T2/2026,-22.05,11.82,1.56,692044591
2025,1,2025-01,CITYBIKE_P,Xe phổ thông,Miền Trung,69360371,45,6,6,group_region,T1/2025,,0.0,2.17,69360371
2025,2,2025-02,CITYBIKE_P,Xe phổ thông,Miền Trung,946041543,758,28,25,group_region,T2/2025,1263.95,0.0,14.93,1015401914
2025,3,2025-03,CITYBIKE_P,Xe phổ thông,Miền Trung,1700931823,1399,52,30,group_region,T3/2025,79.79,0.0,9.15,2716333737
2026,1,2026-01,CITYBIKE_P,Xe phổ thông,Miền Trung,2300729998,1433,70,53,group_region,T1/2026,35.26,3217.07,10.89,2300729998
2026,2,2026-02,CITYBIKE_P,Xe phổ thông,Miền Trung,1936228163,1218,49,35,group_region,T2/2026,-15.84,104.67,9.99,4236958161
2025,1,2025-01,CITYBIKE_P,Xe phổ thông,,12268519,5,1,1,group_region,T1/2025,,0.0,0.38,
2025,2,2025-02,CITYBIKE_P,Xe phổ thông,,36740000,31,2,1,group_region,T2/2025,,0.0,0.58,
2025,3,2025-03,CITYBIKE_P,Xe phổ thông,,125260000,105,5,2,group_region,T3/2025,,0.0,0.67,
2026,1,2026-01,CITYBIKE_P,Xe phổ thông,,12268518,5,1,1,group_region,T1/2026,,-0.0,0.06,
2026,2,2026-02,CITYBIKE_P,Xe phổ thông,,2306849763,1416,92,72,group_region,T2/2026,,6178.85,11.9,
