province_name,region,group_code,group_name,revenue,quantity,n_orders,n_customers,agg_level,revenue_pct_province,revenue_pct_region,revenue_pct_national,rank_in_region
Bắc Giang,Miền Bắc,CITYBIKE_P,Xe phổ thông,1159751597,729,26,9,province_group,40.85,2.35,1.69,3
Bắc Giang,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,79714990,69,11,6,province_group,2.81,0.16,0.12,3
Bắc Giang,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,69676988,91,7,2,province_group,2.45,0.14,0.1,3
Bắc Giang,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,108432781,41,10,6,province_group,3.82,0.22,0.16,3
Bắc Giang,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,448339958,182,7,6,province_group,15.79,0.91,0.65,3
Bắc Giang,Miền Bắc,,,973113949,480,15,4,province_group,34.28,1.98,1.42,3
Bắc Kạn,Miền Bắc,CITYBIKE_P,Xe phổ thông,3600000,3,1,1,province_group,6.38,0.01,0.01,41
Bắc Kạn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,26325552,21,3,2,province_group,46.63,0.05,0.04,41
Bắc Kạn,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,16990000,35,2,1,province_group,30.09,0.03,0.02,41
Bắc Kạn,Miền Bắc,,,9539996,7,1,1,province_group,16.9,0.02,0.01,41
Bắc Ninh,Miền Bắc,CITYBIKE_P,Xe phổ thông,1074300021,733,42,23,province_group,54.59,2.18,1.57,5
Bắc Ninh,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,216694856,181,28,18,province_group,11.01,0.44,0.32,5
Bắc Ninh,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,75490873,94,10,6,province_group,3.84,0.15,0.11,5
Bắc Ninh,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,44747221,9,2,1,province_group,2.27,0.09,0.07,5
Bắc Ninh,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,6602314,4,2,2,province_group,0.34,0.01,0.01,5
Bắc Ninh,Miền Bắc,,,549955529,295,27,16,province_group,27.95,1.12,0.8,5
Cao Bằng,Miền Bắc,CITYBIKE_P,Xe phổ thông,6788888,4,1,1,province_group,9.95,0.01,0.01,37
Cao Bằng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,19627494,15,1,1,province_group,28.76,0.04,0.03,37
Cao Bằng,Miền Bắc,,,41833882,20,1,1,province_group,61.29,0.08,0.06,37
Chí Linh,Miền Bắc,CITYBIKE_P,Xe phổ thông,2212963,1,1,1,province_group,100.0,0.0,0.0,61
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,CITYBIKE_P,Xe phổ thông,23040000,19,1,1,province_group,59.32,0.05,0.03,48
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,10200000,9,1,1,province_group,26.26,0.02,0.01,48
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,4300000,2,1,1,province_group,11.07,0.01,0.01,48
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1300000,1,1,1,province_group,3.35,0.0,0.0,48
Hoà Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,1180000,1,1,1,province_group,4.77,0.0,0.0,52
Hoà Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,8700000,8,2,1,province_group,35.16,0.02,0.01,52
Hoà Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,2500000,5,2,1,province_group,10.1,0.01,0.0,52
Hoà Bình,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,8600000,4,2,1,province_group,34.76,0.02,0.01,52
Hoà Bình,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1300000,1,1,1,province_group,5.25,0.0,0.0,52
Hoà Bình,Miền Bắc,,,2462962,2,1,1,province_group,9.95,0.0,0.0,52
Hà Giang,Miền Bắc,CITYBIKE_P,Xe phổ thông,62520000,53,3,3,province_group,54.16,0.13,0.09,30
Hà Giang,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,36810000,33,3,3,province_group,31.89,0.07,0.05,30
Hà Giang,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,3000000,6,1,1,province_group,2.6,0.01,0.0,30
Hà Giang,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,4300000,2,1,1,province_group,3.73,0.01,0.01,30
