product_code,product_name,group_code,group_name,line_name,color,revenue_total,quantity_total,n_orders_total,n_customers_total,revenue_2025,quantity_2025,n_orders_2025,revenue_2026,quantity_2026,n_orders_2026,revenue_2026_ann,yoy_revenue_pct,avg_unit_price,revenue_rank,pareto_cum_pct,pareto_class,revenue_share_in_group_pct,bcg_quadrant
000225002023000,Xe đạp Thống Nhất New 26 Kem,CITYBIKE_P,Xe phổ thông,Xe New 26,Kem,3537208993,2483,566,347,1619321843,1303,296.0,1917887150,1180,270.0,11507322900,610.63,1424571,1,5.15,A (top 70%),9.2,Ngôi sao
000224002023000,Xe đạp Thống Nhất New 24 Kem,CITYBIKE_P,Xe phổ thông,Xe New 24,Kem,2320473494,1713,480,309,917042024,796,235.0,1403431470,917,245.0,8420588820,818.23,1354626,2,8.53,A (top 70%),6.04,Ngôi sao
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Kem,1855162820,1211,371,242,693359259,524,166.0,1161803561,687,205.0,6970821366,905.37,1531926,3,11.24,A (top 70%),4.83,Ngôi sao
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe New 26,Café/nâu,1811200009,1252,381,270,849378282,663,198.0,961821727,589,183.0,5770930362,579.43,1446645,4,13.88,A (top 70%),4.71,Ngôi sao
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Đen,1759770654,1190,375,265,640455923,496,170.0,1119314731,694,205.0,6715888386,948.61,1478799,5,16.44,A (top 70%),4.58,Ngôi sao
000225002002000,Xe đạp Thống Nhất New 26 Trắng,CITYBIKE_P,Xe phổ thông,Xe New 26,Trắng,1678308225,1138,383,247,891562788,673,223.0,786745437,465,160.0,4720472622,429.46,1474788,6,18.88,A (top 70%),4.37,Bò sữa
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,CITYBIKE_P,Xe phổ thông,Xe MTB 26 02,Ghi,1444342063,895,296,208,549799074,409,136.0,894542989,486,160.0,5367257934,876.22,1613790,7,20.99,A (top 70%),3.76,Ngôi sao
000207004000000,Xe đạp Thống Nhất 219-05-26,CITYBIKE_P,Xe phổ thông,Xe 219-05-26,219-05-26,1381409524,941,224,157,713951387,512,106.0,667458137,429,118.0,4004748822,460.93,1468023,9,25.09,A (top 70%),3.59,Bò sữa
000230002023000,Xe đạp Thống Nhất LD 26 Kem,CITYBIKE_P,Xe phổ thông,Xe LD 26,Kem,1362615654,770,227,164,0,0,0.0,1362615654,770,227.0,8175693924,,1769631,10,27.08,A (top 70%),3.54,Bò sữa
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Ghi,1318725170,910,311,224,499178239,397,148.0,819546931,513,163.0,4917281586,885.08,1449149,11,29.0,A (top 70%),3.43,Ngôi sao
