customer_code,customer_name,province_name,region,first_order_date,last_order_date_q1_2025,cohort_month,recency_days,n_orders_q1_2025,revenue_q1_2025,quantity_q1_2025,avg_order_value_q1_2025,n_product_groups_q1_2025,trend_slope,groups_bought,churn_label,rfm_r,rfm_f,rfm_m,rfm_segment,churn_prob,churn_split,churn_priority,roc_auc_test,n_orders_q1_2026,revenue_q1_2026,quantity_q1_2026
KH-00001,HỘ KINH DOANH TÚ ANH,Hà Nội,Miền Bắc,2025-01-02,2025-03-26,2025-01,5,3,11527779,5,3842593.0,1,6916667.0,CITYBIKE_P,1,4,5,1,Khách hàng trung thành,0.9907,train,Cao,0.8046,0.0,0,0.0
KH-00002,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Hà Nội,Miền Bắc,2025-01-06,2025-01-06,2025-01,84,1,3509259,1,3509259.0,1,0.0,SPORTBIKE_S,1,1,2,1,Có nguy cơ rời bỏ,0.9779,test,Cao,0.8046,0.0,0,0.0
KH-00003,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,Miền Bắc,2025-01-06,2025-01-06,2025-01,84,1,2398148,1,2398148.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9779,train,Cao,0.8046,0.0,0,0.0
KH-00004,DOANH NGHIỆP TW KHẢI HOÀN,,,2025-01-06,2025-03-28,2025-01,3,7,195378519,159,27911217.0,5,61825740.5,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,0,4,5,5,Khách hàng tiêu biểu,0.0797,train,Thấp,0.8046,3.0,78361833,48.0
KH-00005,CÔNG TY TNHH ĐẠI LỢI,Hà Nội,Miền Bắc,2025-01-07,2025-01-07,2025-01,83,1,4425926,2,4425926.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9779,train,Cao,0.8046,0.0,0,0.0
KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2025-01-07,2025-03-21,2025-01,10,26,534583903,325,20560919.0,3,46455267.5,CITYBIKE_P|KIDBIKE_2|SPORTBIKE_S,0,3,5,5,Cần theo dõi,0.0262,train,Thấp,0.8046,41.0,559333665,343.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,2025-01-08,2025-03-20,2025-01,11,3,282381204,175,94127068.0,3,-212701204.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A,0,2,5,5,Cần chăm sóc đặc biệt,0.0392,train,Thấp,0.8046,4.0,324075674,204.0
KH-00008,CÔNG TY CỔ PHẦN YÊN BÌNH,Hưng Yên,Miền Bắc,2025-01-09,2025-01-09,2025-01,81,1,6648148,2,6648148.0,1,0.0,SPORTBIKE_S,0,1,2,1,Có nguy cơ rời bỏ,0.1084,train,Thấp,0.8046,1.0,7037038,2.0
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,2025-01-09,2025-01-09,2025-01,81,1,44444444,20,44444444.0,1,0.0,CITYBIKE_P,0,1,2,3,Có nguy cơ rời bỏ,0.1089,train,Thấp,0.8046,1.0,44444444,20.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,2025-01-09,2025-03-25,2025-01,6,5,210870876,188,42174175.0,4,64070352.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A,0,3,5,5,Cần theo dõi,0.0756,train,Thấp,0.8046,2.0,109468672,77.0
KH-00011,DOANH NGHIỆP TW NAM TIẾN,Hà Nội,Miền Bắc,2025-01-09,2025-03-06,2025-01,25,2,4611112,2,2305556.0,1,-0.0,CITYBIKE_P,1,2,4,1,Cần chăm sóc đặc biệt,0.9804,test,Cao,0.8046,0.0,0,0.0
KH-00012,HỘ KINH DOANH THIÊN AN,Hà Nội,Miền Bắc,2025-01-10,2025-03-10,2025-01,21,2,5185186,2,2592593.0,1,-0.0,CITYBIKE_P,1,2,4,1,Cần chăm sóc đặc biệt,0.9804,train,Cao,0.8046,0.0,0,0.0
KH-00013,DOANH NGHIỆP TW THANH BÌNH,Hưng Yên,Miền Bắc,2025-01-10,2025-01-10,2025-01,80,1,2490741,1,2490741.0,0,0.0,,1,1,2,1,Có nguy cơ rời bỏ,0.9869,train,Cao,0.8046,0.0,0,0.0
KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,2025-01-10,2025-03-17,2025-01,14,3,119270000,119,39756667.0,4,1190000.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S,0,2,5,5,Cần chăm sóc đặc biệt,0.112,train,Thấp,0.8046,1.0,39473324,21.0
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,2025-01-10,2025-03-25,2025-01,6,3,77930000,55,25976667.0,4,31510000.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A|SPORTBIKE_S,1,3,5,4,Cần theo dõi,0.9727,train,Cao,0.8046,0.0,0,0.0
KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,2025-01-10,2025-03-26,2025-01,5,4,93910000,78,23477500.0,2,20450000.0,CITYBIKE_P|KIDBIKE_1,1,4,5,5,Khách hàng tiêu biểu,0.9053,test,Cao,0.8046,0.0,0,0.0
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2025-01-10,2025-01-10,2025-01,80,1,23350000,20,23350000.0,1,0.0,CITYBIKE_P,1,1,2,2,Có nguy cơ rời bỏ,0.9276,train,Cao,0.8046,0.0,0,0.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,2025-01-10,2025-03-21,2025-01,10,3,125901481,112,41967160.0,4,-67938519.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S,0,3,5,5,Cần theo dõi,0.4116,test,Trung bình,0.8046,3.0,144333378,96.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,2025-01-11,2025-03-25,2025-01,6,15,1315502218,730,87700148.0,5,10402133.5,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,0,3,5,5,Cần theo dõi,0.0485,train,Thấp,0.8046,42.0,2306399537,1072.0
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2025-01-11,2025-01-11,2025-01,79,1,124583332,60,124583332.0,1,0.0,CITYBIKE_P,1,1,2,5,Có nguy cơ rời bỏ,0.9385,train,Cao,0.8046,0.0,0,0.0
KH-00021,HỘ KINH DOANH XÂY DỰNG,Hà Nội,Miền Bắc,2025-01-11,2025-01-11,2025-01,79,1,87037037,40,87037037.0,1,0.0,CITYBIKE_P,1,1,2,4,Có nguy cơ rời bỏ,0.9559,train,Cao,0.8046,0.0,0,0.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,2025-01-13,2025-03-25,2025-01,6,12,139426647,122,11618887.0,5,16383323.5,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,0,3,5,5,Cần theo dõi,0.0424,train,Thấp,0.8046,5.0,47703881,28.0
KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2025-01-13,2025-03-19,2025-01,12,4,561667591,382,140416898.0,2,-140111110.0,CITYBIKE_P|KIDBIKE_1,0,2,5,5,Cần chăm sóc đặc biệt,0.3543,test,Trung bình,0.8046,2.0,230648146,150.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,2025-01-13,2025-03-25,2025-01,6,6,266430000,220,44405000.0,3,29185000.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S,0,3,5,5,Cần theo dõi,0.0652,train,Thấp,0.8046,5.0,331010112,195.0
KH-00025,DOANH NGHIỆP TW SƠN HÀ,Thanh Hoá,Miền Trung,2025-01-13,2025-01-13,2025-01,77,1,13277778,6,13277778.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9638,train,Cao,0.8046,0.0,0,0.0
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,Thanh Hóa,Miền Trung,2025-01-13,2025-01-13,2025-01,77,1,7777778,3,7777778.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9619,test,Cao,0.8046,0.0,0,0.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2025-01-13,2025-03-25,2025-01,6,6,68267254,50,11377876.0,5,90412.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,0,3,5,4,Cần theo dõi,0.0472,train,Thấp,0.8046,4.0,153786253,90.0
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,Phú Thọ,Miền Bắc,2025-01-15,2025-03-28,2025-01,3,2,51050000,43,25525000.0,4,-17970000.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S,1,4,4,3,Khách hàng trung thành,0.9885,test,Cao,0.8046,0.0,0,0.0
KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Phan Thiết,Miền Bắc,2025-01-16,2025-01-16,2025-01,74,1,4055556,2,4055556.0,0,0.0,,1,1,2,1,Có nguy cơ rời bỏ,0.9846,train,Cao,0.8046,0.0,0,0.0
