"customer_code","customer_name","province_name","region","cohort_month","first_order_date","last_order_q1_2025","recency_days","n_orders_q1_2025","revenue_q1_2025","avg_order_value","n_product_groups","trend_slope","groups_bought","n_orders_q1_2026","revenue_q1_2026","churn_label","rfm_r","rfm_f","rfm_m","rfm_segment","churn_prob","churn_split","churn_priority","roc_auc_test"
"KH-00001","HỘ KINH DOANH TÚ ANH","Hà Nội","Miền Bắc","2025-01","2025-01-02","2025-03-26",5,3,11527779,3842593.0,1,6916667.0,"CITYBIKE_P",0,0,1,4,5,1,"Khách hàng trung thành",0.8302,"train","Cao",0.7754
"KH-00002","CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH","Hà Nội","Miền Bắc","2025-01","2025-01-06","2025-01-06",84,1,3509259,3509259.0,1,0.0,"SPORTBIKE_S",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9017,"test","Cao",0.7754
"KH-00003","CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN","Hà Nội","Miền Bắc","2025-01","2025-01-06","2025-01-06",84,1,2398148,2398148.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.903,"train","Cao",0.7754
"KH-00004","DOANH NGHIỆP TW KHẢI HOÀN","","","2025-01","2025-01-06","2025-03-28",3,7,195378519,27911217.0,5,61825740.5,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",5,129860061,0,4,5,5,"Khách hàng tiêu biểu",0.6751,"train","Cao",0.7754
"KH-00005","CÔNG TY TNHH ĐẠI LỢI","Hà Nội","Miền Bắc","2025-01","2025-01-07","2025-01-07",83,1,4425926,4425926.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9008,"train","Cao",0.7754
"KH-00006","CÔNG TY TNHH CHI THÀNH","TP. Hồ Chí Minh","Miền Nam","2025-01","2025-01-07","2025-03-21",10,26,534583903,20560919.0,3,46455267.5,"CITYBIKE_P|KIDBIKE_2|SPORTBIKE_S",57,756025862,0,3,5,5,"Cần theo dõi",0.0009,"train","Thấp",0.7754
"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","2025-01","2025-01-08","2025-03-20",11,3,282381204,94127068.0,3,-212701204.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A",9,542491172,0,2,5,5,"Cần chăm sóc đặc biệt",0.3954,"train","Trung bình",0.7754
"KH-00008","CÔNG TY CỔ PHẦN YÊN BÌNH","Hưng Yên","Miền Bắc","2025-01","2025-01-09","2025-01-09",81,1,6648148,6648148.0,1,0.0,"SPORTBIKE_S",1,7037038,0,1,2,1,"Có nguy cơ rời bỏ",0.8985,"train","Cao",0.7754
"KH-00009","CỬA HÀNG XE ĐẠP THIÊN AN","Hà Nội","Miền Bắc","2025-01","2025-01-09","2025-01-09",81,1,44444444,44444444.0,1,0.0,"CITYBIKE_P",1,44444444,0,1,2,3,"Có nguy cơ rời bỏ",0.8401,"train","Cao",0.7754
"KH-00010","CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc","2025-01","2025-01-09","2025-03-25",6,5,210870876,42174175.0,4,64070352.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A",7,282980211,0,3,5,5,"Cần theo dõi",0.7981,"train","Cao",0.7754
"KH-00011","DOANH NGHIỆP TW NAM TIẾN","Hà Nội","Miền Bắc","2025-01","2025-01-09","2025-03-06",25,2,4611112,2305556.0,1,-0.0,"CITYBIKE_P",0,0,1,2,4,1,"Cần chăm sóc đặc biệt",0.8748,"test","Cao",0.7754
"KH-00012","HỘ KINH DOANH THIÊN AN","Hà Nội","Miền Bắc","2025-01","2025-01-10","2025-03-10",21,2,5185186,2592593.0,1,-0.0,"CITYBIKE_P",0,0,1,2,4,1,"Cần chăm sóc đặc biệt",0.8757,"train","Cao",0.7754
"KH-00013","DOANH NGHIỆP TW THANH BÌNH","Hưng Yên","Miền Bắc","2025-01","2025-01-10","2025-01-10",80,1,2490741,2490741.0,0,0.0,"",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.8958,"train","Cao",0.7754
"KH-00014","HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc","2025-01","2025-01-10","2025-03-17",14,3,119270000,39756667.0,4,1190000.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S",6,190937551,0,2,5,5,"Cần chăm sóc đặc biệt",0.8244,"train","Cao",0.7754
"KH-00015","DOANH NGHIỆP TW MINH PHƯƠNG","Phú Thọ","Miền Bắc","2025-01","2025-01-10","2025-03-25",6,3,77930000,25976667.0,4,31510000.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A|SPORTBIKE_S",0,0,1,3,5,4,"Cần theo dõi",0.8673,"train","Cao",0.7754
"KH-00016","DOANH NGHIỆP TW VIỆT ANH","Quảng Trị","Miền Trung","2025-01","2025-01-10","2025-03-26",5,4,93910000,23477500.0,2,20450000.0,"CITYBIKE_P|KIDBIKE_1",0,0,1,4,5,5,"Khách hàng tiêu biểu",0.7793,"test","Cao",0.7754
"KH-00017","CỬA HÀNG XE ĐẠP THUỶ TIÊN","TT Hương Sơn- Phú Bình- Thái Nguyên","Miền Bắc","2025-01","2025-01-10","2025-01-10",80,1,23350000,23350000.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,2,"Có nguy cơ rời bỏ",0.8758,"train","Cao",0.7754
"KH-00018","CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH","Hà Nội","Miền Bắc","2025-01","2025-01-10","2025-03-21",10,3,125901481,41967160.0,4,-67938519.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S",11,361205178,0,3,5,5,"Cần theo dõi",0.741,"test","Cao",0.7754
"KH-00019","CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH","TP. Hồ Chí Minh","Miền Nam","2025-01","2025-01-11","2025-03-25",6,15,1315502218,87700148.0,5,10402133.5,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",55,3167558983,0,3,5,5,"Cần theo dõi",0.3931,"train","Trung bình",0.7754
"KH-00020","DOANH NGHIỆP TW TRƯỜNG THỊNH","Hà Nội","Miền Bắc","2025-01","2025-01-11","2025-01-11",79,1,124583332,124583332.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,5,"Có nguy cơ rời bỏ",0.636,"train","Cao",0.7754
"KH-00021","HỘ KINH DOANH XÂY DỰNG","Hà Nội","Miền Bắc","2025-01","2025-01-11","2025-01-11",79,1,87037037,87037037.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,4,"Có nguy cơ rời bỏ",0.7458,"test","Cao",0.7754
"KH-00022","CÔNG TY CỔ PHẦN VIỆT ANH","Hà Nội","Miền Bắc","2025-01","2025-01-13","2025-03-25",6,12,139426647,11618887.0,5,16383323.5,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",6,409453881,0,3,5,5,"Cần theo dõi",0.1407,"train","Thấp",0.7754
"KH-00023","CÔNG TY TNHH THANH BÌNH","Hà Nội","Miền Bắc","2025-01","2025-01-13","2025-03-19",12,4,561667591,140416898.0,2,-140111110.0,"CITYBIKE_P|KIDBIKE_1",3,244314813,0,2,5,5,"Cần chăm sóc đặc biệt",0.4291,"test","Trung bình",0.7754
"KH-00024","CÔNG TY TNHH MINH PHƯƠNG","Ninh Bình","Miền Bắc","2025-01","2025-01-13","2025-03-25",6,6,266430000,44405000.0,3,29185000.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S",14,682039943,0,3,5,5,"Cần theo dõi",0.6756,"train","Cao",0.7754
"KH-00025","DOANH NGHIỆP TW SƠN HÀ","Thanh Hoá","Miền Trung","2025-01","2025-01-13","2025-01-13",77,1,13277778,13277778.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.8909,"train","Cao",0.7754
"KH-00026","CÔNG TY CỔ PHẦN LÊ ANH","Thanh Hóa","Miền Trung","2025-01","2025-01-13","2025-01-13",77,1,7777778,7777778.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.8981,"train","Cao",0.7754
"KH-00027","HỘ KINH DOANH ĐẠI DƯƠNG","Hà Nội","Miền Bắc","2025-01","2025-01-13","2025-03-25",6,6,68267254,11377876.0,5,90412.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",12,485902094,0,3,5,4,"Cần theo dõi",0.6423,"train","Cao",0.7754
"KH-00028","DOANH NGHIỆP TW PHÚ THỊNH","Phú Thọ","Miền Bắc","2025-01","2025-01-15","2025-03-28",3,2,51050000,25525000.0,4,-17970000.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S",0,0,1,4,4,3,"Khách hàng trung thành",0.8707,"test","Cao",0.7754
"KH-00029","CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH","Phan Thiết","Miền Bắc","2025-01","2025-01-16","2025-01-16",74,1,4055556,4055556.0,0,0.0,"",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.8953,"train","Cao",0.7754
"KH-00030","CỬA HÀNG XE ĐẠP BÌNH MINH","Bắc Giang","Miền Bắc","2025-01","2025-01-16","2025-01-16",74,1,680818519,680818519.0,3,0.0,"CITYBIKE_P|SPORTBIKE_A|SPORTBIKE_S",1,685527778,0,1,2,5,"Có nguy cơ rời bỏ",0.001,"train","Thấp",0.7754
"KH-00031","CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG","Hà Nội","Miền Bắc","2025-01","2025-01-16","2025-01-16",74,1,4907408,4907408.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9024,"train","Cao",0.7754
"KH-00032","HỘ KINH DOANH CHI THÀNH","Hà Nội","Miền Bắc","2025-01","2025-01-16","2025-01-16",74,1,1935185,1935185.0,0,0.0,"",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.898,"train","Cao",0.7754
"KH-00033","CỬA HÀNG XE ĐẠP HÙNG CƯỜNG","Hà Nội","Miền Bắc","2025-01","2025-01-17","2025-01-17",73,1,11064815,11064815.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.8949,"train","Cao",0.7754
"KH-00034","CÔNG TY TNHH BÌNH MINH","Đà Nẵng","Miền Trung","2025-01","2025-01-18","2025-02-20",39,2,32750000,16375000.0,3,9250000.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S",0,0,1,1,4,2,"Cần chăm sóc đặc biệt",0.8814,"train","Cao",0.7754
