"province_name","region","revenue","quantity","n_orders","n_customers","rev_pct_national","rev_pct_region","rank_national","rank_in_region"
"","",8608511731.0,5057.0,325,1,7.93,100.0,2,1
"Bắc Giang","Miền Bắc",3358309754.0,1885.0,37,10,3.09,4.54,8,4
"Bắc Kạn","Miền Bắc",56455548.0,66.0,3,2,0.05,0.08,55,44
"Bắc Ninh","Miền Bắc",3136794708.0,2024.0,82,23,2.89,4.24,9,5
"Cao Bằng","Miền Bắc",68250264.0,39.0,1,1,0.06,0.09,50,39
"Chí Linh","Miền Bắc",2212963.0,1.0,1,1,0.0,0.0,74,61
"Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh","Miền Bắc",38840000.0,31.0,1,1,0.04,0.05,60,49
"Hoà Bình","Miền Bắc",24742962.0,21.0,2,1,0.02,0.03,63,52
"Hà Giang","Miền Bắc",115430000.0,101.0,3,3,0.11,0.16,45,34
"Hà Nam","Miền Bắc",1314685079.0,921.0,26,13,1.21,1.78,18,12
"Hà Nộ","Miền Bắc",34390000.0,30.0,1,1,0.03,0.05,61,50
"Hà Nội","Miền Bắc",36380656479.0,25595.0,958,210,33.51,49.13,1,1
"Hà Tĩnh","Miền Trung",1322139644.0,904.0,37,15,1.22,8.4,17,4
"Hòa Bình","Miền Bắc",168541552.0,119.0,7,4,0.16,0.23,37,26
"Hưng Yên","Miền Bắc",3858386942.0,2674.0,114,45,3.55,5.21,7,3
"Hưng yên","Miền Bắc",48490000.0,42.0,2,1,0.04,0.07,57,46
"Hạ Long","Miền Bắc",118696468.0,95.0,2,2,0.11,0.16,44,33
"Hải Dươn","Miền Bắc",82782643.0,68.0,4,1,0.08,0.11,49,38
"Hải Dương","Miền Bắc",1493972077.0,947.0,34,12,1.38,2.02,14,9
"Hải Phòng","Miền Bắc",1456357774.0,984.0,31,13,1.34,1.97,15,10
"Hội An","Miền Bắc",60718112.0,34.0,3,2,0.06,0.08,53,42
"Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa","Miền Bắc",61441481.0,53.0,2,1,0.06,0.08,52,41
"Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương","Miền Bắc",363062500.0,290.0,6,1,0.33,0.49,29,19
"Lào Cai","Miền Bắc",333699614.0,221.0,13,3,0.31,0.45,31,21
"Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc",824872376.0,517.0,12,1,0.76,1.11,22,15
"Lạng Sơn","Miền Bắc",121901111.0,106.0,3,2,0.11,0.16,43,32
"Nam Định","Miền Bắc",926331599.0,779.0,14,7,0.85,1.25,21,14
"Nghệ A","Miền Bắc",138392643.0,115.0,1,1,0.13,0.19,42,31
"Nghệ An","Miền Trung",4315229097.0,2946.0,73,19,3.98,27.4,6,2
"Ninh Bình","Miền Bắc",5009655570.0,3242.0,101,18,4.62,6.77,5,2
"Phan Thiết","Miền Bắc",4055556.0,2.0,1,1,0.0,0.01,72,59
"Phú Quốc","Miền Bắc",214953705.0,90.0,2,1,0.2,0.29,35,25
"Phú Thọ","Miền Bắc",2702715314.0,1583.0,70,29,2.49,3.65,10,6
"Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá","Miền Bắc",22550000.0,16.0,1,1,0.02,0.03,67,56
"Phủ Lý","Miền Bắc",255881052.0,157.0,6,1,0.24,0.35,33,23
"Quảng Nam","Miền Trung",1002421929.0,606.0,13,2,0.92,6.37,20,5
"Quảng Ngãi","Miền Trung",171689974.0,116.0,8,3,0.16,1.09,36,9
"Quảng Ninh","Miền Bắc",1431083842.0,880.0,36,20,1.32,1.93,16,11
"Quảng NinhSố","Miền Bắc",13870000.0,13.0,1,1,0.01,0.02,69,58
"Quảng Trị","Miền Trung",626703562.0,414.0,22,6,0.58,3.98,26,7
"Sơn La","Miền Bắc",52190000.0,45.0,2,2,0.05,0.07,56,45
"Sầm Sơn","Miền Bắc",152332645.0,105.0,4,1,0.14,0.21,40,29
"TP Huế","Miền Bắc",160361897.0,107.0,6,1,0.15,0.22,38,27
"TP Hưng Yên","Miền Bắc",27978500.0,22.0,1,1,0.03,0.04,62,51
"TP Hải Dương","Miền Bắc",24000000.0,20.0,1,1,0.02,0.03,64,53
"TP Hải Phòng","Miền Bắc",2180964597.0,1417.0,63,13,2.01,2.95,12,8
"TP Đà Nẵng","Miền Bắc",86292586.0,54.0,7,5,0.08,0.12,48,37
"TP. Hồ Chí Minh","Miền Nam",5782522818.0,3042.0,154,3,5.33,99.92,3,1
"TT Hương Sơn- Phú Bình- Thái Nguyên","Miền Bắc",23350000.0,20.0,1,1,0.02,0.03,65,54
"Tam Kỳ","Miền Bắc",100591187.0,72.0,3,1,0.09,0.14,47,36
"Thanh Hoá","Miền Trung",1550945950.0,1164.0,46,18,1.43,9.85,13,3
"Thanh Hóa","Miền Trung",5607923854.0,3495.0,105,31,5.17,35.61,4,1
"Thái Bình","Miền Bắc",1112981761.0,750.0,23,7,1.03,1.5,19,13
"Thái Nguyên","Miền Bắc",2240327608.0,1523.0,36,8,2.06,3.03,11,7
"Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang","Miền Bắc",61750000.0,51.0,2,1,0.06,0.08,51,40
"Thủ Dầu Một","Miền Bắc",20750000.0,9.0,2,1,0.02,0.03,68,57
"Thừa Thiên Huế","Miền Trung",431652757.0,256.0,4,1,0.4,2.74,28,8
"Tuyên Quang","Miền Bắc",301280277.0,237.0,10,4,0.28,0.41,32,22
"Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.","Miền Bắc",42370000.0,38.0,1,1,0.04,0.06,59,48
"Tĩnh Thanh Hoá","Miền Bắc",60307929.0,51.0,1,1,0.06,0.08,54,43
"Tỉnh Hòa Bình.","Miền Bắc",2546296.0,1.0,1,1,0.0,0.0,73,60
"Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ","Miền Bắc",23312643.0,18.0,1,1,0.02,0.03,66,55
"Uông Bí","Miền Bắc",140878797.0,114.0,2,1,0.13,0.19,41,30
"Vinh","Miền Bắc",808916601.0,541.0,7,3,0.75,1.09,23,16
"Vĩnh Phúc","Miền Bắc",736534933.0,532.0,26,13,0.68,0.99,24,17
"Vĩnh Yên","Miền Bắc",43308059.0,36.0,2,2,0.04,0.06,58,47
"phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.","Miền Bắc",115376430.0,94.0,2,1,0.11,0.16,46,35
"Điện Biên","Miền Bắc",154269415.0,87.0,5,3,0.14,0.21,39,28
"Đà Nẵng","Miền Trung",713996816.0,461.0,28,9,0.66,4.53,25,6
"Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá","Miền Bắc",244765884.0,204.0,4,1,0.23,0.33,34,24
"Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.","Miền Bắc",352444443.0,208.0,3,1,0.32,0.48,30,20
"Đắk Lắk","Miền Trung",4983333.0,2.0,1,1,0.0,0.03,70,10
"Đồng Hới","Miền Bắc",529289495.0,329.0,5,1,0.49,0.71,27,18
"Đồng Nai","Miền Nam",4527778.0,1.0,1,1,0.0,0.08,71,2
