"order_date","n_orders","revenue"
"2026-03-01",28,1261644951.0
"2026-03-02",33,1492065816.0
"2026-03-03",21,1650850416.0
"2026-03-04",22,1141439397.0
"2026-03-05",30,1495094612.0
"2026-03-06",18,706924728.0
"2026-03-07",38,1804891291.0
"2026-03-08",1,2861111.0
"2026-03-09",50,2778670993.0
"2026-03-10",26,1425414761.0
"2026-03-11",33,2014372299.0
"2026-03-12",30,949084645.0
"2026-03-13",28,1243680432.0
"2026-03-14",39,1657053365.0
"2026-03-15",2,7759259.0
"2026-03-16",43,2112753265.0
"2026-03-17",16,1075599327.0
"2026-03-18",35,1167227910.0
"2026-03-19",38,1634863995.0
"2026-03-20",26,1457920004.0
"2026-03-21",44,1377971264.0
"2026-03-22",1,2953704.0
"2026-03-23",41,806401522.0
"2026-03-24",54,943521923.0
"2026-03-25",148,3447955236.0
"2026-03-26",9,467776495.0
"2026-03-27",107,2472577576.0
"2026-03-28",15,451098056.0
"2026-03-29",19,302783906.0
"2026-03-30",35,647632816.0
"2026-03-31",82,1908490678.0
