"color","group_code","group_name","fiscal_year","fiscal_month","revenue","quantity","n_orders","ym"
"05-26","CITYBIKE_P","Xe phổ thông",2025,1,16297223.0,11.0,5,"2025-01"
"05-26","CITYBIKE_P","Xe phổ thông",2025,2,89665278.0,69.0,24,"2025-02"
"05-26","CITYBIKE_P","Xe phổ thông",2025,3,260066667.0,193.0,63,"2025-03"
"05-26","CITYBIKE_P","Xe phổ thông",2026,1,214316618.0,144.0,44,"2026-01"
"05-26","CITYBIKE_P","Xe phổ thông",2026,2,106424970.0,67.0,17,"2026-02"
"05-26","CITYBIKE_P","Xe phổ thông",2026,3,548347025.0,359.0,109,"2026-03"
"05-27","CITYBIKE_P","Xe phổ thông",2025,1,5677592.0,4.0,2,"2025-01"
"05-27","CITYBIKE_P","Xe phổ thông",2025,2,37072128.0,27.0,9,"2025-02"
"05-27","CITYBIKE_P","Xe phổ thông",2025,3,189491293.0,138.0,35,"2025-03"
"05-27","CITYBIKE_P","Xe phổ thông",2026,1,75461085.0,47.0,17,"2026-01"
"05-27","CITYBIKE_P","Xe phổ thông",2026,2,52657388.0,32.0,18,"2026-02"
"05-27","CITYBIKE_P","Xe phổ thông",2026,3,174727720.0,112.0,33,"2026-03"
"16-04","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,9000000.0,9.0,3,"2025-03"
"16-04","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,3520000.0,4.0,2,"2026-03"
"219-05-26","CITYBIKE_P","Xe phổ thông",2025,1,19993056.0,15.0,2,"2025-01"
"219-05-26","CITYBIKE_P","Xe phổ thông",2025,2,259193055.0,178.0,27,"2025-02"
"219-05-26","CITYBIKE_P","Xe phổ thông",2025,3,434765276.0,319.0,77,"2025-03"
"219-05-26","CITYBIKE_P","Xe phổ thông",2026,1,175338839.0,113.0,46,"2026-01"
"219-05-26","CITYBIKE_P","Xe phổ thông",2026,2,492119298.0,316.0,72,"2026-02"
"219-05-26","CITYBIKE_P","Xe phổ thông",2026,3,104283310.0,74.0,17,"2026-03"
"BLACKPINK","SPORTBIKE_S","Xe thể thao thép",2025,3,12150000.0,9.0,1,"2025-03"
"Café/nâu","CITYBIKE_P","Xe phổ thông",2025,1,226358327.0,123.0,18,"2025-01"
"Café/nâu","CITYBIKE_P","Xe phổ thông",2025,2,285355909.0,227.0,71,"2025-02"
"Café/nâu","CITYBIKE_P","Xe phổ thông",2025,3,1140590429.0,959.0,216,"2025-03"
"Café/nâu","CITYBIKE_P","Xe phổ thông",2026,1,930139898.0,580.0,145,"2026-01"
