"color","group_code","fiscal_year","fiscal_month","revenue","quantity","ym","color_share_pct"
"","",2026,3,1860943138.0,1219.0,"2026-03",6.47
"05-26","CITYBIKE_P",2025,1,16297223.0,11.0,"2025-01",0.55
"05-26","CITYBIKE_P",2025,2,89665278.0,69.0,"2025-02",1.45
"05-26","CITYBIKE_P",2025,3,260066667.0,193.0,"2025-03",1.46
"05-26","CITYBIKE_P",2026,1,214316618.0,144.0,"2026-01",1.53
"05-26","CITYBIKE_P",2026,2,106424970.0,67.0,"2026-02",0.78
"05-26","CITYBIKE_P",2026,3,548347025.0,359.0,"2026-03",1.91
"05-27","CITYBIKE_P",2025,1,5677592.0,4.0,"2025-01",0.19
"05-27","CITYBIKE_P",2025,2,37072128.0,27.0,"2025-02",0.6
"05-27","CITYBIKE_P",2025,3,189491293.0,138.0,"2025-03",1.06
"05-27","CITYBIKE_P",2026,1,75461085.0,47.0,"2026-01",0.54
"05-27","CITYBIKE_P",2026,2,52657388.0,32.0,"2026-02",0.38
"05-27","CITYBIKE_P",2026,3,174727720.0,112.0,"2026-03",0.61
"16-04","KIDBIKE_1",2025,3,9000000.0,9.0,"2025-03",0.05
"16-04","KIDBIKE_1",2026,3,3520000.0,4.0,"2026-03",0.01
"219-05-26","CITYBIKE_P",2025,1,19993056.0,15.0,"2025-01",0.68
"219-05-26","CITYBIKE_P",2025,2,259193055.0,178.0,"2025-02",4.19
"219-05-26","CITYBIKE_P",2025,3,434765276.0,319.0,"2025-03",2.43
"219-05-26","CITYBIKE_P",2026,1,175338839.0,113.0,"2026-01",1.25
"219-05-26","CITYBIKE_P",2026,2,492119298.0,316.0,"2026-02",3.59
"219-05-26","CITYBIKE_P",2026,3,104283310.0,74.0,"2026-03",0.36
"BLACKPINK","SPORTBIKE_S",2025,3,12150000.0,9.0,"2025-03",0.07
"Café/nâu","CITYBIKE_P",2025,1,226358327.0,123.0,"2025-01",7.7
"Café/nâu","CITYBIKE_P",2025,2,285355909.0,227.0,"2025-02",4.61
