"kpi","value","unit","period"
"total_revenue",108550450059.0,"VND","Jan2025-Mar2026"
"revenue_history",68641114306.0,"VND","Jan2025-Feb2026"
"revenue_t3",39909335753.0,"VND","Mar2026"
"total_orders",2739.0,"đơn","Jan2025-Mar2026"
"total_order_lines",25590.0,"dòng","Jan2025-Mar2026"
"active_dealers",703.0,"đại lý","Jan2025-Mar2026"
"total_quantity",71668.0,"chiếc","Jan2025-Mar2026"
"avg_order_value",39631416.0,"VND","Jan2025-Mar2026"
"sku_count",265.0,"SKU","Jan2025-Mar2026"
"t3_orders_processed",1112.0,"đơn","Mar2026"
"t3_orders_failed",20.0,"đơn","Mar2026"
"t3_success_rate",98.2,"%","Mar2026"
