"fiscal_year","fiscal_month","fiscal_quarter","ym","group_code","group_name","revenue","quantity","n_orders","n_customers","yoy_revenue_pct","mom_revenue_pct","cum_revenue_ytd"
2025,1,1,"2025-01","CITYBIKE_P","Xe phổ thông",1569577377.0,947.0,45,34,"","",1569577377.0
2025,2,1,"2025-02","CITYBIKE_P","Xe phổ thông",4307545384.0,3363.0,174,134,"",174.44,5877122761.0
2025,3,1,"2025-03","CITYBIKE_P","Xe phổ thông",11079768166.0,8954.0,412,235,"",157.22,16956890927.0
2026,1,1,"2026-01","CITYBIKE_P","Xe phổ thông",10948454445.0,6743.0,401,268,597.54,-1.19,10948454445.0
2026,2,1,"2026-02","CITYBIKE_P","Xe phổ thông",10543385018.0,6565.0,373,239,144.77,-3.7,21491839463.0
2026,3,1,"2026-03","CITYBIKE_P","Xe phổ thông",20446761341.0,13028.0,860,245,84.54,93.93,41938600804.0
2025,1,1,"2025-01","KIDBIKE_1","Xe trẻ em nhóm 1",364191375.0,218.0,16,10,"","",364191375.0
2025,2,1,"2025-02","KIDBIKE_1","Xe trẻ em nhóm 1",838248052.0,717.0,85,75,"",130.17,1202439427.0
2025,3,1,"2025-03","KIDBIKE_1","Xe trẻ em nhóm 1",2812349881.0,2427.0,265,160,"",235.5,4014789308.0
2026,1,1,"2026-01","KIDBIKE_1","Xe trẻ em nhóm 1",2101176802.0,1637.0,231,163,476.94,-25.29,2101176802.0
2026,2,1,"2026-02","KIDBIKE_1","Xe trẻ em nhóm 1",1641871844.0,1280.0,222,151,95.87,-21.86,3743048646.0
2026,3,1,"2026-03","KIDBIKE_1","Xe trẻ em nhóm 1",3903385045.0,3099.0,454,172,38.79,137.74,7646433691.0
2025,1,1,"2025-01","KIDBIKE_2","Xe trẻ em nhóm 2",119466940.0,128.0,15,6,"","",119466940.0
2025,2,1,"2025-02","KIDBIKE_2","Xe trẻ em nhóm 2",307016457.0,462.0,56,41,"",156.99,426483397.0
2025,3,1,"2025-03","KIDBIKE_2","Xe trẻ em nhóm 2",695529515.0,1117.0,134,86,"",126.54,1122012912.0
2026,1,1,"2026-01","KIDBIKE_2","Xe trẻ em nhóm 2",459193023.0,496.0,109,67,284.37,-33.98,459193023.0
2026,2,1,"2026-02","KIDBIKE_2","Xe trẻ em nhóm 2",1202314677.0,1301.0,151,107,291.61,161.83,1661507700.0
2026,3,1,"2026-03","KIDBIKE_2","Xe trẻ em nhóm 2",1188566850.0,1392.0,201,96,70.89,-1.14,2850074550.0
2025,1,1,"2025-01","SPORTBIKE_A","Xe thể thao nhôm",131539142.0,37.0,7,6,"","",131539142.0
2025,2,1,"2025-02","SPORTBIKE_A","Xe thể thao nhôm",451082224.0,171.0,42,40,"",242.93,582621366.0
2025,3,1,"2025-03","SPORTBIKE_A","Xe thể thao nhôm",1707156959.0,608.0,130,77,"",278.46,2289778325.0
2026,1,1,"2026-01","SPORTBIKE_A","Xe thể thao nhôm",96984806.0,38.0,14,12,-26.27,-94.32,96984806.0
2026,2,1,"2026-02","SPORTBIKE_A","Xe thể thao nhôm",57815363.0,20.0,4,4,-87.18,-40.39,154800169.0
2026,3,1,"2026-03","SPORTBIKE_A","Xe thể thao nhôm",469536278.0,213.0,60,11,-72.5,712.13,624336447.0
2025,1,1,"2025-01","SPORTBIKE_S","Xe thể thao thép",753752125.0,346.0,23,13,"","",753752125.0
2025,2,1,"2025-02","SPORTBIKE_S","Xe thể thao thép",288466569.0,204.0,56,50,"",-61.73,1042218694.0
2025,3,1,"2025-03","SPORTBIKE_S","Xe thể thao thép",1571476861.0,952.0,144,88,"",444.77,2613695555.0
2026,1,1,"2026-01","SPORTBIKE_S","Xe thể thao thép",443426024.0,197.0,60,43,-41.17,-71.78,443426024.0
2026,2,1,"2026-02","SPORTBIKE_S","Xe thể thao thép",251574257.0,116.0,36,31,-12.79,-43.27,695000281.0
2026,3,1,"2026-03","SPORTBIKE_S","Xe thể thao thép",909398406.0,447.0,141,65,-42.13,261.48,1604398687.0
2025,1,1,"2025-01","__ALL__","Tất cả nhóm",3198170289.0,1837.0,61,46,"","",3198170289.0
2025,2,1,"2025-02","__ALL__","Tất cả nhóm",6337211367.0,5030.0,185,141,"",98.15,9535381656.0
2025,3,1,"2025-03","__ALL__","Tất cả nhóm",18581789907.0,14609.0,447,242,"",193.22,28117171563.0
2026,1,1,"2026-01","__ALL__","Tất cả nhóm",21135073610.0,12541.0,482,290,560.85,13.74,21135073610.0
2026,2,1,"2026-02","__ALL__","Tất cả nhóm",19388869133.0,12522.0,452,268,205.95,-8.26,40523942743.0
2026,3,1,"2026-03","__ALL__","Tất cả nhóm",39909335753.0,25129.0,1112,255,114.78,105.84,80433278496.0
