"product_code","product_name","color","line_name","group_code","group_name","revenue","quantity","n_orders","n_customers","rev_2025","qty_2025","rev_2026","qty_2026","rev_2026_ann","yoy_rev_pct","avg_unit_price","revenue_rank","pareto_cum_pct","pareto_class","rev_share_in_group_pct","bcg_quadrant"
"000225002023000","Xe đạp Thống Nhất New 26 Kem","Kem","Xe New 26","CITYBIKE_P","Xe phổ thông",5581704599.0,3763.0,888,412,1619321843.0,1303.0,3962382756.0,2460.0,15849531024.0,878.78,1483312.0,1,6.84,"A",9.48,"Ngôi sao"
"000224002023000","Xe đạp Thống Nhất New 24 Kem","Kem","Xe New 24","CITYBIKE_P","Xe phổ thông",3530019698.0,2538.0,668,345,917042024.0,796.0,2612977674.0,1742.0,10451910696.0,1039.74,1390867.0,2,11.16,"A",5.99,"Ngôi sao"
"000226003023000","Xe đạp Thống Nhất LD 24-01_2023 Kem","Kem","Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông",3115518177.0,1986.0,563,281,693359259.0,524.0,2422158918.0,1462.0,9688635672.0,1297.35,1568740.0,3,14.97,"A",5.29,"Ngôi sao"
"000225002015000","Xe đạp Thống Nhất New 26 Café/nâu","Café/nâu","Xe New 26","CITYBIKE_P","Xe phổ thông",2948042712.0,1966.0,598,334,849378282.0,663.0,2098664430.0,1303.0,8394657720.0,888.33,1499513.0,4,18.58,"A",5.01,"Ngôi sao"
"000230002023000","Xe đạp Thống Nhất LD 26 Kem","Kem","Xe LD 26","CITYBIKE_P","Xe phổ thông",2890632259.0,1648.0,456,210,0.0,0.0,2890632259.0,1648.0,11562529036.0,"",1754024.0,5,22.12,"A",4.91,"Bò sữa"
"000217003001000","Xe đạp Thống Nhất GN 06-26 2.0 Đen","Đen","Xe GN 06-26 2.0","CITYBIKE_P","Xe phổ thông",2846640926.0,1863.0,547,299,640455923.0,496.0,2206185003.0,1367.0,8824740012.0,1277.88,1527988.0,6,25.61,"A",4.83,"Ngôi sao"
"000225002002000","Xe đạp Thống Nhất New 26 Trắng","Trắng","Xe New 26","CITYBIKE_P","Xe phổ thông",2817826507.0,1818.0,557,297,891562788.0,673.0,1926263719.0,1145.0,7705054876.0,764.22,1549960.0,7,29.06,"A",4.78,"Ngôi sao"
"000217003008000","Xe đạp Thống Nhất GN 06-26 2.0 Ghi","Ghi","Xe GN 06-26 2.0","CITYBIKE_P","Xe phổ thông",2210608165.0,1482.0,476,270,499178239.0,397.0,1711429926.0,1085.0,6845719704.0,1271.4,1491638.0,9,34.75,"A",3.75,"Ngôi sao"
"000225002025000","Xe đạp Thống Nhất New 26 Xanh mint","Xanh mint","Xe New 26","CITYBIKE_P","Xe phổ thông",1821767308.0,1248.0,431,259,584952650.0,474.0,1236814658.0,774.0,4947258632.0,745.75,1459749.0,10,36.98,"A",3.09,"Ngôi sao"
"000401002016000","Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc","Ngọc","Xe Nữ","CITYBIKE_P","Xe phổ thông",1811123595.0,1214.0,177,115,336916666.0,259.0,1474206929.0,955.0,5896827716.0,1650.23,1491865.0,11,39.2,"A",3.08,"Ngôi sao"
"000331002008000","Xe đạp Thống Nhất MTB 26-02 Ghi","Ghi","Xe MTB 26 02","CITYBIKE_P","Xe phổ thông",1797496799.0,1097.0,360,227,549799074.0,409.0,1247697725.0,688.0,4990790900.0,807.75,1638557.0,12,41.4,"A",3.05,"Ngôi sao"
"000224002015000","Xe đạp Thống Nhất New 24 Café/nâu","Café/nâu","Xe New 24","CITYBIKE_P","Xe phổ thông",1638547592.0,1172.0,397,252,475967124.0,414.0,1162580468.0,758.0,4650321872.0,877.03,1398078.0,13,43.41,"A",2.78,"Ngôi sao"
"000207004000000","Xe đạp Thống Nhất 219-05-26","219-05-26","Xe 219-05-26","CITYBIKE_P","Xe phổ thông",1485692834.0,1015.0,241,160,713951387.0,512.0,771741447.0,503.0,3086965788.0,332.38,1463737.0,14,45.23,"A",2.52,"Bò sữa"
"000224002002000","Xe đạp Thống Nhất New 24 Trắng","Trắng","Xe New 24","CITYBIKE_P","Xe phổ thông",1367037825.0,976.0,364,227,379727576.0,318.0,987310249.0,658.0,3949240996.0,940.02,1400654.0,15,46.9,"A",2.32,"Ngôi sao"
"000224002026000","Xe đạp Thống Nhất New 24 Xanh mint","Xanh mint","Xe New 24","CITYBIKE_P","Xe phổ thông",1311954061.0,938.0,350,216,333801572.0,293.0,978152489.0,645.0,3912609956.0,1072.14,1398672.0,16,48.51,"A",2.23,"Ngôi sao"
"000216003001000","Xe đạp Thống Nhất GN 06-24 2.0 Đen","Đen","Xe GN 06-24 2.0","CITYBIKE_P","Xe phổ thông",1264123864.0,892.0,309,204,283534722.0,236.0,980589142.0,656.0,3922356568.0,1283.38,1417179.0,18,51.63,"A",2.15,"Ngôi sao"
"000226003002000","Xe đạp Thống Nhất LD 24-01_2023 Trắng","Trắng","Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông",1237050418.0,830.0,318,178,361982962.0,286.0,875067456.0,544.0,3500269824.0,866.97,1490422.0,20,54.68,"A",2.1,"Ngôi sao"
"000214004000000","Xe đạp Thống Nhất GN 05-26","05-26","Xe GN 05-26","CITYBIKE_P","Xe phổ thông",1235117781.0,843.0,262,157,366029168.0,273.0,869088613.0,570.0,3476354452.0,849.75,1465146.0,21,56.19,"A",2.1,"Ngôi sao"
"000216003008000","Xe đạp Thống Nhất GN 06-24 2.0 Ghi","Ghi","Xe GN 06-24 2.0","CITYBIKE_P","Xe phổ thông",1164969955.0,796.0,288,177,147934722.0,123.0,1017035233.0,673.0,4068140932.0,2649.96,1463530.0,22,57.61,"A",1.98,"Ngôi sao"
"000209002025000","Xe đạp Thống Nhất 219-26 Xanh Tím","Xanh Tím","Xe 219-26","CITYBIKE_P","Xe phổ thông",1089917400.0,789.0,237,161,347464813.0,298.0,742452587.0,491.0,2969810348.0,754.71,1381391.0,23,58.95,"A",1.85,"Ngôi sao"
"000230002002000","Xe đạp Thống Nhất LD 26 Trắng","Trắng","Xe LD 26","CITYBIKE_P","Xe phổ thông",855985850.0,493.0,196,124,9717500.0,5.0,846268350.0,488.0,3385073400.0,34734.82,1736280.0,27,63.48,"A",1.45,"Ngôi sao"
"000226003015000","Xe đạp Thống Nhất LD 24-01_2023 Café/nâu","Café/nâu","Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông",797459190.0,528.0,192,117,326959259.0,232.0,470499931.0,296.0,1881999724.0,475.61,1510339.0,28,64.46,"A",1.35,"Bò sữa"
"000331002022000","Xe đạp Thống Nhất MTB 26-02 Xanh dương","Xanh dương","Xe MTB 26 02","CITYBIKE_P","Xe phổ thông",781693802.0,500.0,223,156,361662963.0,262.0,420030839.0,238.0,1680123356.0,364.55,1563388.0,29,65.42,"A",1.33,"Bò sữa"
"000226003014000","Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini","Xanh Santorini","Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông",737304566.0,509.0,208,132,279929628.0,218.0,457374938.0,291.0,1829499752.0,553.56,1448535.0,31,67.24,"A",1.25,"Bò sữa"
"000224002009000","Xe đạp Thống Nhất New 24 Hồng","Hồng","Xe New 24","CITYBIKE_P","Xe phổ thông",714342169.0,534.0,217,146,239560000.0,212.0,474782169.0,322.0,1899128676.0,692.76,1337719.0,32,68.11,"A",1.21,"Bò sữa"
"000217002001000","Xe đạp Thống Nhất GN 06-26 Đen","Đen","Xe GN 06-26","CITYBIKE_P","Xe phổ thông",658282301.0,484.0,197,124,222473147.0,184.0,435809154.0,300.0,1743236616.0,683.57,1360087.0,34,69.77,"A",1.12,"Bò sữa"
"000225002009000","Xe đạp Thống Nhất New 26 Hồng","Hồng","Xe New 26","CITYBIKE_P","Xe phổ thông",607072196.0,413.0,170,127,161796943.0,136.0,445275253.0,277.0,1781101012.0,1000.82,1469908.0,37,72.01,"B",1.03,"Ngôi sao"
"000209002003000","Xe đạp Thống Nhất 219-26 Đỏ đun","Đỏ đun","Xe 219-26","CITYBIKE_P","Xe phổ thông",569323495.0,418.0,145,104,170318051.0,145.0,399005444.0,273.0,1596021776.0,837.08,1362018.0,38,72.71,"B",0.97,"Ngôi sao"
"000225002004000","Xe đạp Thống Nhất New 26 Đỏ tươi","Đỏ tươi","Xe New 26","CITYBIKE_P","Xe phổ thông",546900912.0,358.0,136,102,337658700.0,227.0,209242212.0,131.0,836968848.0,147.87,1527656.0,39,73.38,"B",0.93,"Bò sữa"
"000216002007000","Xe đạp Thống Nhất GN 06-24 Coban","Coban","Xe GN 06-24","CITYBIKE_P","Xe phổ thông",546253670.0,368.0,38,28,152975925.0,105.0,393277745.0,263.0,1573110980.0,928.34,1484385.0,40,74.05,"B",0.93,"Ngôi sao"
"000215004000000","Xe đạp Thống Nhất GN 05-27","05-27","Xe GN 05-27","CITYBIKE_P","Xe phổ thông",535087206.0,360.0,114,73,232241013.0,169.0,302846193.0,191.0,1211384772.0,421.61,1486353.0,42,75.37,"B",0.91,"Bò sữa"
"000230002014000","Xe đạp Thống Nhất LD 26 Xanh Santorini","Xanh Santorini","Xe LD 26","CITYBIKE_P","Xe phổ thông",528078879.0,304.0,132,70,0.0,0.0,528078879.0,304.0,2112315516.0,"",1737102.0,43,76.02,"B",0.9,"Bò sữa"
"000208002003000","Xe đạp Thống Nhất 219-24 Đỏ đun","Đỏ đun","Xe 219-24","CITYBIKE_P","Xe phổ thông",495114756.0,353.0,84,59,160118519.0,119.0,334996237.0,234.0,1339984948.0,736.87,1402591.0,45,77.25,"B",0.84,"Bò sữa"
"000217002007000","Xe đạp Thống Nhất GN 06-26 Coban","Coban","Xe GN 06-26","CITYBIKE_P","Xe phổ thông",474681861.0,330.0,150,93,134548612.0,104.0,340133249.0,226.0,1360532996.0,911.18,1438430.0,50,80.2,"B",0.81,"Dấu hỏi"
"000209002007000","Xe đạp Thống Nhất 219-26 Coban","Coban","Xe 219-26","CITYBIKE_P","Xe phổ thông",470439732.0,314.0,116,90,108162035.0,84.0,362277697.0,230.0,1449110788.0,1239.76,1498216.0,51,80.78,"B",0.8,"Dấu hỏi"
"000224002024000","Xe đạp Thống Nhất New 24 Tím","Tím","Xe New 24","CITYBIKE_P","Xe phổ thông",460985224.0,337.0,141,103,139441572.0,121.0,321543652.0,216.0,1286174608.0,822.38,1367909.0,52,81.35,"B",0.78,"Dấu hỏi"
"000217003005000","Xe đạp Thống Nhất GN 06-26 2.0 Cam","Cam","Xe GN 06-26 2.0","CITYBIKE_P","Xe phổ thông",445786800.0,280.0,137,95,94373975.0,62.0,351412825.0,218.0,1405651300.0,1389.45,1592096.0,53,81.89,"B",0.76,"Dấu hỏi"
"000208002023000","Xe đạp Thống Nhất 219-24 Xanh Tím","Xanh Tím","Xe 219-24","CITYBIKE_P","Xe phổ thông",444409187.0,328.0,116,74,95938889.0,83.0,348470298.0,245.0,1393881192.0,1352.88,1354906.0,55,82.98,"B",0.75,"Dấu hỏi"
