"so_number","order_date","fiscal_year","fiscal_month","fiscal_quarter","customer_code","customer_name","province_name","region","product_code","product_name","color","line_name","group_code","group_name","quantity","unit_price","line_total"
"BH26.0935","2026-03-01",2026,3,1,"KH-00157","CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ","Hà Nội","Miền Bắc","000104002009000","Xe đạp Thống Nhất Tom & Jerry 14 Hồng","Hồng","","","",1.0,1898148.0,1898148.0
"BH26.0936","2026-03-01",2026,3,1,"KH-00157","CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ","Hà Nội","Miền Bắc","000230002013000","Xe đạp Thống Nhất LD 26 Pastel Xanh","Pastel Xanh","","","",1.0,2861111.0,2861111.0
"BH26.0937","2026-03-01",2026,3,1,"KH-00157","CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ","Hà Nội","Miền Bắc","000103002009000","Xe đạp Thống Nhất We Bare Bears 16 Hồng","Hồng","","","",1.0,1935185.0,1935185.0
"BH26.0938","2026-03-01",2026,3,1,"","","","","000331002008000","Xe đạp Thống Nhất MTB 26-02 Ghi","Ghi","Xe MTB 26 02","CITYBIKE_P","Xe phổ thông",1.0,2953704.0,2953704.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000225002023000","Xe đạp Thống Nhất New 26 Kem","Kem","Xe New 26","CITYBIKE_P","Xe phổ thông",2.0,1616111.0,3232222.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000225002002000","Xe đạp Thống Nhất New 26 Trắng","Trắng","Xe New 26","CITYBIKE_P","Xe phổ thông",3.0,1616111.0,4848333.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000225002015000","Xe đạp Thống Nhất New 26 Café/nâu","Café/nâu","Xe New 26","CITYBIKE_P","Xe phổ thông",1.0,1616111.0,1616111.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000225002025000","Xe đạp Thống Nhất New 26 Xanh mint","Xanh mint","Xe New 26","CITYBIKE_P","Xe phổ thông",2.0,1616111.0,3232222.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000209002007000","Xe đạp Thống Nhất 219-26 Coban","Coban","Xe 219-26","CITYBIKE_P","Xe phổ thông",1.0,1469444.0,1469444.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000336002004000","Xe đạp Thống Nhất SK 20 đỏ","đỏ","","","",1.0,1377777.0,1377777.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000224002023000","Xe đạp Thống Nhất New 24 Kem","Kem","Xe New 24","CITYBIKE_P","Xe phổ thông",1.0,1555000.0,1555000.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000225002023000","Xe đạp Thống Nhất New 26 Kem","Kem","Xe New 26","CITYBIKE_P","Xe phổ thông",1.0,1616111.0,1616111.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000230002009000","Xe đạp Thống Nhất LD 26 Pastel Hồng","Hồng","","","",1.0,1799444.0,1799444.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000230002013000","Xe đạp Thống Nhất LD 26 Pastel Xanh","Pastel Xanh","","","",2.0,1799444.0,3598888.0
"BH26.0939","2026-03-01",2026,3,1,"KH-00415","DOANH NGHIỆP TW KHẢI HOÀN","Thanh Hóa","Miền Trung","000230002023000","Xe đạp Thống Nhất LD 26 Kem","Kem","Xe LD 26","CITYBIKE_P","Xe phổ thông",3.0,1799444.0,5398332.0
