"fiscal_year","fiscal_month","group_code","split","yhat","yhat_lower","yhat_upper","y_actual","ym"
2025,1,"CITYBIKE_P","train",662233615.2960539,0.0,9898598397.377815,1569577377,"2025-01"
2025,1,"KIDBIKE_1","train",614527465.6940439,0.0,1675148251.289586,364191375,"2025-01"
2025,1,"KIDBIKE_2","train",175960077.00399554,0.0,470251662.388743,119466940,"2025-01"
2025,1,"SPORTBIKE_A","train",401485516.00293475,2899084.0843526516,996303791.7616144,131539142,"2025-01"
2025,1,"SPORTBIKE_S","train",404474437.92266613,0.0,1213429565.1699612,753752125,"2025-01"
2025,2,"CITYBIKE_P","train",1003090920.9474702,0.0,12006588885.404556,4307545384,"2025-02"
2025,2,"KIDBIKE_1","train",892427276.9024861,0.0,2348933736.419509,838248052,"2025-02"
2025,2,"KIDBIKE_2","train",311942480.2785647,0.0,859221276.7592094,307016457,"2025-02"
2025,2,"SPORTBIKE_A","train",684914653.3180962,62443783.796845235,1529465655.4976182,451082224,"2025-02"
2025,2,"SPORTBIKE_S","train",410102188.7592615,0.0,1282566930.4819226,288466569,"2025-02"
2025,3,"CITYBIKE_P","train",1265762096.9000726,0.0,12867904448.982746,11079768166,"2025-03"
2025,3,"KIDBIKE_1","train",1266843689.494712,0.0,3194687590.658507,2812349881,"2025-03"
2025,3,"KIDBIKE_2","train",564415304.6410086,0.0,1506170702.195483,695529515,"2025-03"
2025,3,"SPORTBIKE_A","train",1167103783.9983518,109854677.00734374,2609020872.0363507,1707156959,"2025-03"
2025,3,"SPORTBIKE_S","train",691268142.1064104,0.0,2058145538.2265246,1571476861,"2025-03"
2026,1,"CITYBIKE_P","train",11020569234.051064,764934883.8423609,22659983941.567276,10948454445,"2026-01"
2026,1,"KIDBIKE_1","train",2615441884.173896,338816717.78608507,5027616445.727335,2101176802,"2026-01"
2026,1,"KIDBIKE_2","train",841732120.4093722,46663118.32372096,1726078446.267066,459193023,"2026-01"
2026,1,"SPORTBIKE_A","train",315549887.37306005,0.0,1167294216.38597,96984806,"2026-01"
2026,1,"SPORTBIKE_S","train",648143980.522769,0.0,1694636881.2960615,443426024,"2026-01"
2026,2,"CITYBIKE_P","train",11464532752.207457,1769517862.0547285,21931938952.664677,10543385018,"2026-02"
2026,2,"KIDBIKE_1","train",2116612364.8397486,251202556.41339573,4035392222.314021,1641871844,"2026-02"
2026,2,"KIDBIKE_2","train",718041144.9697117,38577571.10632573,1466974467.984668,1202314677,"2026-02"
2026,2,"SPORTBIKE_A","train",51918354.11674484,0.0,310969751.97718936,57815363,"2026-02"
2026,2,"SPORTBIKE_S","train",610948784.4534576,0.0,1572878043.318111,251574257,"2026-02"
2026,3,"","train",1186341239.5677521,725641416.9070394,2971293238.259168,1860943138,"2026-03"
2026,3,"CITYBIKE_P","train",21607349058.636345,5397606293.122191,39289258003.64231,20446761341,"2026-03"
2026,3,"KIDBIKE_1","train",3948723011.488961,728129132.5947325,7316676184.551251,3903385045,"2026-03"
2026,3,"KIDBIKE_2","train",1347396388.383192,128013258.31583562,2689233579.741718,1188566850,"2026-03"
2026,3,"SPORTBIKE_A","train",1841689329.497003,1477737355.0474188,3036843203.720674,469536278,"2026-03"
2026,3,"SPORTBIKE_S","train",1298769115.999261,0.0,3264201369.848981,909398406,"2026-03"
2026,4,"","forecast",42168285416.60907,40045264942.020546,44212379826.85516,0,"2026-04"
2026,4,"CITYBIKE_P","forecast",26597273090.76848,10010695513.810394,44147058168.79144,0,"2026-04"
2026,4,"KIDBIKE_1","forecast",4213512187.3552694,828279731.5606544,7818319713.772014,0,"2026-04"
2026,4,"KIDBIKE_2","forecast",1506026081.357827,167683606.8066492,2961618017.3621655,0,"2026-04"
2026,4,"SPORTBIKE_A","forecast",6010463104.570821,5245526150.763372,8580212056.951488,0,"2026-04"
2026,4,"SPORTBIKE_S","forecast",1541431097.5513232,0.0,3914507148.6524434,0,"2026-04"
2026,5,"","forecast",59547658017.51434,57387826921.058,61697797712.97767,0,"2026-05"
2026,5,"CITYBIKE_P","forecast",32333916652.475906,14825716231.793005,50418798313.22077,0,"2026-05"
2026,5,"KIDBIKE_1","forecast",4477648654.835085,1029792690.9572777,8178042813.216749,0,"2026-05"
2026,5,"KIDBIKE_2","forecast",1610644859.9566488,197778505.02152517,3153374081.1379766,0,"2026-05"
2026,5,"SPORTBIKE_A","forecast",6019004435.045311,5236541536.033423,8683824363.275633,0,"2026-05"
2026,5,"SPORTBIKE_S","forecast",1574792231.439891,0.0,4033421606.3986783,0,"2026-05"
2026,6,"","forecast",51037413211.90171,48942545727.34626,53113277608.63435,0,"2026-06"
2026,6,"CITYBIKE_P","forecast",37295952870.054855,19716109459.24172,54808700712.75742,0,"2026-06"
2026,6,"KIDBIKE_1","forecast",4706246397.7048235,1348184038.854867,8321311186.60267,0,"2026-06"
2026,6,"KIDBIKE_2","forecast",1667743981.4540212,268725916.40474975,3158473007.1725383,0,"2026-06"
2026,6,"SPORTBIKE_A","forecast",3935992054.5717845,3286603569.587052,6484472037.663041,0,"2026-06"
2026,6,"SPORTBIKE_S","forecast",1588640007.9487112,0.0,3927333870.8683577,0,"2026-06"
