"color","group_code","avg_share_q1_2026_pct","fiscal_month","group_yhat","split","predicted_revenue"
"","",6.47,4,42168285416.60907,"forecast",2728288066.0
"","",6.47,5,59547658017.51434,"forecast",3852733474.0
"","",6.47,6,51037413211.90171,"forecast",3302120635.0
"05-26","CITYBIKE_P",1.4066666666666665,4,26597273090.76848,"forecast",374134975.0
"05-26","CITYBIKE_P",1.4066666666666665,5,32333916652.475906,"forecast",454830428.0
"05-26","CITYBIKE_P",1.4066666666666665,6,37295952870.054855,"forecast",524629737.0
"05-27","CITYBIKE_P",0.51,4,26597273090.76848,"forecast",135646093.0
"05-27","CITYBIKE_P",0.51,5,32333916652.475906,"forecast",164902975.0
"05-27","CITYBIKE_P",0.51,6,37295952870.054855,"forecast",190209360.0
"16-04","KIDBIKE_1",0.01,4,4213512187.3552694,"forecast",421351.0
"16-04","KIDBIKE_1",0.01,5,4477648654.835085,"forecast",447765.0
"16-04","KIDBIKE_1",0.01,6,4706246397.7048235,"forecast",470625.0
"219-05-26","CITYBIKE_P",1.7333333333333334,4,26597273090.76848,"forecast",461019400.0
"219-05-26","CITYBIKE_P",1.7333333333333334,5,32333916652.475906,"forecast",560454555.0
"219-05-26","CITYBIKE_P",1.7333333333333334,6,37295952870.054855,"forecast",646463183.0
"Café/nâu","CITYBIKE_P",6.566666666666666,4,26597273090.76848,"forecast",1746554266.0
"Café/nâu","CITYBIKE_P",6.566666666666666,5,32333916652.475906,"forecast",2123260527.0
"Café/nâu","CITYBIKE_P",6.566666666666666,6,37295952870.054855,"forecast",2449100905.0
"Café/nâu","KIDBIKE_2",0.5666666666666667,4,1506026081.357827,"forecast",8534148.0
"Café/nâu","KIDBIKE_2",0.5666666666666667,5,1610644859.9566488,"forecast",9126988.0
"Café/nâu","KIDBIKE_2",0.5666666666666667,6,1667743981.4540212,"forecast",9450549.0
"Cam","CITYBIKE_P",1.0033333333333332,4,26597273090.76848,"forecast",266859307.0
"Cam","CITYBIKE_P",1.0033333333333332,5,32333916652.475906,"forecast",324416964.0
"Cam","CITYBIKE_P",1.0033333333333332,6,37295952870.054855,"forecast",374202727.0
"Cam","KIDBIKE_2",0.3166666666666667,4,1506026081.357827,"forecast",4769083.0
"Cam","KIDBIKE_2",0.3166666666666667,5,1610644859.9566488,"forecast",5100375.0
"Cam","KIDBIKE_2",0.3166666666666667,6,1667743981.4540212,"forecast",5281189.0
"Cam","SPORTBIKE_A",0.07,4,6010463104.570821,"forecast",4207324.0
"Cam","SPORTBIKE_A",0.07,5,6019004435.045311,"forecast",4213303.0
"Cam","SPORTBIKE_A",0.07,6,3935992054.5717845,"forecast",2755194.0
"Cam","SPORTBIKE_S",0.02,4,1541431097.5513232,"forecast",308286.0
"Cam","SPORTBIKE_S",0.02,5,1574792231.439891,"forecast",314958.0
"Cam","SPORTBIKE_S",0.02,6,1588640007.9487112,"forecast",317728.0
"Coban","CITYBIKE_P",2.5466666666666664,4,26597273090.76848,"forecast",677343888.0
"Coban","CITYBIKE_P",2.5466666666666664,5,32333916652.475906,"forecast",823437077.0
