"customer_code","last_order_date","recency_days","n_orders_total","revenue_total","avg_order_value","n_product_groups","trend_slope","active_in_t3","customer_name","province_name","region","n_orders_q1_2025","revenue_q1_2025","prob_active_30d","activity_risk","priority_contact"
"","2026-03-31",0,325,8608511731,26487728.0,6,0.0,1,"","","",325,8608511731,1.0,"Tích cực",0
"KH-00001","2025-03-26",370,3,11527779,3842593.0,1,6916667.0,0,"HỘ KINH DOANH TÚ ANH","Hà Nội","Miền Bắc",3,11527779,0.359,"Trung bình",0
"KH-00002","2025-01-06",449,1,3509259,3509259.0,1,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH","Hà Nội","Miền Bắc",1,3509259,0.2299,"Nguy cơ cao",1
"KH-00003","2025-01-06",449,1,2398148,2398148.0,1,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN","Hà Nội","Miền Bắc",1,2398148,0.2272,"Nguy cơ cao",1
"KH-00004","2026-03-17",14,12,325238580,27103215.0,5,3217025.6,1,"DOANH NGHIỆP TW KHẢI HOÀN","","",12,325238580,0.8239,"Tích cực",0
"KH-00005","2025-01-07",448,1,4425926,4425926.0,1,0.0,0,"CÔNG TY TNHH ĐẠI LỢI","Hà Nội","Miền Bắc",1,4425926,0.2316,"Nguy cơ cao",1
"KH-00006","2026-03-27",4,83,1290609765,15549515.0,5,26496837.91,1,"CÔNG TY TNHH CHI THÀNH","TP. Hồ Chí Minh","Miền Nam",83,1290609765,1.0,"Tích cực",0
"KH-00007","2026-03-18",13,12,824872376,68739365.0,5,20185855.6,1,"CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc",12,824872376,0.5972,"Trung bình",0
"KH-00008","2026-01-17",73,2,13685186,6842593.0,1,388890.0,0,"CÔNG TY CỔ PHẦN YÊN BÌNH","Hưng Yên","Miền Bắc",2,13685186,0.1458,"Nguy cơ cao",1
"KH-00009","2026-02-09",50,2,88888888,44444444.0,1,-0.0,0,"CỬA HÀNG XE ĐẠP THIÊN AN","Hà Nội","Miền Bắc",2,88888888,0.1914,"Nguy cơ cao",1
