"order_id","so_number","product_code","quantity","unit_price","line_total","order_date","fiscal_year","fiscal_month","fiscal_quarter","customer_code","customer_name","province_name","region","product_name","color","line_id","line_name","group_code","group_name","ym","period_label","quarter_label","day_of_week","week_of_year","is_weekend","order_total","n_lines_in_order","line_share_of_order_pct","sku_revenue_rank","sku_pareto_class","sku_bcg_quadrant","sku_rev_share_group_pct","sku_yoy_rev_pct","sku_avg_unit_price","sku_pareto_cum_pct","cust_cohort_month","cust_recency_days","cust_n_orders_q1_2025","cust_revenue_q1_2025","cust_avg_order_value","cust_rfm_r","cust_rfm_f","cust_rfm_m","cust_rfm_segment","cust_churn_label","cust_churn_prob","cust_churn_priority"
1,"BH25.0001","000214004000000",1.0,2305555.56,2305556,"2025-01-02",2025,1,1,"KH-00001","HỘ KINH DOANH TÚ ANH","Hà Nội","Miền Bắc","Xe đạp Thống Nhất GN 05-26","05-26",5.0,"Xe GN 05-26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",3,1,0,2305556,1,100.0,24.0,"A","Ngôi sao",2.1,1324.62,1465146.0,46.86,"2025-01",5.0,3.0,11527779.0,3842593.0,4.0,5.0,1.0,"Khách hàng trung thành",1.0,0.8302,"Cao"
2,"BH25.0002","000333002022000",1.0,3509259.26,3509259,"2025-01-06",2025,1,1,"KH-00002","CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH","Hà Nội","Miền Bắc","Xe đạp Thống Nhất Super 26 xanh","xanh",70.0,"Xe Super 26","SPORTBIKE_S","Xe thể thao thép","2025-01","T1/2025","Q1/2025",0,2,0,3509259,1,100.0,128.0,"C","Bò sữa",3.86,-80.22,1347279.0,92.33,"2025-01",84.0,1.0,3509259.0,3509259.0,1.0,2.0,1.0,"Có nguy cơ rời bỏ",1.0,0.9017,"Cao"
3,"BH25.0003","000224002004000",1.0,2398148.15,2398148,"2025-01-06",2025,1,1,"KH-00003","CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN","Hà Nội","Miền Bắc","Xe đạp Thống Nhất New 24 Đỏ tươi","Đỏ tươi",20.0,"Xe New 24","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",0,2,0,2398148,1,100.0,82.0,"B","Con chó",0.68,585.31,1448966.0,81.99,"2025-01",84.0,1.0,2398148.0,2398148.0,1.0,2.0,1.0,"Có nguy cơ rời bỏ",1.0,0.903,"Cao"
4,"BH25.0004","000217003001000",5.0,2453703.7,12268519,"2025-01-06",2025,1,1,"KH-00004","DOANH NGHIỆP TW KHẢI HOÀN","","","Xe đạp Thống Nhất GN 06-26 2.0 Đen","Đen",10.0,"Xe GN 06-26 2.0","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",0,2,0,12268519,1,100.0,6.0,"A","Ngôi sao",4.83,1966.83,1527988.0,19.27,"2025-01",3.0,7.0,195378519.0,27911217.0,4.0,5.0,5.0,"Khách hàng tiêu biểu",0.0,0.6751,"Cao"
5,"BH25.0005","000217002007000",2.0,2212962.96,4425926,"2025-01-07",2025,1,1,"KH-00005","CÔNG TY TNHH ĐẠI LỢI","Hà Nội","Miền Bắc","Xe đạp Thống Nhất GN 06-26 Coban","Coban",9.0,"Xe GN 06-26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",1,2,0,4425926,1,100.0,71.0,"B","Dấu hỏi",0.81,1416.77,1438430.0,77.53,"2025-01",83.0,1.0,4425926.0,4425926.0,1.0,2.0,1.0,"Có nguy cơ rời bỏ",1.0,0.9008,"Cao"
6,"BH25.0006","000225002015000",11.0,1898148.0,20879628,"2025-01-07",2025,1,1,"KH-00006","CÔNG TY TNHH CHI THÀNH","TP. Hồ Chí Minh","Miền Nam","Xe đạp Thống Nhất New 26 Café/nâu","Café/nâu",21.0,"Xe New 26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",1,2,0,29027776,2,71.93,4.0,"A","Ngôi sao",5.01,1382.49,1499513.0,13.98,"2025-01",10.0,26.0,534583903.0,20560919.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.0009,"Thấp"
6,"BH25.0006","000226003015000",4.0,2037037.0,8148148,"2025-01-07",2025,1,1,"KH-00006","CÔNG TY TNHH CHI THÀNH","TP. Hồ Chí Minh","Miền Nam","Xe đạp Thống Nhất LD 24-01_2023 Café/nâu","Café/nâu",13.0,"Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",1,2,0,29027776,2,28.07,39.0,"A","Bò sữa",1.35,763.41,1510339.0,60.04,"2025-01",10.0,26.0,534583903.0,20560919.0,3.0,5.0,5.0,"Cần theo dõi",0.0,0.0009,"Thấp"
7,"BH25.0007","000217003001000",5.0,1594907.41,7974537,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất GN 06-26 2.0 Đen","Đen",10.0,"Xe GN 06-26 2.0","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,3.22,6.0,"A","Ngôi sao",4.83,1966.83,1527988.0,19.27,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.3954,"Trung bình"
7,"BH25.0007","000226003015000",2.0,1685185.19,3370370,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất LD 24-01_2023 Café/nâu","Café/nâu",13.0,"Xe LD 24-01_2023","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,1.36,39.0,"A","Bò sữa",1.35,763.41,1510339.0,60.04,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.3954,"Trung bình"
7,"BH25.0007","000225002004000",28.0,1618981.48,45331481,"2025-01-08",2025,1,1,"KH-00007","CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI","Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá","Miền Bắc","Xe đạp Thống Nhất New 26 Đỏ tươi","Đỏ tươi",21.0,"Xe New 26","CITYBIKE_P","Xe phổ thông","2025-01","T1/2025","Q1/2025",2,2,0,247541204,11,18.31,57.0,"B","Bò sữa",0.93,271.81,1527656.0,70.98,"2025-01",11.0,3.0,282381204.0,94127068.0,2.0,5.0,5.0,"Cần chăm sóc đặc biệt",0.0,0.3954,"Trung bình"
